#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113780.1-p1      -            431 9720at5820           -            257    1e-111  370.7   1.4   1   3    0.0028       1.9    6.0   0.0     1    18    60    77    60    81 0.91 | transcript=PVX_113780.1 | gene=PVX_113780 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1514325-1515620(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 9720at5820           -            257   3.4e-55  185.5  67.4   9  10   0.00068      0.47    8.0   0.1    22    66  1853  1897  1838  1908 0.81 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 9720at5820           -            257   3.4e-55  185.5  67.4  10  10   4.6e-24   3.2e-21   74.1   5.2    67   248  1995  2184  1967  2189 0.80 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9720at5820           -            257   1.8e-54  183.1  71.8   1  12    0.0026       1.8    6.2   0.4   141   179   276   314   265   323 0.87 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9720at5820           -            257   1.8e-54  183.1  71.8   2  12    0.0015         1    6.9   0.2    65   190   349   480   337   520 0.74 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9720at5820           -            257   1.8e-54  183.1  71.8   3  12      0.35   2.4e+02   -0.9   0.9     2    60   585   640   584   657 0.76 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9720at5820           -            257   1.8e-54  183.1  71.8   4  12      0.12        86    0.6   0.1    85   138   752   805   732   836 0.72 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9720at5820           -            257   1.8e-54  183.1  71.8   5  12   5.3e-06    0.0037   15.0   0.6    29   105   829   912   797   926 0.65 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9720at5820           -            257   1.8e-54  183.1  71.8   6  12   1.2e-08     8e-06   23.7   1.4    79   237  1054  1210  1033  1217 0.67 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9720at5820           -            257   1.8e-54  183.1  71.8   7  12     0.031        22    2.6   0.0     3    47  1373  1417  1371  1422 0.78 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9720at5820           -            257   1.8e-54  183.1  71.8   8  12   1.5e-13     1e-10   39.7   2.6    47   237  1463  1668  1457  1686 0.73 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9720at5820           -            257   1.8e-54  183.1  71.8   9  12   4.6e-11   3.2e-08   31.5   0.3    79   191  1793  1901  1702  1908 0.70 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9720at5820           -            257   1.8e-54  183.1  71.8  10  12    0.0044         3    5.4   0.2     2    52  2092  2141  2091  2177 0.80 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9720at5820           -            257   1.8e-54  183.1  71.8  11  12   6.2e-11   4.3e-08   31.1   0.7    83   191  2249  2358  2204  2440 0.79 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9720at5820           -            257   1.8e-54  183.1  71.8  12  12   1.4e-19   9.4e-17   59.5   6.7    16   246  2471  2717  2458  2724 0.75 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083240.1-p1      -            433 9720at5820           -            257   1.1e-15   56.0   8.9   1   2   3.1e-10   2.2e-07   28.8   3.0     3   138    30   188    28   227 0.66 | transcript=PVX_083240.1 | gene=PVX_083240 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr12:286262-287563(+) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083240.1-p1      -            433 9720at5820           -            257   1.1e-15   56.0   8.9   2   2   7.2e-11     5e-08   30.9   0.3   116   196   269   348   250   404 0.84 | transcript=PVX_083240.1 | gene=PVX_083240 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr12:286262-287563(+) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113775.1-p1      -            362 9720at5820           -            257   1.2e-11   42.8  12.6   1   2   1.5e-05     0.011   13.4   1.0   132   197    28    90    22   127 0.68 | transcript=PVX_113775.1 | gene=PVX_113775 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1516825-1517913(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113775.1-p1      -            362 9720at5820           -            257   1.2e-11   42.8  12.6   2   2   1.6e-11   1.1e-08   33.0   5.9    89   247   141   317   100   323 0.69 | transcript=PVX_113775.1 | gene=PVX_113775 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1516825-1517913(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083235.1-p1      -            450 9720at5820           -            257   2.8e-10   38.3  10.8   1   2     4e-07   0.00028   18.6   1.7    33   123    80   178    48   189 0.65 | transcript=PVX_083235.1 | gene=PVX_083235 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr12:289365-290717(+) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083235.1-p1      -            450 9720at5820           -            257   2.8e-10   38.3  10.8   2   2   7.3e-09     5e-06   24.3   2.1    95   237   269   418   239   440 0.70 | transcript=PVX_083235.1 | gene=PVX_083235 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr12:289365-290717(+) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097960.1-p1      -            355 9720at5820           -            257   2.8e-10   38.3   8.0   1   2   4.1e-13   2.8e-10   38.3   8.0    55   193    79   220    50   241 0.73 | transcript=PVX_097960.1 | gene=PVX_097960 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr10:1020695-1021762(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097960.1-p1      -            355 9720at5820           -            257   2.8e-10   38.3   8.0   2   2     0.035        24    2.4   0.2    83   106   263   286   243   328 0.71 | transcript=PVX_097960.1 | gene=PVX_097960 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr10:1020695-1021762(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000995.1-p1      -            384 9720at5820           -            257     6e-10   37.2  12.5   1   2   1.5e-07    0.0001   20.1   1.9     2   108    25   121    24   161 0.73 | transcript=PVX_000995.1 | gene=PVX_000995 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:127982-129136(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000995.1-p1      -            384 9720at5820           -            257     6e-10   37.2  12.5   2   2     3e-08   2.1e-05   22.3   3.2   111   236   228   357   221   371 0.73 | transcript=PVX_000995.1 | gene=PVX_000995 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:127982-129136(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9720at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9720at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9720at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:52:25 2026
# [ok]
