#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117590.1-p1      -            439 7030at5820           -            387  3.7e-243  804.8  15.5   1   2  1.2e-183  2.7e-181  601.1  10.1     1   281     1   298     1   301 0.97 | transcript=PVX_117590.1 | gene=PVX_117590 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=Pv_Sal1_chr12:1980846-1982165(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092125.1-p1      -            441 7030at5820           -            387   6.7e-36  122.5   0.1   1   2       3.1   6.8e+02   -2.6   0.5    66    86    43    63    20    83 0.62 | transcript=PVX_092125.1 | gene=PVX_092125 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 6a, putative | transcript_product=26S protease regulatory subunit 6a, putative | location=Pv_Sal1_chr09:1109116-1110441(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092125.1-p1      -            441 7030at5820           -            387   6.7e-36  122.5   0.1   2   2     8e-38   1.8e-35  121.1   0.0    94   310   180   409   162   415 0.83 | transcript=PVX_092125.1 | gene=PVX_092125 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 6a, putative | transcript_product=26S protease regulatory subunit 6a, putative | location=Pv_Sal1_chr09:1109116-1110441(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117215.1-p1      -            702 7030at5820           -            387   3.5e-34  116.8   0.1   1   2       6.8   1.5e+03   -3.8   0.6    45    60    79    94    59   116 0.56 | transcript=PVX_117215.1 | gene=PVX_117215 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr12:1679370-1681478(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117215.1-p1      -            702 7030at5820           -            387   3.5e-34  116.8   0.1   2   2   1.6e-36   3.5e-34  116.8   0.1    89   303   237   460   217   483 0.83 | transcript=PVX_117215.1 | gene=PVX_117215 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr12:1679370-1681478(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091615.1-p1      -            950 7030at5820           -            387   2.2e-31  107.7   0.0   1   1   1.9e-33   4.3e-31  106.7   0.0    96   304   396   623   369   646 0.83 | transcript=PVX_091615.1 | gene=PVX_091615 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr09:647681-650533(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 7030at5820           -            387   1.4e-25   88.5   5.1   1   2   9.9e-22   2.2e-19   68.1   0.2   134   310   288   489   230   530 0.74 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 7030at5820           -            387   1.4e-25   88.5   5.1   2   2   1.1e-07   2.4e-05   21.9   0.7   126   268   561   705   553   726 0.80 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093570.1-p1      -           1171 7030at5820           -            387     8e-23   79.4   0.2   1   2   5.8e-21   1.3e-18   65.6   0.0   100   259   559   729   550   734 0.78 | transcript=PVX_093570.1 | gene=PVX_093570 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:648308-651823(-) | protein_length=1171 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093570.1-p1      -           1171 7030at5820           -            387     8e-23   79.4   0.2   2   2   0.00019     0.042   11.2   0.0   238   281   789   835   774   845 0.84 | transcript=PVX_093570.1 | gene=PVX_093570 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:648308-651823(-) | protein_length=1171 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088250.1-p1      -            988 7030at5820           -            387   1.7e-14   52.0   0.0   1   2     0.048        11    3.3   0.0   278   306   556   584   535   591 0.80 | transcript=PVX_088250.1 | gene=PVX_088250 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:535081-538220(+) | protein_length=988 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088250.1-p1      -            988 7030at5820           -            387   1.7e-14   52.0   0.0   2   2   4.7e-15     1e-12   46.2   0.0   133   239   744   855   734   906 0.85 | transcript=PVX_088250.1 | gene=PVX_088250 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:535081-538220(+) | protein_length=988 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092575.1-p1      -            627 7030at5820           -            387   1.3e-13   49.1   2.0   1   1   8.6e-16   1.9e-13   48.6   2.0    75   284   279   515   243   533 0.68 | transcript=PVX_092575.1 | gene=PVX_092575 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr09:1537887-1540705(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087895.1-p1      -            665 7030at5820           -            387   5.2e-08   30.7   0.6   1   2       5.4   1.2e+03   -3.4   1.2    37    78    58    97    38   114 0.59 | transcript=PVX_087895.1 | gene=PVX_087895 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:269002-270999(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087895.1-p1      -            665 7030at5820           -            387   5.2e-08   30.7   0.6   2   2   2.4e-10   5.2e-08   30.7   0.6   132   280   340   495   292   529 0.73 | transcript=PVX_087895.1 | gene=PVX_087895 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:269002-270999(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113325.1-p1      -            483 7030at5820           -            387   1.3e-05   22.7   0.0   1   2   0.00011     0.024   12.0   0.0   121   171   239   290   190   314 0.82 | transcript=PVX_113325.1 | gene=PVX_113325 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=Pv_Sal1_chr11:1912448-1913899(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113325.1-p1      -            483 7030at5820           -            387   1.3e-05   22.7   0.0   2   2    0.0014      0.31    8.4   0.0   225   295   369   444   345   454 0.74 | transcript=PVX_113325.1 | gene=PVX_113325 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=Pv_Sal1_chr11:1912448-1913899(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094685.1-p1      -            366 7030at5820           -            387   0.00056   17.4   0.0   1   1   3.7e-06   0.00082   16.9   0.0    75   149    91   164    82   180 0.92 | transcript=PVX_094685.1 | gene=PVX_094685 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr08:450122-451222(+) | protein_length=366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090975.1-p1      -            475 7030at5820           -            387    0.0006   17.3   0.0   1   1     5e-06    0.0011   16.4   0.0   115   179    65   128    31   158 0.80 | transcript=PVX_090975.1 | gene=PVX_090975 | organism=Plasmodium_vivax_Sal-1 | gene_product=RuvB-like helicase 2, putative | transcript_product=RuvB-like helicase 2, putative | location=Pv_Sal1_chr09:144277-145704(-) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089900.1-p1      -            218 7030at5820           -            387    0.0025   15.3   5.6   1   1   1.3e-05    0.0029   15.0   5.6    38    95    55   115    13   139 0.77 | transcript=PVX_089900.1 | gene=PVX_089900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:924985-925641(-) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086100.1-p1      -           1222 7030at5820           -            387    0.0038   14.7  12.3   1   2   2.4e-05    0.0053   14.2   0.0   158   211   540   593   509   691 0.86 | transcript=PVX_086100.1 | gene=PVX_086100 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent Clp protease, putative | transcript_product=ATP-dependent Clp protease, putative | location=Pv_Sal1_chr13:1826035-1829703(-) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086100.1-p1      -           1222 7030at5820           -            387    0.0038   14.7  12.3   2   2       4.7     1e+03   -3.2  10.1   105   206   837   947   785   955 0.59 | transcript=PVX_086100.1 | gene=PVX_086100 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent Clp protease, putative | transcript_product=ATP-dependent Clp protease, putative | location=Pv_Sal1_chr13:1826035-1829703(-) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7030at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7030at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7030at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:37 2026
# [ok]
