#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_000945.1-p1      -            772 6055at5820           -            595  1.2e-226  752.1  58.0   1   2   6.7e-12   1.9e-09   34.9   0.1     1    95     1   148     1   150 0.77 | transcript=PVX_000945.1 | gene=PVX_000945 | organism=Plasmodium_vivax_Sal-1 | gene_product=apical sushi protein, putative | transcript_product=apical sushi protein, putative | location=Pv_Sal1_chr03:184691-187491(-) | protein_length=772 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090210.1-p1      -            285 6055at5820           -            595      0.57    6.8  31.9   1   1    0.0029       0.8    6.3  31.9   287   417    97   240    69   245 0.49 | transcript=PVX_090210.1 | gene=PVX_090210 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine-rich protein | transcript_product=asparagine-rich protein | location=Pv_Sal1_chr05:1230371-1231228(+) | protein_length=285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090225.1-p1      -            289 6055at5820           -            595      0.83    6.3  17.0   1   1    0.0042       1.1    5.8  17.0   306   416    49   160    37   199 0.33 | transcript=PVX_090225.1 | gene=PVX_090225 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1242797-1243802(-) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101345.1-p1      -            400 6055at5820           -            595      0.97    6.1  35.2   1   2    0.0047       1.3    5.7   7.6   272   360    49   135     1   187 0.51 | transcript=PVX_101345.1 | gene=PVX_101345 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2813255-2814966(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101345.1-p1      -            400 6055at5820           -            595      0.97    6.1  35.2   2   2    0.0023      0.63    6.7  19.5   279   366   233   319   209   356 0.49 | transcript=PVX_101345.1 | gene=PVX_101345 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2813255-2814966(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100610.1-p1      -            166 6055at5820           -            595       1.3    5.7  14.3   1   1    0.0052       1.4    5.5  14.3   278   412    10   143     1   160 0.49 | transcript=PVX_100610.1 | gene=PVX_100610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2216943-2217443(+) | protein_length=166 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094740.1-p1      -            381 6055at5820           -            595       1.7    5.3  36.8   1   1     0.011         3    4.4  36.8   297   426    95   222    74   254 0.58 | transcript=PVX_094740.1 | gene=PVX_094740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:496098-498183(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087855.1-p1      -            162 6055at5820           -            595         2    5.0  11.6   1   1     0.008       2.2    4.9  11.6   303   359     5    63     1   112 0.40 | transcript=PVX_087855.1 | gene=PVX_087855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr01:226213-226910(+) | protein_length=162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088070.1-p1      -            280 6055at5820           -            595       2.1    5.0  26.8   1   1    0.0091       2.5    4.7  26.8   283   413    83   215    42   267 0.51 | transcript=PVX_088070.1 | gene=PVX_088070 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:412151-412993(-) | protein_length=280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122130.1-p1      -            543 6055at5820           -            595       3.1    4.4  32.7   1   1      0.02       5.4    3.6  32.7   285   386   158   263   100   279 0.40 | transcript=PVX_122130.1 | gene=PVX_122130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:313448-315441(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082765.1-p1      -            139 6055at5820           -            595       4.5    3.9  33.9   1   1     0.018       5.1    3.7  33.9   299   361    75   136    54   139 0.52 | transcript=PVX_082765.1 | gene=PVX_082765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr12:713180-713599(+) | protein_length=139 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101375.1-p1      -             58 6055at5820           -            595       5.2    3.6  10.3   1   1     0.021       5.7    3.5  10.3   325   367    15    54    11    58 0.30 | transcript=PVX_101375.1 | gene=PVX_101375 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr14:2835429-2835762(+) | protein_length=58 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086225.1-p1      -            132 6055at5820           -            595       5.9    3.5  20.7   1   1     0.022       6.2    3.4  20.7   312   390     6    81     1   113 0.34 | transcript=PVX_086225.1 | gene=PVX_086225 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1932389-1932922(-) | protein_length=132 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6055at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6055at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6055at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:55 2026
# [ok]
