#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_088945.1-p1      -           1311 1302at5820           -            902         0 1453.0  60.3   1   6   3.6e-15   3.3e-12   43.5   0.1    12    44    68   100    66   102 0.94 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117360.1-p1      -           1071 1302at5820           -            902   1.2e-13   48.3  13.8   4   4      0.62   5.7e+02   -3.6   0.6   846   885   944   983   930   997 0.76 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110980.1-p1      -            886 1302at5820           -            902   1.5e-12   44.7  21.2   1   3   5.5e-12   5.1e-09   33.0   8.9    23   218   196   393   153   410 0.82 | transcript=PVX_110980.1 | gene=PVX_110980 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr06:806604-809264(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110980.1-p1      -            886 1302at5820           -            902   1.5e-12   44.7  21.2   2   3   8.1e-08   7.4e-05   19.2   0.0   627   656   511   540   506   581 0.90 | transcript=PVX_110980.1 | gene=PVX_110980 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr06:806604-809264(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110980.1-p1      -            886 1302at5820           -            902   1.5e-12   44.7  21.2   3   3      0.32     3e+02   -2.6   3.0   673   761   693   782   645   809 0.74 | transcript=PVX_110980.1 | gene=PVX_110980 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr06:806604-809264(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094445.1-p1      -            748 1302at5820           -            902   5.6e-07   26.2   9.2   1   2   0.00011       0.1    8.8   0.5    54   124   170   246   158   359 0.73 | transcript=PVX_094445.1 | gene=PVX_094445 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr08:256312-258558(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094445.1-p1      -            748 1302at5820           -            902   5.6e-07   26.2   9.2   2   2   2.2e-08   2.1e-05   21.0   2.7   622   698   538   614   526   714 0.75 | transcript=PVX_094445.1 | gene=PVX_094445 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr08:256312-258558(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123885.1-p1      -           1607 1302at5820           -            902     2e-06   24.4   1.6   1   4   2.2e-09     2e-06   24.4   1.6    30   106   207   280   187   289 0.73 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123885.1-p1      -           1607 1302at5820           -            902     2e-06   24.4   1.6   2   4    0.0011         1    5.5   0.1   376   423   837   891   827   922 0.73 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123885.1-p1      -           1607 1302at5820           -            902     2e-06   24.4   1.6   3   4       1.4   1.3e+03   -4.8   1.7   256   317  1260  1317  1246  1337 0.60 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123885.1-p1      -           1607 1302at5820           -            902     2e-06   24.4   1.6   4   4     0.022        21    1.2   0.1   783   838  1367  1425  1356  1448 0.66 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1302at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1302at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1302at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:32 2026
# [ok]
