#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084730.1-p1      -           1704 1254at5820           -           1057         0 1817.6 155.0   1   8   1.2e-27   2.3e-24   83.8   5.6     1    74    30   113    30   119 0.88 | transcript=PVX_084730.1 | gene=PVX_084730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:583637-589021(-) | protein_length=1704 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117190.1-p1      -           1449 1254at5820           -           1057   4.4e-07   26.5  73.1   4   4      0.37   6.8e+02   -3.9  12.6   930  1052  1329  1448  1276  1449 0.75 | transcript=PVX_117190.1 | gene=PVX_117190 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr12:1652643-1656992(-) | protein_length=1449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1254at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1254at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1254at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:11 2026
# [ok]
