#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084625.1-p1      -           1355 1301at5820           -           1082         0 2246.7  13.3   1   1         0         0 2245.6  13.3    11  1082   201  1355   193  1355 0.95 | transcript=PVX_084625.1 | gene=PVX_084625 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase4, putative | transcript_product=P-type ATPase4, putative | location=Pv_Sal1_chr13:492630-496697(-) | protein_length=1355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081695.1-p1      -           1678 1301at5820           -           1082   5.9e-11   39.2   2.2   3   4    0.0088       9.8    2.0   0.1   591   644  1092  1145  1049  1156 0.73 | transcript=PVX_081695.1 | gene=PVX_081695 | organism=Plasmodium_vivax_Sal-1 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=Pv_Sal1_chr02:565513-570549(+) | protein_length=1678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081695.1-p1      -           1678 1301at5820           -           1082   5.9e-11   39.2   2.2   4   4   1.7e-10   1.9e-07   27.6   0.0   671   725  1281  1335  1267  1341 0.93 | transcript=PVX_081695.1 | gene=PVX_081695 | organism=Plasmodium_vivax_Sal-1 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=Pv_Sal1_chr02:565513-570549(+) | protein_length=1678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 1301at5820           -           1082   0.00027   17.1   1.9   1   3    0.0049       5.4    2.9   0.1   198   359   346   524   326   530 0.51 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 1301at5820           -           1082   0.00027   17.1   1.9   2   3   7.2e-06     0.008   12.2   0.1   586   650  1036  1101   931  1115 0.73 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 1301at5820           -           1082   0.00027   17.1   1.9   3   3     0.089        98   -1.3   0.0   679   732  1260  1313  1255  1327 0.71 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1301at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1301at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1301at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:30 2026
# [ok]
