#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123245.1-p1      -            303 8695at5820           -            275  1.7e-171  566.9   9.3   1   1  3.5e-174  1.9e-171  566.7   9.3     1   275     1   291     1   291 0.97 | transcript=PVX_123245.1 | gene=PVX_123245 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=Pv_Sal1_chr14:1271816-1274314(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092365.1-p1      -            852 8695at5820           -            275   0.00023   18.7   5.4   2   2      0.06        33    1.8   0.3   180   197   721   738   698   822 0.70 | transcript=PVX_092365.1 | gene=PVX_092365 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=Pv_Sal1_chr09:1311591-1314149(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095485.1-p1      -            197 8695at5820           -            275    0.0037   14.8   1.7   1   1   1.1e-05    0.0059   14.1   1.7    23    90   117   183   110   190 0.87 | transcript=PVX_095485.1 | gene=PVX_095485 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr08:1151214-1151999(-) | protein_length=197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113930.1-p1      -           1387 8695at5820           -            275      0.28    8.6   4.6   1   2   0.00035      0.19    9.1   2.0    44   142   783   883   777   891 0.78 | transcript=PVX_113930.1 | gene=PVX_113930 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1376175-1380338(+) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113930.1-p1      -           1387 8695at5820           -            275      0.28    8.6   4.6   2   2         2   1.1e+03   -3.2   0.0   213   234  1282  1303  1278  1326 0.67 | transcript=PVX_113930.1 | gene=PVX_113930 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1376175-1380338(+) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8695at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8695at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8695at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:08 2026
# [ok]
