#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_101260.1-p1      -            302 9829at5820           -            272    2e-163  540.5  15.9   1   1  5.1e-166  3.1e-163  539.9  15.9     1   272     9   298     9   298 0.97 | transcript=PVX_101260.1 | gene=PVX_101260 | organism=Plasmodium_vivax_Sal-1 | gene_product=70 kDa peptidylprolyl isomerase, putative | transcript_product=70 kDa peptidylprolyl isomerase, putative | location=Pv_Sal1_chr14:2753964-2754872(-) | protein_length=302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087910.1-p1      -           1098 9829at5820           -            272   1.4e-06   26.2   5.5   1   2       4.4   2.7e+03   -4.3   1.6   116   159    23    71    17    88 0.66 | transcript=PVX_087910.1 | gene=PVX_087910 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr01:283255-286551(+) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087910.1-p1      -           1098 9829at5820           -            272   1.4e-06   26.2   5.5   2   2   2.2e-09   1.4e-06   26.2   5.5   130   248   838   952   821   976 0.87 | transcript=PVX_087910.1 | gene=PVX_087910 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr01:283255-286551(+) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002860.1-p1      -            477 9829at5820           -            272   2.5e-05   22.1   3.5   1   2   3.5e-07   0.00022   19.0   0.3   137   218    14    91     2   136 0.81 | transcript=PVX_002860.1 | gene=PVX_002860 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:333998-336034(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002860.1-p1      -            477 9829at5820           -            272   2.5e-05   22.1   3.5   2   2     0.014       8.6    3.9   0.3   136   200   302   367   285   376 0.88 | transcript=PVX_002860.1 | gene=PVX_002860 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:333998-336034(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119715.1-p1      -           1123 9829at5820           -            272   3.2e-05   21.7   2.7   1   1   9.9e-08   6.1e-05   20.8   2.7   130   201   242   309   222   337 0.84 | transcript=PVX_119715.1 | gene=PVX_119715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1242268-1245639(+) | protein_length=1123 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116600.1-p1      -            141 9829at5820           -            272     0.011   13.4   1.2   1   1   2.2e-05     0.013   13.1   1.2   147   248     8   106     2   116 0.73 | transcript=PVX_116600.1 | gene=PVX_116600 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial fission 1 protein, putative | transcript_product=mitochondrial fission 1 protein, putative | location=Pv_Sal1_chr12:1128632-1129535(-) | protein_length=141 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9829at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9829at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9829at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:52:47 2026
# [ok]
