#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094470.1-p1      -            723 8755at5820           -            527  2.6e-227  754.0  76.3   1   1    3e-227  6.6e-225  746.0  76.3     1   520     1   704     1   717 0.84 | transcript=PVX_094470.1 | gene=PVX_094470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:276121-278292(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080080.1-p1      -            529 8755at5820           -            527   4.1e-12   43.9   3.3   1   2         5   1.1e+03   -3.8   5.5   113   156   125   170   116   192 0.53 | transcript=PVX_080080.1 | gene=PVX_080080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:348408-350329(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080080.1-p1      -            529 8755at5820           -            527   4.1e-12   43.9   3.3   2   2   1.8e-14   4.1e-12   43.9   3.3     8    83   191   260   184   266 0.91 | transcript=PVX_080080.1 | gene=PVX_080080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:348408-350329(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084650.1-p1      -            421 8755at5820           -            527   7.8e-12   42.9   0.7   1   2   3.5e-14   7.8e-12   42.9   0.7     9    78    28    88    22   110 0.87 | transcript=PVX_084650.1 | gene=PVX_084650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:511502-513332(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084650.1-p1      -            421 8755at5820           -            527   7.8e-12   42.9   0.7   2   2      0.26        57    0.5   1.9   416   463   351   399   336   418 0.40 | transcript=PVX_084650.1 | gene=PVX_084650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:511502-513332(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123520.1-p1      -           1079 8755at5820           -            527   9.9e-11   39.3  29.7   1   3   1.2e-08   2.7e-06   24.6   6.3     9    48   175   214   165   224 0.77 | transcript=PVX_123520.1 | gene=PVX_123520 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=Pv_Sal1_chr14:1492225-1495464(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123520.1-p1      -           1079 8755at5820           -            527   9.9e-11   39.3  29.7   2   3    0.0041      0.91    6.4   0.4    43    76   265   295   247   297 0.72 | transcript=PVX_123520.1 | gene=PVX_123520 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=Pv_Sal1_chr14:1492225-1495464(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123520.1-p1      -           1079 8755at5820           -            527   9.9e-11   39.3  29.7   3   3   3.3e-10   7.3e-08   29.8  15.4   139   286   329   468   309   486 0.75 | transcript=PVX_123520.1 | gene=PVX_123520 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=Pv_Sal1_chr14:1492225-1495464(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092455.1-p1      -            381 8755at5820           -            527   8.2e-10   36.3   1.3   1   2      0.62   1.4e+02   -0.8   1.8   266   392    43    75    13   112 0.36 | transcript=PVX_092455.1 | gene=PVX_092455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr09:1394400-1396156(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092455.1-p1      -            381 8755at5820           -            527   8.2e-10   36.3   1.3   2   2   3.7e-12   8.2e-10   36.3   1.3     5    78   109   176   102   180 0.90 | transcript=PVX_092455.1 | gene=PVX_092455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr09:1394400-1396156(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085755.1-p1      -            381 8755at5820           -            527   2.4e-09   34.7   2.1   1   1   2.1e-11   4.6e-09   33.8   2.1     8    76    55   117    48   120 0.90 | transcript=PVX_085755.1 | gene=PVX_085755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:1497068-1498582(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 8755at5820           -            527     6e-09   33.4   0.1   1   2   2.7e-11     6e-09   33.4   0.1    10    43    10    43     5    52 0.90 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 8755at5820           -            527     6e-09   33.4   0.1   2   2   0.00015     0.034   11.1   6.5    41    78   103   142    96   202 0.67 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089170.1-p1      -            691 8755at5820           -            527   7.1e-09   33.2  10.0   1   2      0.64   1.4e+02   -0.8  20.9   407   481    13    88     2   106 0.44 | transcript=PVX_089170.1 | gene=PVX_089170 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=Pv_Sal1_chr05:358947-361022(-) | protein_length=691 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089170.1-p1      -            691 8755at5820           -            527   7.1e-09   33.2  10.0   2   2   3.2e-11   7.1e-09   33.2  10.0     9   129   143   261   139   266 0.77 | transcript=PVX_089170.1 | gene=PVX_089170 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=Pv_Sal1_chr05:358947-361022(-) | protein_length=691 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122755.1-p1      -            720 8755at5820           -            527   7.2e-09   33.2   0.1   1   3       0.6   1.3e+02   -0.7   1.1   468   503    51    86    46    96 0.80 | transcript=PVX_122755.1 | gene=PVX_122755 | organism=Plasmodium_vivax_Sal-1 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=Pv_Sal1_chr14:839917-842079(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122755.1-p1      -            720 8755at5820           -            527   7.2e-09   33.2   0.1   2   3   3.2e-11   7.2e-09   33.2   0.1    10    76   131   192   128   195 0.90 | transcript=PVX_122755.1 | gene=PVX_122755 | organism=Plasmodium_vivax_Sal-1 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=Pv_Sal1_chr14:839917-842079(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122755.1-p1      -            720 8755at5820           -            527   7.2e-09   33.2   0.1   3   3       1.8     4e+02   -2.3   3.9   391   438   631   678   568   699 0.44 | transcript=PVX_122755.1 | gene=PVX_122755 | organism=Plasmodium_vivax_Sal-1 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=Pv_Sal1_chr14:839917-842079(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091110.1-p1      -            549 8755at5820           -            527     2e-08   31.7   0.2   1   2   9.1e-11     2e-08   31.7   0.2     9    76    35    94    30   105 0.87 | transcript=PVX_091110.1 | gene=PVX_091110 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein DnaJ homologue Pfj2, putative | transcript_product=heat shock protein DnaJ homologue Pfj2, putative | location=Pv_Sal1_chr09:269997-271646(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091110.1-p1      -            549 8755at5820           -            527     2e-08   31.7   0.2   2   2       7.7   1.7e+03   -4.4   3.2   297   350   189   239   169   278 0.58 | transcript=PVX_091110.1 | gene=PVX_091110 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein DnaJ homologue Pfj2, putative | transcript_product=heat shock protein DnaJ homologue Pfj2, putative | location=Pv_Sal1_chr09:269997-271646(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099370.1-p1      -            378 8755at5820           -            527   6.2e-08   30.1   1.2   1   2   2.8e-10   6.2e-08   30.1   1.2     7    76    52   115    49   127 0.92 | transcript=PVX_099370.1 | gene=PVX_099370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ-like molecular chaperone protein, putative | transcript_product=DNAJ-like molecular chaperone protein, putative | location=Pv_Sal1_chr07:723075-725006(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099370.1-p1      -            378 8755at5820           -            527   6.2e-08   30.1   1.2   2   2     0.067        15    2.4  11.2   423   521   256   354   225   356 0.69 | transcript=PVX_099370.1 | gene=PVX_099370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ-like molecular chaperone protein, putative | transcript_product=DNAJ-like molecular chaperone protein, putative | location=Pv_Sal1_chr07:723075-725006(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000775.1-p1      -            648 8755at5820           -            527   2.8e-07   27.9   0.0   1   1   2.3e-09     5e-07   27.1   0.0    10    77    86   147    83   151 0.89 | transcript=PVX_000775.1 | gene=PVX_000775 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperone DNAJ protein, putative | transcript_product=chaperone DNAJ protein, putative | location=Pv_Sal1_chr03:316760-318706(+) | protein_length=648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097645.1-p1      -            177 8755at5820           -            527   4.5e-07   27.2   0.3   1   2     2e-09   4.5e-07   27.2   0.3    10    48    10    48     7    54 0.90 | transcript=PVX_097645.1 | gene=PVX_097645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1278651-1279184(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097645.1-p1      -            177 8755at5820           -            527   4.5e-07   27.2   0.3   2   2         1   2.3e+02   -1.5   5.4   441   465    69    94    46   138 0.44 | transcript=PVX_097645.1 | gene=PVX_097645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1278651-1279184(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118690.1-p1      -            300 8755at5820           -            527   8.5e-06   23.0   0.0   1   1   6.8e-08   1.5e-05   22.2   0.0    34    90     2    56     1    90 0.87 | transcript=PVX_118690.1 | gene=PVX_118690 | organism=Plasmodium_vivax_Sal-1 | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=Pv_Sal1_chr12:2986888-2987943(+) | protein_length=300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114815.1-p1      -            201 8755at5820           -            527   1.3e-05   22.4  11.8   1   1   1.2e-07   2.7e-05   21.3  11.8     9   141     3   118     1   131 0.71 | transcript=PVX_114815.1 | gene=PVX_114815 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr11:613597-615229(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114160.1-p1      -            358 8755at5820           -            527   9.4e-05   19.6   2.8   1   1   5.8e-07   0.00013   19.1   2.8     9   135    72   197    68   229 0.83 | transcript=PVX_114160.1 | gene=PVX_114160 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr11:1208018-1209094(+) | protein_length=358 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081350.1-p1      -            308 8755at5820           -            527     0.001   16.1   2.5   1   1     7e-06    0.0015   15.6   2.5    23    67    87   132    78   142 0.84 | transcript=PVX_081350.1 | gene=PVX_081350 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:267510-269405(+) | protein_length=308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096125.1-p1      -            115 8755at5820           -            527     0.011   12.7   0.0   1   1     6e-05     0.013   12.5   0.0    10    40    67    97    59   109 0.90 | transcript=PVX_096125.1 | gene=PVX_096125 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial import inner membrane translocase subunit TIM14, putative | transcript_product=mitochondrial import inner membrane translocase subunit TIM14, putative | location=Pv_Sal1_chr03:745795-746433(+) | protein_length=115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085990.1-p1      -            219 8755at5820           -            527      0.31    8.0   4.7   1   1    0.0018      0.39    7.6   4.7   349   452    61   163    41   169 0.70 | transcript=PVX_085990.1 | gene=PVX_085990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1716344-1717362(+) | protein_length=219 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8755at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8755at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8755at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:28 2026
# [ok]
