#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085355.1-p1      -            520 6148at5820           -            431  1.5e-263  872.5  48.6   1   2  1.2e-231  5.2e-229  758.7  37.5     1   344     1   344     1   355 0.99 | transcript=PVX_085355.1 | gene=PVX_085355 | organism=Plasmodium_vivax_Sal-1 | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=Pv_Sal1_chr13:1127828-1130131(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119830.1-p1      -           1203 6148at5820           -            431   1.5e-05   22.3   2.5   1   1   5.5e-08   2.4e-05   21.7   2.5   286   341  1144  1201  1129  1203 0.84 | transcript=PVX_119830.1 | gene=PVX_119830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:1169876-1173487(+) | protein_length=1203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114470.1-p1      -            519 6148at5820           -            431   3.2e-05   21.2   2.7   1   1   1.1e-07   4.8e-05   20.7   2.7   282   341   348   406   334   412 0.82 | transcript=PVX_114470.1 | gene=PVX_114470 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=Pv_Sal1_chr11:942306-943865(+) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083150.1-p1      -            322 6148at5820           -            431   6.3e-05   20.3   1.5   1   1   2.2e-07   9.2e-05   19.7   1.5   309   352   246   293   203   315 0.78 | transcript=PVX_083150.1 | gene=PVX_083150 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:362224-365209(-) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082630.1-p1      -            456 6148at5820           -            431   7.9e-05   19.9   5.0   1   2   1.9e-07   7.9e-05   19.9   5.0   297   340     6    50     1    76 0.85 | transcript=PVX_082630.1 | gene=PVX_082630 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:791579-792949(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082630.1-p1      -            456 6148at5820           -            431   7.9e-05   19.9   5.0   2   2       3.8   1.6e+03   -4.1   1.4   390   421   123   154    85   185 0.65 | transcript=PVX_082630.1 | gene=PVX_082630 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:791579-792949(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114337.1-p1      -             89 6148at5820           -            431   0.00044   17.5   4.1   1   1     1e-06   0.00044   17.5   4.1   312   346    52    87     3    89 0.79 | transcript=PVX_114337.1 | gene=PVX_114337 | organism=Plasmodium_vivax_Sal-1 | gene_product=anaphase promoting complex subunit, putative | transcript_product=anaphase promoting complex subunit, putative | location=Pv_Sal1_chr11:1055694-1055963(-) | protein_length=89 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089745.1-p1      -            730 6148at5820           -            431    0.0096   13.1   5.4   1   1   3.4e-05     0.015   12.5   5.4   274   342    54   123    30   155 0.81 | transcript=PVX_089745.1 | gene=PVX_089745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:797468-799660(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095280.1-p1      -            152 6148at5820           -            431     0.012   12.7   5.3   1   3      0.75   3.2e+02   -1.8   0.0   255   273    11    29     6    33 0.78 | transcript=PVX_095280.1 | gene=PVX_095280 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=Pv_Sal1_chr08:955234-955692(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095280.1-p1      -            152 6148at5820           -            431     0.012   12.7   5.3   2   3     0.025        11    3.1   0.1   324   344    68    88    47    98 0.79 | transcript=PVX_095280.1 | gene=PVX_095280 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=Pv_Sal1_chr08:955234-955692(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095280.1-p1      -            152 6148at5820           -            431     0.012   12.7   5.3   3   3   6.2e-05     0.027   11.6   0.6   313   336   118   141   103   148 0.89 | transcript=PVX_095280.1 | gene=PVX_095280 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=Pv_Sal1_chr08:955234-955692(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6148at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6148at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6148at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:21 2026
# [ok]
