#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083175.1-p1      -            262 10347at5820          -            202  1.8e-120  398.6   7.9   1   2      0.77   2.9e+02   -0.4   0.0     5    42    20    58    16    74 0.70 | transcript=PVX_083175.1 | gene=PVX_083175 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr12:345578-346366(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101160.1-p1      -            150 10347at5820          -            202   1.2e-06   26.9   0.0   1   1   3.7e-09   1.4e-06   26.8   0.0   107   169    58   119    18   133 0.88 | transcript=PVX_101160.1 | gene=PVX_101160 | organism=Plasmodium_vivax_Sal-1 | gene_product=NEDD8-conjugating enzyme UBC12, putative | transcript_product=NEDD8-conjugating enzyme UBC12, putative | location=Pv_Sal1_chr14:2682940-2684147(+) | protein_length=150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111030.1-p1      -            191 10347at5820          -            202   1.4e-05   23.5   0.0   1   1   5.6e-08   2.1e-05   22.9   0.0    92   158    36   102    17   113 0.88 | transcript=PVX_111030.1 | gene=PVX_111030 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme, putative | transcript_product=ubiquitin-conjugating enzyme, putative | location=Pv_Sal1_chr06:773084-774664(-) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119410.1-p1      -            139 10347at5820          -            202   5.1e-05   21.6   0.0   1   1   1.8e-07   6.5e-05   21.3   0.0    90   179    43   133    33   137 0.80 | transcript=PVX_119410.1 | gene=PVX_119410 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr08:1482131-1482984(+) | protein_length=139 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101085.1-p1      -            624 10347at5820          -            202     0.013   13.7   0.3   1   1   5.5e-05      0.02   13.2   0.3    84   131   194   239   138   278 0.83 | transcript=PVX_101085.1 | gene=PVX_101085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr14:2618378-2620252(+) | protein_length=624 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098055.1-p1      -            404 10347at5820          -            202     0.022   13.1   0.2   1   1   0.00011      0.04   12.2   0.2    32    68   214   250   203   268 0.83 | transcript=PVX_098055.1 | gene=PVX_098055 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:935640-936854(-) | protein_length=404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10347at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10347at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10347at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:40 2026
# [ok]
