#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099005.1-p1      -           3274 150at5820            -           2276         0 3449.1 298.7   1   7  1.4e-143  2.6e-140  467.8  62.3    13   536   135   888   132   890 0.77 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 150at5820            -           2276   2.7e-63  212.3 218.7   7   7         3   5.5e+03  -14.7  18.6  2127  2259  3093  3226  2998  3244 0.71 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/150at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/150at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/150at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:06 2026
# [ok]
