#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_002575.1-p1      -            945 3492at5820           -            673         0 1381.9  49.9   1   4   5.3e-11   5.9e-08   29.9   4.0     2    36     2    38     1    48 0.85 | transcript=PVX_002575.1 | gene=PVX_002575 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=Pv_Sal1_chr04:113526-116363(+) | protein_length=945 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002640.1-p1      -            330 3492at5820           -            673     8e-15   52.6   4.7   2   2   8.3e-15   9.1e-12   42.5   0.8   202   371    41   219    29   232 0.75 | transcript=PVX_002640.1 | gene=PVX_002640 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 2, putative | transcript_product=replication factor C subunit 2, putative | location=Pv_Sal1_chr04:155279-156271(-) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3492at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3492at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3492at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:03 2026
# [ok]
