#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092140.1-p1      -           1613 1267at5820           -           1206         0 2008.5 165.9   1   6   1.5e-08   2.8e-05   20.3   0.2     1    32    39    71    39    85 0.84 | transcript=PVX_092140.1 | gene=PVX_092140 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome protein, putative | transcript_product=structural maintenance of chromosome protein, putative | location=Pv_Sal1_chr09:1120094-1124935(-) | protein_length=1613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098020.1-p1      -           1455 1267at5820           -           1206   2.1e-37  126.7  14.6   6   7         3   5.5e+03  -23.7  41.5   731   910   852  1034   840  1074 0.42 | transcript=PVX_098020.1 | gene=PVX_098020 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromosome condensation protein, putative | transcript_product=chromosome condensation protein, putative | location=Pv_Sal1_chr10:966270-970637(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098020.1-p1      -           1455 1267at5820           -           1206   2.1e-37  126.7  14.6   7   7   9.7e-26   1.8e-22   77.3  10.4   969  1200  1203  1422  1177  1427 0.88 | transcript=PVX_098020.1 | gene=PVX_098020 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromosome condensation protein, putative | transcript_product=chromosome condensation protein, putative | location=Pv_Sal1_chr10:966270-970637(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122740.1-p1      -           1218 1267at5820           -           1206   2.6e-12   43.6 177.0   1   1   4.4e-12   8.1e-09   32.0 177.0    56  1182     3  1173     1  1191 0.61 | transcript=PVX_122740.1 | gene=PVX_122740 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome 2, putative | transcript_product=structural maintenance of chromosome 2, putative | location=Pv_Sal1_chr14:824711-828690(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1267at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1267at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1267at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:35 2026
# [ok]
