#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118535.1-p1      -           2439 322at5820            -           1848         0 3562.5 182.1   1   6     0.013        14    0.9   0.1     1    28     1    40     1    47 0.66 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113270.1-p1      -           1387 322at5820            -           1848   1.9e-27   93.3   6.9   2   2         4   4.5e+03   -7.4   3.5   844  1348  1072  1095  1031  1139 0.49 | transcript=PVX_113270.1 | gene=PVX_113270 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr11:1947435-1951781(-) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098935.1-p1      -           1393 322at5820            -           1848   3.4e-25   85.8  15.8   1   2   1.1e-14   1.2e-11   40.9   3.5  1073  1193   326   437   314   443 0.86 | transcript=PVX_098935.1 | gene=PVX_098935 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr07:369120-373301(+) | protein_length=1393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098935.1-p1      -           1393 322at5820            -           1848   3.4e-25   85.8  15.8   2   2   2.2e-17   2.5e-14   49.8   4.5  1317  1461   632   775   619   862 0.79 | transcript=PVX_098935.1 | gene=PVX_098935 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr07:369120-373301(+) | protein_length=1393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082490.1-p1      -           1185 322at5820            -           1848   1.2e-20   70.8   8.7   1   3   3.8e-16   4.2e-13   45.8   2.6  1072  1232   260   425   252   431 0.83 | transcript=PVX_082490.1 | gene=PVX_082490 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr12:872755-878198(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082490.1-p1      -           1185 322at5820            -           1848   1.2e-20   70.8   8.7   2   3   8.1e-14     9e-11   38.0   0.4   497   584   540   621   470   631 0.73 | transcript=PVX_082490.1 | gene=PVX_082490 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr12:872755-878198(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082490.1-p1      -           1185 322at5820            -           1848   1.2e-20   70.8   8.7   3   3       2.5   2.8e+03   -6.7   4.1  1760  1826   861   928   832   945 0.70 | transcript=PVX_082490.1 | gene=PVX_082490 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr12:872755-878198(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/322at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/322at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/322at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:08 2026
# [ok]
