#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099257.1-p1      -            339 9867at5820           -            284  1.7e-168  557.3  33.0   1   2         1   2.1e+02   -0.8   0.1     1    15     1    15     1    27 0.76 | transcript=PVX_099257.1 | gene=PVX_099257 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=Pv_Sal1_chr07:628751-629772(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 9867at5820           -            284   2.1e-11   41.8   7.6   2   2   2.1e-07   4.1e-05   21.2   0.0    43   131   380   471   373   501 0.81 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115005.1-p1      -            392 9867at5820           -            284   4.5e-11   40.8  15.1   1   2   1.3e-08   2.6e-06   25.1   1.8   121   212    95   189    12   207 0.63 | transcript=PVX_115005.1 | gene=PVX_115005 | organism=Plasmodium_vivax_Sal-1 | gene_product=poly(A)-binding protein, putative | transcript_product=poly(A)-binding protein, putative | location=Pv_Sal1_chr11:406199-408868(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115005.1-p1      -            392 9867at5820           -            284   4.5e-11   40.8  15.1   2   2   1.2e-07   2.4e-05   22.0   0.0    65   120   213   268   205   284 0.80 | transcript=PVX_115005.1 | gene=PVX_115005 | organism=Plasmodium_vivax_Sal-1 | gene_product=poly(A)-binding protein, putative | transcript_product=poly(A)-binding protein, putative | location=Pv_Sal1_chr11:406199-408868(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094315.1-p1      -            322 9867at5820           -            284   4.6e-11   40.7   0.0   1   2   2.3e-13   4.6e-11   40.7   0.0   144   218    90   166    77   193 0.84 | transcript=PVX_094315.1 | gene=PVX_094315 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:148003-151105(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094315.1-p1      -            322 9867at5820           -            284   4.6e-11   40.7   0.0   2   2       8.6   1.7e+03   -3.8   1.1   228   228   257   257   221   273 0.57 | transcript=PVX_094315.1 | gene=PVX_094315 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:148003-151105(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 9867at5820           -            284   7.2e-10   36.8   1.2   1   3   3.6e-12   7.2e-10   36.8   1.2    63   224    22   188    12   207 0.81 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 9867at5820           -            284   7.2e-10   36.8   1.2   2   3       2.6   5.2e+02   -2.1   5.5   242   272   356   387   347   395 0.83 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 9867at5820           -            284   7.2e-10   36.8   1.2   3   3       9.4   1.8e+03   -3.9   4.5   245   272   400   427   392   443 0.73 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099460.1-p1      -            475 9867at5820           -            284   2.7e-09   34.9   6.4   1   2   3.3e-05    0.0065   14.0   0.6   143   198    94   149    81   194 0.64 | transcript=PVX_099460.1 | gene=PVX_099460 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:790787-792409(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099460.1-p1      -            475 9867at5820           -            284   2.7e-09   34.9   6.4   2   2   3.3e-08   6.6e-06   23.8   0.7    57   212   299   375   258   384 0.54 | transcript=PVX_099460.1 | gene=PVX_099460 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:790787-792409(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115315.1-p1      -            452 9867at5820           -            284   6.9e-09   33.6   0.7   1   1   5.5e-11   1.1e-08   32.9   0.7   138   217    92   172    63   183 0.79 | transcript=PVX_115315.1 | gene=PVX_115315 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1 small nuclear ribonucleoprotein 70 kDa, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa, putative | location=Pv_Sal1_chr11:151867-153225(-) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 9867at5820           -            284   8.3e-08   30.0  22.1   1   5       2.2   4.4e+02   -1.9   0.5   199   231    82   117    35   130 0.53 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 9867at5820           -            284   8.3e-08   30.0  22.1   2   5       3.9   7.7e+02   -2.7   0.3    99   149   499   556   483   580 0.57 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 9867at5820           -            284   8.3e-08   30.0  22.1   3   5     0.047       9.3    3.6   0.1   144   172   714   742   703   753 0.86 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 9867at5820           -            284   8.3e-08   30.0  22.1   4   5     0.002      0.39    8.1   0.6    62   131   870   957   854   966 0.62 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 9867at5820           -            284   8.3e-08   30.0  22.1   5   5   6.1e-10   1.2e-07   29.5   0.6    58   142   983  1064   965  1092 0.86 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117025.1-p1      -            914 9867at5820           -            284   1.2e-07   29.5   0.6   1   3      0.88   1.7e+02   -0.6   0.0    59    83   542   566   535   576 0.83 | transcript=PVX_117025.1 | gene=PVX_117025 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=Pv_Sal1_chr12:1469113-1471857(+) | protein_length=914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117025.1-p1      -            914 9867at5820           -            284   1.2e-07   29.5   0.6   2   3   9.5e-09   1.9e-06   25.6   0.1   139   257   672   786   655   805 0.82 | transcript=PVX_117025.1 | gene=PVX_117025 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=Pv_Sal1_chr12:1469113-1471857(+) | protein_length=914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117025.1-p1      -            914 9867at5820           -            284   1.2e-07   29.5   0.6   3   3      0.78   1.5e+02   -0.4   0.0   160   217   838   900   814   909 0.67 | transcript=PVX_117025.1 | gene=PVX_117025 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=Pv_Sal1_chr12:1469113-1471857(+) | protein_length=914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100755.1-p1      -            505 9867at5820           -            284   3.5e-07   28.0   0.3   1   2       1.4   2.8e+02   -1.2   0.1   185   209    67    91    10   109 0.53 | transcript=PVX_100755.1 | gene=PVX_100755 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr14:2357427-2358944(-) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100755.1-p1      -            505 9867at5820           -            284   3.5e-07   28.0   0.3   2   2   7.8e-09   1.5e-06   25.9   0.0    56   133   417   496   403   503 0.89 | transcript=PVX_100755.1 | gene=PVX_100755 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr14:2357427-2358944(-) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092560.1-p1      -           1836 9867at5820           -            284   1.3e-06   26.2   0.1   1   1   2.9e-08   5.8e-06   24.0   0.1   145   203  1022  1080  1016  1105 0.91 | transcript=PVX_092560.1 | gene=PVX_092560 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1504872-1510382(+) | protein_length=1836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114975.1-p1      -            181 9867at5820           -            284   2.2e-06   25.4   0.4   1   1   1.5e-08   2.9e-06   25.0   0.3   145   215    51   123    36   155 0.83 | transcript=PVX_114975.1 | gene=PVX_114975 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr11:447877-449199(+) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116785.1-p1      -           1016 9867at5820           -            284   3.3e-06   24.8   0.3   1   1   1.2e-07   2.4e-05   21.9   0.3    63   202   627   786   608   810 0.71 | transcript=PVX_116785.1 | gene=PVX_116785 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=Pv_Sal1_chr12:1293026-1296231(-) | protein_length=1016 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099605.1-p1      -            202 9867at5820           -            284   7.3e-06   23.7   0.1   1   1   4.7e-08   9.3e-06   23.3   0.1    59   127    69   138    23   148 0.86 | transcript=PVX_099605.1 | gene=PVX_099605 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:907263-908738(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094535.1-p1      -            250 9867at5820           -            284   9.2e-06   23.3   0.2   1   2   3.4e-07   6.8e-05   20.5   0.1   145   235    22   116     9   131 0.80 | transcript=PVX_094535.1 | gene=PVX_094535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:314388-316060(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094535.1-p1      -            250 9867at5820           -            284   9.2e-06   23.3   0.2   2   2      0.37        74    0.7   0.0   144   182   172   209   162   231 0.73 | transcript=PVX_094535.1 | gene=PVX_094535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:314388-316060(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086965.1-p1      -            192 9867at5820           -            284   1.5e-05   22.6   0.9   1   2   7.6e-07   0.00015   19.3   0.8   136   237     2   108     1   133 0.66 | transcript=PVX_086965.1 | gene=PVX_086965 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=Pv_Sal1_chr07:1323207-1323785(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086965.1-p1      -            192 9867at5820           -            284   1.5e-05   22.6   0.9   2   2      0.11        21    2.5   0.0   145   173   121   149   110   176 0.82 | transcript=PVX_086965.1 | gene=PVX_086965 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=Pv_Sal1_chr07:1323207-1323785(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091625.1-p1      -            208 9867at5820           -            284   4.2e-05   21.2   0.2   1   1   3.8e-07   7.6e-05   20.3   0.2    58   122     5    69     1    89 0.86 | transcript=PVX_091625.1 | gene=PVX_091625 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=Pv_Sal1_chr09:657690-658316(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095260.1-p1      -            299 9867at5820           -            284   0.00052   17.6   0.1   1   1   3.8e-06   0.00074   17.1   0.1   138   229    28   124     4   143 0.74 | transcript=PVX_095260.1 | gene=PVX_095260 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:941021-942355(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091955.1-p1      -           1058 9867at5820           -            284    0.0012   16.4   0.0   1   1   9.4e-06    0.0019   15.8   0.0    63   131     8    79     3    96 0.72 | transcript=PVX_091955.1 | gene=PVX_091955 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr09:983120-986296(+) | protein_length=1058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086130.1-p1      -            119 9867at5820           -            284    0.0012   16.3   0.0   1   1   6.7e-06    0.0013   16.2   0.0    63   113    37    89    14   117 0.61 | transcript=PVX_086130.1 | gene=PVX_086130 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1857415-1858143(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118205.1-p1      -            786 9867at5820           -            284    0.0014   16.2   1.5   1   2   7.5e-06    0.0015   16.1   0.1    61   205    29    91    13   143 0.60 | transcript=PVX_118205.1 | gene=PVX_118205 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2502331-2505392(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118205.1-p1      -            786 9867at5820           -            284    0.0014   16.2   1.5   2   2       6.3   1.2e+03   -3.3   0.1   256   270   691   705   674   709 0.77 | transcript=PVX_118205.1 | gene=PVX_118205 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2502331-2505392(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123875.1-p1      -            110 9867at5820           -            284    0.0051   14.3   0.0   1   1   2.7e-05    0.0053   14.3   0.0   145   198    15    66     9   107 0.75 | transcript=PVX_123875.1 | gene=PVX_123875 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=Pv_Sal1_chr14:1860422-1861009(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092155.1-p1      -            156 9867at5820           -            284     0.013   13.0   0.8   1   1   9.6e-05     0.019   12.5   0.2   143   188     3    48     1    69 0.80 | transcript=PVX_092155.1 | gene=PVX_092155 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr09:1133265-1133735(-) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092210.1-p1      -            962 9867at5820           -            284     0.031   11.8   0.0   1   1   0.00026     0.052   11.0   0.0    56   118   739   809   735   818 0.78 | transcript=PVX_092210.1 | gene=PVX_092210 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1178329-1181217(-) | protein_length=962 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9867at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9867at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9867at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:52:58 2026
# [ok]
