#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084925.1-p1      -           1499 1634at5820           -           1163         0 1774.3 110.8   1   4    1e-281  4.7e-279  927.3  48.0     1   535     7   596     7   599 0.94 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098022.1-p1      -            359 1634at5820           -           1163   9.3e-11   38.7  18.3   1   2   4.2e-13   1.9e-10   37.7  10.6    59   181    27   148    17   169 0.81 | transcript=PVX_098022.1 | gene=PVX_098022 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:964062-965787(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098022.1-p1      -            359 1634at5820           -           1163   9.3e-11   38.7  18.3   2   2    0.0028       1.3    5.1   0.9   840   887   262   311   243   321 0.83 | transcript=PVX_098022.1 | gene=PVX_098022 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:964062-965787(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089240.1-p1      -            198 1634at5820           -           1163   3.2e-10   36.9   9.9   1   1   1.7e-12     8e-10   35.6   9.9   986  1137    27   188    11   196 0.79 | transcript=PVX_089240.1 | gene=PVX_089240 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=Pv_Sal1_chr05:408745-410298(+) | protein_length=198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083285.1-p1      -            310 1634at5820           -           1163     6e-10   36.0  18.6   1   1   4.8e-12   2.2e-09   34.1  18.6    48   225    30   209    16   214 0.85 | transcript=PVX_083285.1 | gene=PVX_083285 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr12:247853-249650(-) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117875.1-p1      -            361 1634at5820           -           1163     1e-07   28.6  40.3   1   2     2e-09   9.4e-07   25.5  18.6    57   168    24   137    17   140 0.77 | transcript=PVX_117875.1 | gene=PVX_117875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2212611-2213696(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117875.1-p1      -            361 1634at5820           -           1163     1e-07   28.6  40.3   2   2   3.9e-05     0.018   11.3  16.8   741   890   125   285   119   292 0.69 | transcript=PVX_117875.1 | gene=PVX_117875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2212611-2213696(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099970.1-p1      -            635 1634at5820           -           1163   2.3e-06   24.2  18.4   1   2     5e-09   2.3e-06   24.2  18.4   763   868    77   184    68   187 0.70 | transcript=PVX_099970.1 | gene=PVX_099970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1144830-1147506(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099970.1-p1      -            635 1634at5820           -           1163   2.3e-06   24.2  18.4   2   2       4.3     2e+03   -5.4   5.3    93   385   495   523   459   605 0.54 | transcript=PVX_099970.1 | gene=PVX_099970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1144830-1147506(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085145.1-p1      -            281 1634at5820           -           1163   2.3e-05   20.9   5.4   1   1   2.4e-07   0.00011   18.6   4.7   106   215    53   164    42   200 0.79 | transcript=PVX_085145.1 | gene=PVX_085145 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:941527-942372(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124035.1-p1      -            438 1634at5820           -           1163   0.00012   18.5  15.7   1   2   2.6e-07   0.00012   18.5  15.7  1008  1147    19   166    17   182 0.77 | transcript=PVX_124035.1 | gene=PVX_124035 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1990626-1992189(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124035.1-p1      -            438 1634at5820           -           1163   0.00012   18.5  15.7   2   2       1.6   7.2e+02   -4.0   0.3   408   445   242   283   238   318 0.51 | transcript=PVX_124035.1 | gene=PVX_124035 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1990626-1992189(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098780.1-p1      -            414 1634at5820           -           1163    0.0019   14.5   2.8   1   2      0.15        69   -0.6   0.2    76   661   170   218   134   223 0.55 | transcript=PVX_098780.1 | gene=PVX_098780 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr07:250525-251769(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098780.1-p1      -            414 1634at5820           -           1163    0.0019   14.5   2.8   2   2   4.2e-06    0.0019   14.5   2.8   625   682   273   332   267   340 0.79 | transcript=PVX_098780.1 | gene=PVX_098780 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr07:250525-251769(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1634at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1634at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1634at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:49 2026
# [ok]
