#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095000.1-p1      -            580 4457at5820           -            537         0 1213.3  26.6   1   1         0         0 1213.1  26.6     1   537    33   580    33   580 0.99 | transcript=PVX_095000.1 | gene=PVX_095000 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=Pv_Sal1_chr08:723282-725290(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113595.1-p1      -            543 4457at5820           -            537   6.9e-08   29.8   3.7   1   2   1.1e-08   7.3e-06   23.1   0.2    19   148    28   159    13   210 0.78 | transcript=PVX_113595.1 | gene=PVX_113595 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit zeta, putative | transcript_product=T-complex protein 1 subunit zeta, putative | location=Pv_Sal1_chr11:1676200-1678047(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113595.1-p1      -            543 4457at5820           -            537   6.9e-08   29.8   3.7   2   2   0.00057      0.39    7.5   0.3   386   512   393   525   382   540 0.78 | transcript=PVX_113595.1 | gene=PVX_113595 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit zeta, putative | transcript_product=T-complex protein 1 subunit zeta, putative | location=Pv_Sal1_chr11:1676200-1678047(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002835.1-p1      -            544 4457at5820           -            537   4.4e-07   27.1   0.9   1   2   6.4e-10   4.4e-07   27.1   0.9     7   126    23   141    17   188 0.84 | transcript=PVX_002835.1 | gene=PVX_002835 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit theta, putative | transcript_product=T-complex protein 1 subunit theta, putative | location=Pv_Sal1_chr04:312876-314760(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002835.1-p1      -            544 4457at5820           -            537   4.4e-07   27.1   0.9   2   2     0.025        17    2.1   2.4   370   506   367   509   340   527 0.72 | transcript=PVX_002835.1 | gene=PVX_002835 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit theta, putative | transcript_product=T-complex protein 1 subunit theta, putative | location=Pv_Sal1_chr04:312876-314760(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4457at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4457at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4457at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:44 2026
# [ok]
