#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3   1  39   7.1e-26   3.9e-22   74.6   6.1     1    80    15    95    15   111 0.85 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  12  39   3.2e-49   1.8e-45  152.1  19.8  1062  1190  3117  3248  3105  3251 0.79 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  13  39   1.5e-90   8.1e-87  289.3  13.7  1185  1349  3346  3521  3339  3529 0.91 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  14  39   2.3e-37   1.3e-33  112.7   9.3  1345  1430  3652  3741  3649  3759 0.89 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  15  39  5.1e-144  2.8e-140  466.8  56.7  1437  1711  3875  4173  3866  4180 0.93 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  16  39   7.8e-23   4.3e-19   64.5   2.6  1710  1768  4223  4288  4216  4296 0.90 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  17  39     2e-38   1.1e-34  116.2   2.6  1775  1848  4331  4404  4313  4408 0.88 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  18  39   9.3e-67   5.2e-63  210.3  16.8  1842  1971  4457  4590  4453  4597 0.93 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  19  39   2.7e-11   1.5e-07   26.2   0.0  1967  2016  4676  4736  4629  4750 0.83 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  20  39  8.7e-216  4.8e-212  705.0  51.6  2016  2402  4910  5312  4875  5316 0.95 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  21  39   6.4e-67   3.5e-63  210.8  28.3  2396  2552  5355  5517  5350  5520 0.95 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  22  39   1.3e-25     7e-22   73.8   6.7  2552  2621  5564  5640  5561  5650 0.87 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  23  39   5.7e-68   3.2e-64  214.3  17.1  2609  2751  5666  5820  5649  5824 0.85 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  24  39  6.7e-152  3.7e-148  492.9  31.8  2750  3016  5853  6123  5848  6143 0.96 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  25  39   1.4e-18   7.6e-15   50.4   2.6  3006  3064  6164  6222  6158  6240 0.82 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  26  39   1.5e-06    0.0082   10.5   0.0  3030  3077  6325  6372  6316  6384 0.88 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  27  39   1.2e-38   6.8e-35  117.0   4.0  3065  3172  6817  6924  6808  6932 0.89 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  28  39     1e-66   5.5e-63  210.2  11.1  3158  3296  6979  7120  6975  7127 0.95 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  29  39   4.8e-35   2.7e-31  105.0   0.3  3296  3409  7232  7351  7224  7359 0.87 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  30  39   9.8e-24   5.4e-20   67.5   0.0  3397  3459  7414  7481  7405  7487 0.90 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  31  39   2.3e-06     0.013    9.8   0.1  3458  3490  7516  7553  7509  7564 0.81 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  32  39  8.3e-220  4.6e-216  718.3  36.7  3497  3801  7763  8067  7754  8097 0.96 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  33  39     0.011        63   -2.4   0.0  3801  3830  8126  8155  8115  8163 0.81 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  34  39  1.6e-123  8.8e-120  398.7   5.4  3822  4015  8206  8404  8196  8418 0.91 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  35  39   4.9e-72   2.7e-68  227.8  16.6  4017  4221  8769  9024  8754  9034 0.84 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  36  39   1.5e-91   8.2e-88  292.6  28.6  4235  4459  9635  9880  9625  9895 0.91 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  37  39         1   5.5e+03   -9.2   6.7   242   289 10362 10412 10346 10421 0.39 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  38  39   0.00049       2.7    2.1   0.1  4461  4494 10535 10568 10526 10590 0.84 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080660.1-p1      -          11448 4at5820              -           4574         0 6603.6 716.3  39  39    0.0054        30   -1.4   0.1  4522  4542 10801 10821 10799 10836 0.89 | transcript=PVX_080660.1 | gene=PVX_080660 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=Pv_Sal1_chr10:829185-863703(-) | protein_length=11448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:57 2026
# [ok]
