#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081610.1-p1      -            631 4891at5820           -            503         0 1049.0  28.1   1   2   8.7e-30     8e-27   92.5   8.5     1    72    73   153    73   159 0.90 | transcript=PVX_081610.1 | gene=PVX_081610 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr02:487513-489408(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083400.1-p1      -            585 4891at5820           -            503   2.3e-18   64.6   0.3   1   1   2.7e-20   2.5e-17   61.2   0.3   185   496   235   580   229   583 0.71 | transcript=PVX_083400.1 | gene=PVX_083400 | organism=Plasmodium_vivax_Sal-1 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=Pv_Sal1_chr12:150172-152234(+) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085610.1-p1      -            677 4891at5820           -            503   2.5e-09   34.8   0.8   1   2   4.6e-09   4.3e-06   24.1   1.1   208   326   311   430   287   548 0.80 | transcript=PVX_085610.1 | gene=PVX_085610 | organism=Plasmodium_vivax_Sal-1 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=Pv_Sal1_chr13:1354810-1356843(-) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085610.1-p1      -            677 4891at5820           -            503   2.5e-09   34.8   0.8   2   2   0.00038      0.35    7.9   0.0   442   495   618   672   603   675 0.83 | transcript=PVX_085610.1 | gene=PVX_085610 | organism=Plasmodium_vivax_Sal-1 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=Pv_Sal1_chr13:1354810-1356843(-) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4891at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4891at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4891at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:29 2026
# [ok]
