#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123920.1-p1      -           1143 1289at5820           -            955         0 1796.6  50.2   1   3  2.6e-138  1.8e-135  451.8  12.4     6   254    37   308    33   316 0.94 | transcript=PVX_123920.1 | gene=PVX_123920 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr14:1895609-1899566(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115230.1-p1      -            534 1289at5820           -            955   1.4e-10   38.4   1.1   1   1   4.3e-13     3e-10   37.3   1.1   371   508    99   237    60   251 0.80 | transcript=PVX_115230.1 | gene=PVX_115230 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr11:221976-223580(+) | protein_length=534 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092830.1-p1      -            359 1289at5820           -            955   1.5e-10   38.3  13.4   1   2   2.2e-12   1.5e-09   35.0   6.3    13   121    10   123     2   143 0.83 | transcript=PVX_092830.1 | gene=PVX_092830 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin activating enzyme, putative | transcript_product=ubiquitin activating enzyme, putative | location=Pv_Sal1_chr09:1749092-1750171(+) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092830.1-p1      -            359 1289at5820           -            955   1.5e-10   38.3  13.4   2   2   0.00036      0.25    7.8   0.1   260   339   248   336   232   356 0.67 | transcript=PVX_092830.1 | gene=PVX_092830 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin activating enzyme, putative | transcript_product=ubiquitin activating enzyme, putative | location=Pv_Sal1_chr09:1749092-1750171(+) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091922.1-p1      -           1216 1289at5820           -            955   0.00021   18.0   0.1   1   1   4.5e-07   0.00031   17.4   0.1   370   445   759   835   751   849 0.83 | transcript=PVX_091922.1 | gene=PVX_091922 | organism=Plasmodium_vivax_Sal-1 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=Pv_Sal1_chr09:948808-952605(-) | protein_length=1216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083415.1-p1      -            585 1289at5820           -            955     0.031   10.8   4.1   1   1   6.2e-05     0.043   10.3   4.1    15   148     6   158     2   170 0.77 | transcript=PVX_083415.1 | gene=PVX_083415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr12:143639-145396(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1289at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1289at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1289at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:09 2026
# [ok]
