#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089395.1-p1      -            705 4437at5820           -            479    6e-241  798.9  10.7   1   3   1.3e-80   1.4e-77  260.2   0.6     1   146    61   207    61   218 0.97 | transcript=PVX_089395.1 | gene=PVX_089395 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 4 | transcript_product=perforin-like protein 4 | location=Pv_Sal1_chr05:523860-525977(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099575.1-p1      -            783 4437at5820           -            479   1.6e-18   65.4  12.5   1   3   2.1e-07   0.00023   18.8   0.3     6   143   202   356   199   365 0.72 | transcript=PVX_099575.1 | gene=PVX_099575 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=Pv_Sal1_chr07:886026-888377(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099575.1-p1      -            783 4437at5820           -            479   1.6e-18   65.4  12.5   2   3   6.2e-07   0.00069   17.2   0.2   134   181   372   419   355   425 0.83 | transcript=PVX_099575.1 | gene=PVX_099575 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=Pv_Sal1_chr07:886026-888377(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099575.1-p1      -            783 4437at5820           -            479   1.6e-18   65.4  12.5   3   3   1.7e-12   1.8e-09   35.6   1.7   211   438   481   721   464   749 0.74 | transcript=PVX_099575.1 | gene=PVX_099575 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=Pv_Sal1_chr07:886026-888377(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4437at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4437at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4437at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:35 2026
# [ok]
