#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_090020.1-p1      -           1699 1976at5820           -           1181         0 1634.6  35.4   1   2  9.3e-122  3.2e-119  397.9  10.2    11   336    54   522    45   532 0.84 | transcript=PVX_090020.1 | gene=PVX_090020 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1046372-1051471(+) | protein_length=1699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001095.1-p1      -            585 1976at5820           -           1181   0.00022   17.6   2.3   5   6      0.21        72   -0.7   0.3    17    82   421   489   400   498 0.64 | transcript=PVX_001095.1 | gene=PVX_001095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:11589-13346(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001095.1-p1      -            585 1976at5820           -           1181   0.00022   17.6   2.3   6   6    0.0019      0.67    6.0   1.6   535   597   500   566   493   580 0.78 | transcript=PVX_001095.1 | gene=PVX_001095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:11589-13346(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084410.1-p1      -            370 1976at5820           -           1181     0.005   13.1  21.5   1   1   2.2e-05    0.0077   12.5  21.5   929  1103    70   273    20   294 0.42 | transcript=PVX_084410.1 | gene=PVX_084410 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:275912-277174(+) | protein_length=370 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088110.1-p1      -            686 1976at5820           -           1181    0.0063   12.7  27.0   1   4   3.6e-05     0.012   11.8   0.0   363   397    41    75    37    82 0.88 | transcript=PVX_088110.1 | gene=PVX_088110 | organism=Plasmodium_vivax_Sal-1 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=Pv_Sal1_chr01:435906-437966(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088110.1-p1      -            686 1976at5820           -           1181    0.0063   12.7  27.0   2   4    0.0046       1.6    4.8   4.3   357   592    92   346    87   358 0.44 | transcript=PVX_088110.1 | gene=PVX_088110 | organism=Plasmodium_vivax_Sal-1 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=Pv_Sal1_chr01:435906-437966(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088110.1-p1      -            686 1976at5820           -           1181    0.0063   12.7  27.0   3   4    0.0075       2.6    4.1   1.0   354   386   340   373   335   377 0.86 | transcript=PVX_088110.1 | gene=PVX_088110 | organism=Plasmodium_vivax_Sal-1 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=Pv_Sal1_chr01:435906-437966(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088110.1-p1      -            686 1976at5820           -           1181    0.0063   12.7  27.0   4   4      0.27        93   -1.0   7.8   866  1084   377   621   375   635 0.53 | transcript=PVX_088110.1 | gene=PVX_088110 | organism=Plasmodium_vivax_Sal-1 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=Pv_Sal1_chr01:435906-437966(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123110.1-p1      -            318 1976at5820           -           1181      0.15    8.2  23.2   1   1   0.00048      0.17    8.1  23.2   951  1090   114   247    42   311 0.38 | transcript=PVX_123110.1 | gene=PVX_123110 | organism=Plasmodium_vivax_Sal-1 | gene_product=Mitotic apparatus protein p62, putative | transcript_product=Mitotic apparatus protein p62, putative | location=Pv_Sal1_chr14:1139028-1140479(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085567.1-p1      -            228 1976at5820           -           1181      0.29    7.2  22.9   1   1     0.001      0.35    7.0  22.9   971  1103    43   180     4   192 0.49 | transcript=PVX_085567.1 | gene=PVX_085567 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr13:1286917-1288472(-) | protein_length=228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094555.1-p1      -            529 1976at5820           -           1181      0.53    6.4  13.9   1   1    0.0018      0.64    6.1  13.9   951  1073   398   525   310   529 0.50 | transcript=PVX_094555.1 | gene=PVX_094555 | organism=Plasmodium_vivax_Sal-1 | gene_product=Rho-GTPase-activating protein 1, putative | transcript_product=Rho-GTPase-activating protein 1, putative | location=Pv_Sal1_chr08:327097-329386(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118665.1-p1      -            255 1976at5820           -           1181      0.56    6.3  12.0   1   1    0.0021      0.72    5.9  12.0   964  1064   137   232   100   244 0.42 | transcript=PVX_118665.1 | gene=PVX_118665 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2958519-2959393(+) | protein_length=255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110955.1-p1      -            439 1976at5820           -           1181      0.99    5.5  18.1   1   1     0.004       1.4    5.0  18.1   957  1090   250   379   209   417 0.41 | transcript=PVX_110955.1 | gene=PVX_110955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:826012-827331(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090070.1-p1      -            290 1976at5820           -           1181       1.1    5.4  40.8   1   1    0.0038       1.3    5.1  40.8   911  1076   114   283    63   290 0.32 | transcript=PVX_090070.1 | gene=PVX_090070 | organism=Plasmodium_vivax_Sal-1 | gene_product=ran binding protein 1, putative | transcript_product=ran binding protein 1, putative | location=Pv_Sal1_chr05:1084650-1085894(+) | protein_length=290 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111115.1-p1      -            257 1976at5820           -           1181       1.2    5.2  29.2   1   1    0.0043       1.5    4.9  29.2   922  1084    58   236     3   246 0.51 | transcript=PVX_111115.1 | gene=PVX_111115 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr06:710480-711887(-) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091935.1-p1      -            318 1976at5820           -           1181       1.8    4.6  17.6   1   1    0.0059       2.1    4.4  17.6   928  1113    85   274    18   302 0.37 | transcript=PVX_091935.1 | gene=PVX_091935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:961146-962508(+) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1976at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1976at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1976at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:34 2026
# [ok]
