#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098025.1-p1      -           2695 395at5820            -           2124         0 3752.4  35.0   1   4         0         0 2645.7   2.3     1  1398     1  1712     1  1718 0.95 | transcript=PVX_098025.1 | gene=PVX_098025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | transcript_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | location=Pv_Sal1_chr10:953437-961823(+) | protein_length=2695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082395.1-p1      -           1946 395at5820            -           2124  1.4e-131  438.5  49.9   2   8   3.5e-17   7.4e-15   51.4   0.1   461   569   326   438   304   448 0.84 | transcript=PVX_082395.1 | gene=PVX_082395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III largest subunit, putative | transcript_product=DNA-directed RNA polymerase III largest subunit, putative | location=Pv_Sal1_chr12:956997-963363(+) | protein_length=1946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082395.1-p1      -           1946 395at5820            -           2124  1.4e-131  438.5  49.9   3   8   7.5e-40   1.6e-37  126.6   0.2   566   723   474   630   456   635 0.87 | transcript=PVX_082395.1 | gene=PVX_082395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III largest subunit, putative | transcript_product=DNA-directed RNA polymerase III largest subunit, putative | location=Pv_Sal1_chr12:956997-963363(+) | protein_length=1946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082395.1-p1      -           1946 395at5820            -           2124  1.4e-131  438.5  49.9   4   8   9.5e-06     0.002   13.5   0.4   763   803   638   678   631   766 0.77 | transcript=PVX_082395.1 | gene=PVX_082395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III largest subunit, putative | transcript_product=DNA-directed RNA polymerase III largest subunit, putative | location=Pv_Sal1_chr12:956997-963363(+) | protein_length=1946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082395.1-p1      -           1946 395at5820            -           2124  1.4e-131  438.5  49.9   5   8   5.6e-39   1.2e-36  123.7   0.3  1234  1368   841   975   819   999 0.90 | transcript=PVX_082395.1 | gene=PVX_082395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III largest subunit, putative | transcript_product=DNA-directed RNA polymerase III largest subunit, putative | location=Pv_Sal1_chr12:956997-963363(+) | protein_length=1946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082395.1-p1      -           1946 395at5820            -           2124  1.4e-131  438.5  49.9   6   8       0.4        86   -1.8   0.3  1803  1907  1092  1195  1080  1205 0.66 | transcript=PVX_082395.1 | gene=PVX_082395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III largest subunit, putative | transcript_product=DNA-directed RNA polymerase III largest subunit, putative | location=Pv_Sal1_chr12:956997-963363(+) | protein_length=1946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082395.1-p1      -           1946 395at5820            -           2124  1.4e-131  438.5  49.9   7   8     5e-22   1.1e-19   67.5   0.7  1452  1539  1440  1529  1427  1620 0.82 | transcript=PVX_082395.1 | gene=PVX_082395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III largest subunit, putative | transcript_product=DNA-directed RNA polymerase III largest subunit, putative | location=Pv_Sal1_chr12:956997-963363(+) | protein_length=1946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082395.1-p1      -           1946 395at5820            -           2124  1.4e-131  438.5  49.9   8   8   3.1e-19   6.6e-17   58.2   1.6  1997  2113  1801  1918  1779  1925 0.91 | transcript=PVX_082395.1 | gene=PVX_082395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III largest subunit, putative | transcript_product=DNA-directed RNA polymerase III largest subunit, putative | location=Pv_Sal1_chr12:956997-963363(+) | protein_length=1946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087905.1-p1      -            325 395at5820            -           2124    0.0093   11.3  17.9   1   1   5.2e-05     0.011   11.1  17.9  1707  1889    17   207     2   224 0.53 | transcript=PVX_087905.1 | gene=PVX_087905 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:278555-279532(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094740.1-p1      -            381 395at5820            -           2124      0.02   10.2  28.1   1   1   0.00012     0.025    9.9  28.1  1716  1880    87   259    54   275 0.57 | transcript=PVX_094740.1 | gene=PVX_094740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:496098-498183(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092155.1-p1      -            156 395at5820            -           2124     0.024    9.9   4.3   1   1   0.00013     0.027    9.8   4.3  1649  1794     5   149     2   156 0.52 | transcript=PVX_092155.1 | gene=PVX_092155 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr09:1133265-1133735(-) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098060.1-p1      -            747 395at5820            -           2124     0.063    8.6  38.0   1   2   5.1e-05     0.011   11.1  22.4  1728  1822   252   350   213   365 0.53 | transcript=PVX_098060.1 | gene=PVX_098060 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:932042-935030(-) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098060.1-p1      -            747 395at5820            -           2124     0.063    8.6  38.0   2   2     0.012       2.6    3.2   7.6  1738  1905   439   608   421   630 0.56 | transcript=PVX_098060.1 | gene=PVX_098060 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:932042-935030(-) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085567.1-p1      -            228 395at5820            -           2124      0.11    7.7  18.1   1   1   0.00065      0.14    7.4  18.1  1672  1796    31   154    25   194 0.47 | transcript=PVX_085567.1 | gene=PVX_085567 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr13:1286917-1288472(-) | protein_length=228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090225.1-p1      -            289 395at5820            -           2124      0.13    7.6  11.1   1   1   0.00074      0.16    7.2  11.1  1733  1867    49   187    31   201 0.36 | transcript=PVX_090225.1 | gene=PVX_090225 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1242797-1243802(-) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123765.1-p1      -            193 395at5820            -           2124       0.2    6.9  14.0   1   1   0.00099      0.21    6.8  14.0  1722  1831    40   150     6   184 0.70 | transcript=PVX_123765.1 | gene=PVX_123765 | organism=Plasmodium_vivax_Sal-1 | gene_product=glideosome-associated protein 45, putative | transcript_product=glideosome-associated protein 45, putative | location=Pv_Sal1_chr14:1766204-1766785(+) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119505.1-p1      -           1685 395at5820            -           2124       0.6    5.3  22.3   1   1    0.0047      0.99    4.6  22.3  1653  1849  1361  1571  1344  1585 0.69 | transcript=PVX_119505.1 | gene=PVX_119505 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1427781-1433771(+) | protein_length=1685 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084975.1-p1      -            769 395at5820            -           2124       0.8    4.9  14.9   1   1    0.0057       1.2    4.3  14.9  1725  1802   188   265   134   325 0.57 | transcript=PVX_084975.1 | gene=PVX_084975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:819031-821502(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123110.1-p1      -            318 395at5820            -           2124       0.8    4.9  39.9   1   1    0.0058       1.2    4.3  39.9  1679  1807   108   240    76   291 0.45 | transcript=PVX_123110.1 | gene=PVX_123110 | organism=Plasmodium_vivax_Sal-1 | gene_product=Mitotic apparatus protein p62, putative | transcript_product=Mitotic apparatus protein p62, putative | location=Pv_Sal1_chr14:1139028-1140479(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110955.1-p1      -            439 395at5820            -           2124       1.3    4.2  20.5   1   1    0.0078       1.7    3.8  20.5  1714  1867   254   409   231   426 0.39 | transcript=PVX_110955.1 | gene=PVX_110955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:826012-827331(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123090.1-p1      -            270 395at5820            -           2124       1.5    4.0  22.3   1   1    0.0072       1.5    4.0  22.3  1671  1836     7   173     1   252 0.47 | transcript=PVX_123090.1 | gene=PVX_123090 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor SUI1, putative | transcript_product=translation initiation factor SUI1, putative | location=Pv_Sal1_chr14:1123564-1124947(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003910.1-p1      -            731 395at5820            -           2124       1.8    3.8  20.4   1   1     0.013       2.7    3.2  20.4  1676  1884   144   332   120   352 0.33 | transcript=PVX_003910.1 | gene=PVX_003910 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipase A2, putative | transcript_product=phospholipase A2, putative | location=Pv_Sal1_chr04:498264-500817(+) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116790.1-p1      -            589 395at5820            -           2124       1.8    3.7  17.2   1   1     0.012       2.5    3.3  17.2  1722  1901   285   460   263   480 0.41 | transcript=PVX_116790.1 | gene=PVX_116790 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1298424-1300193(-) | protein_length=589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122130.1-p1      -            543 395at5820            -           2124         2    3.6  25.1   1   1     0.014       2.9    3.0  25.1  1675  1806   128   255   104   282 0.61 | transcript=PVX_122130.1 | gene=PVX_122130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:313448-315441(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085145.1-p1      -            281 395at5820            -           2124         2    3.6  18.5   1   1      0.01       2.2    3.5  18.5  1710  1809   178   276    84   281 0.50 | transcript=PVX_085145.1 | gene=PVX_085145 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:941527-942372(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098023.1-p1      -            143 395at5820            -           2124       2.1    3.5  16.1   1   1     0.011       2.4    3.3  16.1  1690  1774    39   119    31   136 0.42 | transcript=PVX_098023.1 | gene=PVX_098023 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:962975-963665(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 395at5820            -           2124       2.9    3.0  19.7   1   1     0.018       3.9    2.6  19.7  1712  1845    35   160    14   205 0.38 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092785.1-p1      -            324 395at5820            -           2124       3.4    2.8  20.2   1   1      0.02       4.2    2.5  20.2  1739  1880   138   275    93   289 0.54 | transcript=PVX_092785.1 | gene=PVX_092785 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1722975-1723949(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000710.1-p1      -           1438 395at5820            -           2124       4.4    2.5  23.7   1   1     0.039       8.2    1.5  23.7  1683  1860  1250  1432  1171  1438 0.57 | transcript=PVX_000710.1 | gene=PVX_000710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:359289-363605(+) | protein_length=1438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113225.1-p1      -            332 395at5820            -           2124       4.7    2.4  16.0   1   1     0.027       5.7    2.1  16.0  1738  1846    71   185    39   219 0.58 | transcript=PVX_113225.1 | gene=PVX_113225 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Pv_Sal1_chr11:2011317-2012528(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086225.1-p1      -            132 395at5820            -           2124         5    2.3  14.4   1   1     0.023       4.9    2.3  14.4  1717  1796    14    91     1   120 0.39 | transcript=PVX_086225.1 | gene=PVX_086225 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1932389-1932922(-) | protein_length=132 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087855.1-p1      -            162 395at5820            -           2124       5.1    2.2   7.8   1   1     0.024       5.1    2.2   7.8  1720  1818     5   100     1   145 0.37 | transcript=PVX_087855.1 | gene=PVX_087855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr01:226213-226910(+) | protein_length=162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/395at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/395at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/395at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:40 2026
# [ok]
