#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084835.1-p1      -            257 11045at5820          -            214  4.3e-118  390.9   8.8   1   1  1.4e-120  5.8e-118  390.4   8.8     1   214     1   238     1   238 0.93 | transcript=PVX_084835.1 | gene=PVX_084835 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=Pv_Sal1_chr13:686095-687730(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 11045at5820          -            214   5.1e-11   40.9   3.8   2   2   2.9e-08   1.2e-05   23.3   0.2   114   180   815   879   785   901 0.83 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 11045at5820          -            214   5.4e-11   40.8  12.7   1   3     0.035        15    3.5   0.1    32    50   122   140   111   146 0.86 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 11045at5820          -            214   5.4e-11   40.8  12.7   2   3   6.5e-06    0.0027   15.7   0.7    97   182   213   300   195   314 0.68 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 11045at5820          -            214   5.4e-11   40.8  12.7   3   3   1.2e-08     5e-06   24.6   1.9    15   188   372   554   360   567 0.69 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123085.1-p1      -           1280 11045at5820          -            214   3.2e-10   38.3  43.5   1   5     4e-05     0.017   13.1   1.4     4    67   178   243   175   345 0.86 | transcript=PVX_123085.1 | gene=PVX_123085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=Pv_Sal1_chr14:1119308-1123150(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123085.1-p1      -           1280 11045at5820          -            214   3.2e-10   38.3  43.5   2   5    0.0012      0.49    8.3   7.5    94   200   462   567   445   577 0.82 | transcript=PVX_123085.1 | gene=PVX_123085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=Pv_Sal1_chr14:1119308-1123150(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123085.1-p1      -           1280 11045at5820          -            214   3.2e-10   38.3  43.5   3   5       8.8   3.7e+03   -4.4   1.4    79   133   606   658   594   663 0.47 | transcript=PVX_123085.1 | gene=PVX_123085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=Pv_Sal1_chr14:1119308-1123150(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123085.1-p1      -           1280 11045at5820          -            214   3.2e-10   38.3  43.5   4   5   6.9e-06    0.0029   15.6   0.2    17    50   821   854   811   861 0.89 | transcript=PVX_123085.1 | gene=PVX_123085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=Pv_Sal1_chr14:1119308-1123150(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123085.1-p1      -           1280 11045at5820          -            214   3.2e-10   38.3  43.5   5   5   2.7e-08   1.1e-05   23.4   5.7    96   190  1009  1102   998  1122 0.81 | transcript=PVX_123085.1 | gene=PVX_123085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=Pv_Sal1_chr14:1119308-1123150(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095250.1-p1      -           2637 11045at5820          -            214   8.3e-10   37.0  20.9   1   3   9.5e-07    0.0004   18.4   0.4     4    50   809   857   807   868 0.82 | transcript=PVX_095250.1 | gene=PVX_095250 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=Pv_Sal1_chr08:928573-936955(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095250.1-p1      -           2637 11045at5820          -            214   8.3e-10   37.0  20.9   2   3   9.7e-08   4.1e-05   21.6   9.5    86   197   956  1064   922  1078 0.77 | transcript=PVX_095250.1 | gene=PVX_095250 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=Pv_Sal1_chr08:928573-936955(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095250.1-p1      -           2637 11045at5820          -            214   8.3e-10   37.0  20.9   3   3     0.061        26    2.7   0.2   114   153  2214  2253  2194  2265 0.80 | transcript=PVX_095250.1 | gene=PVX_095250 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=Pv_Sal1_chr08:928573-936955(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 11045at5820          -            214   7.9e-09   33.8   5.1   1   3         1   4.3e+02   -1.3   0.1   113   139   305   331   288   339 0.74 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 11045at5820          -            214   7.9e-09   33.8   5.1   2   3   5.1e-05     0.022   12.7   0.1    15    69   500   560   485   567 0.76 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 11045at5820          -            214   7.9e-09   33.8   5.1   3   3   8.7e-08   3.7e-05   21.8   0.3   114   182   711   777   700   802 0.77 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085775.1-p1      -            351 11045at5820          -            214   2.9e-08   31.9   3.0   1   3       3.7   1.6e+03   -3.2   0.0    43    69    48    74    28    81 0.71 | transcript=PVX_085775.1 | gene=PVX_085775 | organism=Plasmodium_vivax_Sal-1 | gene_product=FeS assembly ATPase SufC, putative | transcript_product=FeS assembly ATPase SufC, putative | location=Pv_Sal1_chr13:1513058-1514113(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085775.1-p1      -            351 11045at5820          -            214   2.9e-08   31.9   3.0   2   3   3.5e-06    0.0015   16.5   0.1    15    53   118   156   105   173 0.89 | transcript=PVX_085775.1 | gene=PVX_085775 | organism=Plasmodium_vivax_Sal-1 | gene_product=FeS assembly ATPase SufC, putative | transcript_product=FeS assembly ATPase SufC, putative | location=Pv_Sal1_chr13:1513058-1514113(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085775.1-p1      -            351 11045at5820          -            214   2.9e-08   31.9   3.0   3   3   6.7e-06    0.0029   15.6   0.1   114   175   247   307   232   348 0.82 | transcript=PVX_085775.1 | gene=PVX_085775 | organism=Plasmodium_vivax_Sal-1 | gene_product=FeS assembly ATPase SufC, putative | transcript_product=FeS assembly ATPase SufC, putative | location=Pv_Sal1_chr13:1513058-1514113(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092880.1-p1      -            783 11045at5820          -            214   8.9e-07   27.1   6.2   1   1   4.8e-07   0.00021   19.3   6.2    15   179   572   763   559   778 0.73 | transcript=PVX_092880.1 | gene=PVX_092880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=Pv_Sal1_chr09:1792450-1795088(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118100.1-p1      -           1605 11045at5820          -            214   5.3e-06   24.5   0.6   1   1   4.3e-07   0.00018   19.5   0.6    14   170   707   883   692   904 0.64 | transcript=PVX_118100.1 | gene=PVX_118100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=Pv_Sal1_chr12:2412009-2416826(+) | protein_length=1605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085205.1-p1      -            695 11045at5820          -            214   6.5e-06   24.2   2.1   1   2   1.9e-07   7.9e-05   20.7   0.0    30   174    67   233    51   273 0.71 | transcript=PVX_085205.1 | gene=PVX_085205 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=Pv_Sal1_chr13:1012549-1014636(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085205.1-p1      -            695 11045at5820          -            214   6.5e-06   24.2   2.1   2   2       1.9     8e+02   -2.2   0.4   137   190   428   486   395   492 0.71 | transcript=PVX_085205.1 | gene=PVX_085205 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=Pv_Sal1_chr13:1012549-1014636(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083495.1-p1      -            998 11045at5820          -            214   1.2e-05   23.3   9.1   1   1   6.8e-07   0.00029   18.9   9.1    16   188   774   966   766   981 0.68 | transcript=PVX_083495.1 | gene=PVX_083495 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=Pv_Sal1_chr12:75466-78462(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11045at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11045at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11045at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:14 2026
# [ok]
