#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_124170.1-p1      -            376 7425at5820           -            101   2.7e-62  205.6   0.2   1   2      0.11        97    1.7   0.0    10    53   207   253   202   261 0.76 | transcript=PVX_124170.1 | gene=PVX_124170 | organism=Plasmodium_vivax_Sal-1 | gene_product=sun-family protein, putative | transcript_product=sun-family protein, putative | location=Pv_Sal1_chr14:2106073-2107427(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094920.1-p1      -           1603 7425at5820           -            101      0.44    9.2   8.4   1   3      0.84   7.7e+02   -1.2   0.1    19    62   806   849   801   886 0.75 | transcript=PVX_094920.1 | gene=PVX_094920 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:644814-649625(+) | protein_length=1603 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094920.1-p1      -           1603 7425at5820           -            101      0.44    9.2   8.4   2   3   6.9e-05     0.064   11.9   0.4    33    72   886   926   863   939 0.76 | transcript=PVX_094920.1 | gene=PVX_094920 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:644814-649625(+) | protein_length=1603 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094920.1-p1      -           1603 7425at5820           -            101      0.44    9.2   8.4   3   3      0.99   9.1e+02   -1.5   0.9    37    69  1326  1360  1305  1395 0.68 | transcript=PVX_094920.1 | gene=PVX_094920 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:644814-649625(+) | protein_length=1603 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7425at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7425at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7425at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:29 2026
# [ok]
