#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_122890.1-p1      -            783 3852at5820           -            646         0 1192.7  83.9   1   3  4.5e-176  6.2e-173  574.9  48.3     1   322    11   365    11   374 0.94 | transcript=PVX_122890.1 | gene=PVX_122890 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphodiesterase gamma, putative | transcript_product=phosphodiesterase gamma, putative | location=Pv_Sal1_chr14:967246-971025(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116945.1-p1      -            803 3852at5820           -            646   1.3e-31  107.9  19.4   1   3         4   5.5e+03  -18.8  24.9    29   254    34   268    24   339 0.64 | transcript=PVX_116945.1 | gene=PVX_116945 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclic nucleotide phosphodiesterase, putative | transcript_product=cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr12:1413241-1416618(-) | protein_length=803 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116945.1-p1      -            803 3852at5820           -            646   1.3e-31  107.9  19.4   2   3   9.7e-35   1.3e-31  107.9  19.4   287   568   339   643   322   652 0.74 | transcript=PVX_116945.1 | gene=PVX_116945 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclic nucleotide phosphodiesterase, putative | transcript_product=cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr12:1413241-1416618(-) | protein_length=803 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116945.1-p1      -            803 3852at5820           -            646   1.3e-31  107.9  19.4   3   3   1.3e-05     0.018   11.7   3.2   575   635   691   753   669   762 0.78 | transcript=PVX_116945.1 | gene=PVX_116945 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclic nucleotide phosphodiesterase, putative | transcript_product=cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr12:1413241-1416618(-) | protein_length=803 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3852at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3852at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3852at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:03 2026
# [ok]
