#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113830.1-p1      -           1955 719at5820            -           1037         0 1403.6  80.9   1   8     5e-84   4.6e-81  271.4   2.7     3   174     5   189     3   194 0.92 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 719at5820            -           1037   1.3e-46  157.4   1.8   2   2   3.1e-16   2.8e-13   46.9   0.3   325   562   410   680   375   758 0.78 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 719at5820            -           1037   1.6e-27   94.1  63.0   1   6   3.8e-14   3.5e-11   40.0   5.6    57   174    91   222    28   235 0.81 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 719at5820            -           1037   1.6e-27   94.1  63.0   2   6   1.3e-16   1.2e-13   48.1   0.4   181   277   345   441   334   446 0.84 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 719at5820            -           1037   1.6e-27   94.1  63.0   3   6      0.32     3e+02   -2.8   0.0   294   321   555   582   542   591 0.71 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 719at5820            -           1037   1.6e-27   94.1  63.0   4   6   7.5e-09   6.9e-06   22.5  13.6   418   551   743   912   738   930 0.64 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 719at5820            -           1037   1.6e-27   94.1  63.0   5   6   0.00024      0.22    7.5   8.7   566   695   993  1151   987  1343 0.76 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 719at5820            -           1037   1.6e-27   94.1  63.0   6   6       1.7   1.5e+03   -5.1   3.1   767   805  1596  1631  1573  1650 0.48 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124120.1-p1      -           1894 719at5820            -           1037   8.5e-25   85.1  21.0   1   4   1.3e-14   1.2e-11   41.6   0.2    54   177    89   228    42   242 0.79 | transcript=PVX_124120.1 | gene=PVX_124120 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin D, putative | transcript_product=myosin D, putative | location=Pv_Sal1_chr14:2069276-2075657(-) | protein_length=1894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124120.1-p1      -           1894 719at5820            -           1037   8.5e-25   85.1  21.0   2   4   5.5e-16   5.1e-13   46.1   9.6   182   471   264   600   257   645 0.74 | transcript=PVX_124120.1 | gene=PVX_124120 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin D, putative | transcript_product=myosin D, putative | location=Pv_Sal1_chr14:2069276-2075657(-) | protein_length=1894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124120.1-p1      -           1894 719at5820            -           1037   8.5e-25   85.1  21.0   3   4      0.11     1e+02   -1.3   0.0   512   556   673   717   635   718 0.89 | transcript=PVX_124120.1 | gene=PVX_124120 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin D, putative | transcript_product=myosin D, putative | location=Pv_Sal1_chr14:2069276-2075657(-) | protein_length=1894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124120.1-p1      -           1894 719at5820            -           1037   8.5e-25   85.1  21.0   4   4     0.097        90   -1.1   0.8   608   672   791   862   773   888 0.65 | transcript=PVX_124120.1 | gene=PVX_124120 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin D, putative | transcript_product=myosin D, putative | location=Pv_Sal1_chr14:2069276-2075657(-) | protein_length=1894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/719at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/719at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/719at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:36 2026
# [ok]
