#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089620.1-p1      -            392 10051at5820          -            291  5.5e-134  444.5  22.7   1   2     0.034        27    2.4   0.0     1    19    16    34    16    36 0.91 | transcript=PVX_089620.1 | gene=PVX_089620 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin, putative | transcript_product=ubiquitin, putative | location=Pv_Sal1_chr05:705224-706587(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094805.1-p1      -            406 10051at5820          -            291      0.02   12.6   1.2   1   1   4.1e-05     0.032   12.0   1.2    37    90    15    69     6    89 0.83 | transcript=PVX_094805.1 | gene=PVX_094805 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=Pv_Sal1_chr08:532077-533297(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10051at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10051at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10051at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:28 2026
# [ok]
