#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079865.1-p1      -            463 11717at5820          -            359  1.1e-220  730.1  68.3   1   3   1.8e-19   4.9e-17   60.2   5.7     1    57     4    70     4    80 0.83 | transcript=PVX_079865.1 | gene=PVX_079865 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=Pv_Sal1_chr10:163120-164936(-) | protein_length=463 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082855.1-p1      -            718 11717at5820          -            359     8e-05   20.0   9.7   2   2     0.018       4.9    4.2   1.9   178   212   569   600   543   607 0.72 | transcript=PVX_082855.1 | gene=PVX_082855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:639203-641359(-) | protein_length=718 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084820.1-p1      -            559 11717at5820          -            359   0.00044   17.6   0.2   1   3       2.3   6.5e+02   -2.7  18.8    94   220   255   386   235   403 0.68 | transcript=PVX_084820.1 | gene=PVX_084820 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=Pv_Sal1_chr13:677284-678963(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084820.1-p1      -            559 11717at5820          -            359   0.00044   17.6   0.2   2   3    0.0031      0.87    6.7   1.4    96   178   392   474   388   508 0.78 | transcript=PVX_084820.1 | gene=PVX_084820 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=Pv_Sal1_chr13:677284-678963(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084820.1-p1      -            559 11717at5820          -            359   0.00044   17.6   0.2   3   3   1.6e-06   0.00044   17.6   0.2   309   349   506   546   502   554 0.88 | transcript=PVX_084820.1 | gene=PVX_084820 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=Pv_Sal1_chr13:677284-678963(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082420.1-p1      -           2494 11717at5820          -            359   0.00059   17.1   9.0   1   3   2.1e-06   0.00059   17.1   9.0   253   310   364   419   341   425 0.65 | transcript=PVX_082420.1 | gene=PVX_082420 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:922056-930045(-) | protein_length=2494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082420.1-p1      -           2494 11717at5820          -            359   0.00059   17.1   9.0   2   3       1.2   3.3e+02   -1.8   8.5   255   300  1711  1754  1685  1821 0.60 | transcript=PVX_082420.1 | gene=PVX_082420 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:922056-930045(-) | protein_length=2494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082420.1-p1      -           2494 11717at5820          -            359   0.00059   17.1   9.0   3   3         5   1.4e+03   -3.8   6.1   250   306  2234  2290  2214  2317 0.71 | transcript=PVX_082420.1 | gene=PVX_082420 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:922056-930045(-) | protein_length=2494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084980.1-p1      -            895 11717at5820          -            359   0.00097   16.4   0.9   1   1   8.7e-06    0.0024   15.1   0.9   277   308    73   104    50   112 0.61 | transcript=PVX_084980.1 | gene=PVX_084980 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:823570-826257(+) | protein_length=895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092635.1-p1      -            939 11717at5820          -            359    0.0012   16.1  23.8   1   3       2.4   6.6e+02   -2.7   0.4   213   248    60    95    53   138 0.63 | transcript=PVX_092635.1 | gene=PVX_092635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1601982-1604801(+) | protein_length=939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092635.1-p1      -            939 11717at5820          -            359    0.0012   16.1  23.8   2   3   4.4e-06    0.0012   16.1  23.8   250   308   433   489   427   495 0.91 | transcript=PVX_092635.1 | gene=PVX_092635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1601982-1604801(+) | protein_length=939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092635.1-p1      -            939 11717at5820          -            359    0.0012   16.1  23.8   3   3       4.7   1.3e+03   -3.7   0.1   321   355   712   748   704   750 0.77 | transcript=PVX_092635.1 | gene=PVX_092635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1601982-1604801(+) | protein_length=939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115245.1-p1      -            460 11717at5820          -            359    0.0013   16.1  10.9   1   1   4.5e-06    0.0013   16.1  10.9   227   306     8    88     3   101 0.58 | transcript=PVX_115245.1 | gene=PVX_115245 | organism=Plasmodium_vivax_Sal-1 | gene_product=SNARE associated Golgi protein, putative | transcript_product=SNARE associated Golgi protein, putative | location=Pv_Sal1_chr11:213885-215572(+) | protein_length=460 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111230.1-p1      -           1500 11717at5820          -            359    0.0036   14.6  32.5   1   3   2.5e-05    0.0068   13.6  11.0   268   306   164   202   160   218 0.66 | transcript=PVX_111230.1 | gene=PVX_111230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:626038-630540(+) | protein_length=1500 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111230.1-p1      -           1500 11717at5820          -            359    0.0036   14.6  32.5   2   3    0.0012      0.35    8.0   1.9   282   310   636   664   625   686 0.66 | transcript=PVX_111230.1 | gene=PVX_111230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:626038-630540(+) | protein_length=1500 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111230.1-p1      -           1500 11717at5820          -            359    0.0036   14.6  32.5   3   3     0.026       7.1    3.7   4.2   268   301  1094  1126  1082  1145 0.44 | transcript=PVX_111230.1 | gene=PVX_111230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:626038-630540(+) | protein_length=1500 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098680.1-p1      -            188 11717at5820          -            359    0.0062   13.8   5.8   1   1   2.5e-05    0.0069   13.6   5.8    67   197    53   185    18   188 0.85 | transcript=PVX_098680.1 | gene=PVX_098680 | organism=Plasmodium_vivax_Sal-1 | gene_product=bacterial histone-like protein, putative | transcript_product=bacterial histone-like protein, putative | location=Pv_Sal1_chr07:122001-122828(-) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091315.1-p1      -            394 11717at5820          -            359    0.0081   13.4  11.1   1   2   2.8e-05    0.0077   13.5   3.6   253   351   113   206    71   221 0.61 | transcript=PVX_091315.1 | gene=PVX_091315 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=Pv_Sal1_chr09:425103-426795(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091315.1-p1      -            394 11717at5820          -            359    0.0081   13.4  11.1   2   2     0.016       4.3    4.4   0.8   295   333   279   319   265   329 0.76 | transcript=PVX_091315.1 | gene=PVX_091315 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=Pv_Sal1_chr09:425103-426795(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000895.1-p1      -            406 11717at5820          -            359     0.015   12.5   0.0   1   1    0.0001     0.028   11.7   0.0   254   310    87   141    54   148 0.73 | transcript=PVX_000895.1 | gene=PVX_000895 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:226565-227785(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002690.1-p1      -            952 11717at5820          -            359     0.032   11.4   3.1   1   1   0.00022     0.061   10.5   3.1   254   301   311   357   297   368 0.77 | transcript=PVX_002690.1 | gene=PVX_002690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:189522-192863(+) | protein_length=952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085255.1-p1      -           1030 11717at5820          -            359       2.6    5.1  15.4   1   1     0.025         7    3.7  15.4   265   308   217   260   210   270 0.68 | transcript=PVX_085255.1 | gene=PVX_085255 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr13:1046220-1049312(-) | protein_length=1030 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094295.1-p1      -            316 11717at5820          -            359       4.2    4.5  11.5   1   1     0.021       5.8    4.0  11.5   256   304   150   194   124   211 0.55 | transcript=PVX_094295.1 | gene=PVX_094295 | organism=Plasmodium_vivax_Sal-1 | gene_product=Pv-fam-h protein | transcript_product=Pv-fam-h protein | location=Pv_Sal1_chr08:108735-109900(-) | protein_length=316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11717at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11717at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11717at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:24 2026
# [ok]
