#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079995.1-p1      -            982 7767at5820           -            425    4e-197  653.6 151.0   1   5  3.3e-112  1.8e-109  364.8  15.6     1   203    14   217    14   226 0.82 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094625.1-p1      -            502 7767at5820           -            425   1.1e-23   82.2  15.9   1   2     2e-26   1.1e-23   82.2  15.9     4   137     9   145     6   322 0.67 | transcript=PVX_094625.1 | gene=PVX_094625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:403557-405065(+) | protein_length=502 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094625.1-p1      -            502 7767at5820           -            425   1.1e-23   82.2  15.9   2   2      0.69   3.8e+02   -2.0   1.3   233   255   438   464   359   498 0.53 | transcript=PVX_094625.1 | gene=PVX_094625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:403557-405065(+) | protein_length=502 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114900.1-p1      -            965 7767at5820           -            425   5.3e-22   76.6   6.4   1   5   9.6e-25   5.3e-22   76.6   6.4    14   117     8   113     3   121 0.91 | transcript=PVX_114900.1 | gene=PVX_114900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:534319-537216(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114900.1-p1      -            965 7767at5820           -            425   5.3e-22   76.6   6.4   2   5        10   5.5e+03  -26.1  33.5   167   322   179   333   170   354 0.50 | transcript=PVX_114900.1 | gene=PVX_114900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:534319-537216(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114900.1-p1      -            965 7767at5820           -            425   5.3e-22   76.6   6.4   3   5        10   5.5e+03  -11.7  17.1   148   236   278   362   260   378 0.51 | transcript=PVX_114900.1 | gene=PVX_114900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:534319-537216(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114900.1-p1      -            965 7767at5820           -            425   5.3e-22   76.6   6.4   4   5         4   2.2e+03   -4.5   5.0   218   267   501   551   457   589 0.59 | transcript=PVX_114900.1 | gene=PVX_114900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:534319-537216(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114900.1-p1      -            965 7767at5820           -            425   5.3e-22   76.6   6.4   5   5        10   5.5e+03   -9.2  13.0   139   272   799   938   784   953 0.57 | transcript=PVX_114900.1 | gene=PVX_114900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:534319-537216(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080105.1-p1      -           1935 7767at5820           -            425   1.1e-21   75.6  11.5   1   7        10   5.5e+03  -17.0  21.4   174   325    52   212    17   224 0.52 | transcript=PVX_080105.1 | gene=PVX_080105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:370279-376086(-) | protein_length=1935 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080105.1-p1      -           1935 7767at5820           -            425   1.1e-21   75.6  11.5   2   7     2e-24   1.1e-21   75.6  11.5    16   117   384   489   378   499 0.88 | transcript=PVX_080105.1 | gene=PVX_080105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:370279-376086(-) | protein_length=1935 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080105.1-p1      -           1935 7767at5820           -            425   1.1e-21   75.6  11.5   3   7        10   5.5e+03  -10.8  10.5   149   202   672   727   654   754 0.42 | transcript=PVX_080105.1 | gene=PVX_080105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:370279-376086(-) | protein_length=1935 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080105.1-p1      -           1935 7767at5820           -            425   1.1e-21   75.6  11.5   4   7        10   5.5e+03  -15.4  17.3   132   267  1103  1241  1090  1255 0.48 | transcript=PVX_080105.1 | gene=PVX_080105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:370279-376086(-) | protein_length=1935 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080105.1-p1      -           1935 7767at5820           -            425   1.1e-21   75.6  11.5   5   7         1   5.7e+02   -2.6   3.6   171   222  1327  1378  1319  1431 0.79 | transcript=PVX_080105.1 | gene=PVX_080105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:370279-376086(-) | protein_length=1935 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080105.1-p1      -           1935 7767at5820           -            425   1.1e-21   75.6  11.5   6   7        10   5.5e+03   -6.5   6.0   158   227  1670  1740  1650  1745 0.69 | transcript=PVX_080105.1 | gene=PVX_080105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:370279-376086(-) | protein_length=1935 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080105.1-p1      -           1935 7767at5820           -            425   1.1e-21   75.6  11.5   7   7       1.5   8.1e+02   -3.1   0.1   139   193  1776  1831  1746  1864 0.70 | transcript=PVX_080105.1 | gene=PVX_080105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:370279-376086(-) | protein_length=1935 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092340.1-p1      -           2172 7767at5820           -            425     8e-19   66.1   8.9   1   6        10   5.5e+03   -8.1   7.9   148   248   231   332   193   352 0.59 | transcript=PVX_092340.1 | gene=PVX_092340 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr09:1285032-1291550(-) | protein_length=2172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092340.1-p1      -           2172 7767at5820           -            425     8e-19   66.1   8.9   2   6   1.5e-21     8e-19   66.1   8.9    15   117   498   600   493   605 0.95 | transcript=PVX_092340.1 | gene=PVX_092340 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr09:1285032-1291550(-) | protein_length=2172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092340.1-p1      -           2172 7767at5820           -            425     8e-19   66.1   8.9   3   6        10   5.5e+03  -11.5  10.0   164   249  1365  1452  1341  1483 0.52 | transcript=PVX_092340.1 | gene=PVX_092340 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr09:1285032-1291550(-) | protein_length=2172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092340.1-p1      -           2172 7767at5820           -            425     8e-19   66.1   8.9   4   6        10   5.5e+03   -8.9   7.4   202   206  1643  1647  1579  1712 0.49 | transcript=PVX_092340.1 | gene=PVX_092340 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr09:1285032-1291550(-) | protein_length=2172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092340.1-p1      -           2172 7767at5820           -            425     8e-19   66.1   8.9   5   6        10   5.5e+03   -7.6   8.7   159   210  1808  1862  1776  1871 0.46 | transcript=PVX_092340.1 | gene=PVX_092340 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr09:1285032-1291550(-) | protein_length=2172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092340.1-p1      -           2172 7767at5820           -            425     8e-19   66.1   8.9   6   6       1.7   9.4e+02   -3.3   2.1   156   205  1885  1934  1868  1958 0.70 | transcript=PVX_092340.1 | gene=PVX_092340 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr09:1285032-1291550(-) | protein_length=2172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084540.1-p1      -           1015 7767at5820           -            425   4.8e-18   63.6  28.1   1   3   8.6e-21   4.8e-18   63.6  28.1    14   246    21   258     8   296 0.64 | transcript=PVX_084540.1 | gene=PVX_084540 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:411823-414870(-) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084540.1-p1      -           1015 7767at5820           -            425   4.8e-18   63.6  28.1   2   3       1.1   6.2e+02   -2.7   2.0   222   277   412   468   334   512 0.53 | transcript=PVX_084540.1 | gene=PVX_084540 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:411823-414870(-) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084540.1-p1      -           1015 7767at5820           -            425   4.8e-18   63.6  28.1   3   3        10   5.5e+03   -6.5   9.6   206   295   850   945   803  1012 0.54 | transcript=PVX_084540.1 | gene=PVX_084540 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:411823-414870(-) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099800.1-p1      -           1239 7767at5820           -            425   2.5e-15   54.6   2.1   1   2   4.5e-18   2.5e-15   54.6   2.1    17   119     2   103     1   160 0.88 | transcript=PVX_099800.1 | gene=PVX_099800 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:1048682-1053069(+) | protein_length=1239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099800.1-p1      -           1239 7767at5820           -            425   2.5e-15   54.6   2.1   2   2       7.1   3.9e+03   -5.3   2.1   170   171   394   395   342   446 0.49 | transcript=PVX_099800.1 | gene=PVX_099800 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:1048682-1053069(+) | protein_length=1239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001830.1-p1      -           1471 7767at5820           -            425   1.5e-14   52.0   5.4   1   2   2.8e-17   1.5e-14   52.0   5.4    22   116     1    91     1    95 0.95 | transcript=PVX_001830.1 | gene=PVX_001830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:171699-176518(-) | protein_length=1471 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001830.1-p1      -           1471 7767at5820           -            425   1.5e-14   52.0   5.4   2   2       3.5   1.9e+03   -4.3   0.4   190   221   206   239   173   249 0.50 | transcript=PVX_001830.1 | gene=PVX_001830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:171699-176518(-) | protein_length=1471 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085245.1-p1      -           1293 7767at5820           -            425   2.4e-09   34.9   3.2   1   1   7.1e-12   3.9e-09   34.2   3.2    46   118   184   256   168   264 0.91 | transcript=PVX_085245.1 | gene=PVX_085245 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1040356-1044237(+) | protein_length=1293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7767at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7767at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7767at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:48 2026
# [ok]
