#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092700.1-p1      -            516 7227at5820           -            380  8.4e-204  675.0  27.5   1   2   7.7e-47   6.1e-44  148.8  10.4    19   117    76   175    59   180 0.87 | transcript=PVX_092700.1 | gene=PVX_092700 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=Pv_Sal1_chr09:1653826-1655376(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094380.1-p1      -            286 7227at5820           -            380   1.5e-08   32.3  31.9   1   2   1.7e-05     0.014   12.7   3.4    15    68    22    75     5    78 0.76 | transcript=PVX_094380.1 | gene=PVX_094380 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=Pv_Sal1_chr08:196311-197171(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094380.1-p1      -            286 7227at5820           -            380   1.5e-08   32.3  31.9   2   2   9.2e-10   7.3e-07   26.7  19.5    35   116    78   159    74   172 0.89 | transcript=PVX_094380.1 | gene=PVX_094380 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=Pv_Sal1_chr08:196311-197171(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119330.1-p1      -            530 7227at5820           -            380       1.2    6.3  56.5   1   3     2e-05     0.016   12.4   7.9    24    75    99   152    89   159 0.78 | transcript=PVX_119330.1 | gene=PVX_119330 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=Pv_Sal1_chr08:1553670-1555262(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119330.1-p1      -            530 7227at5820           -            380       1.2    6.3  56.5   2   3      0.17   1.4e+02   -0.5  37.8    26   198   149   309   145   336 0.67 | transcript=PVX_119330.1 | gene=PVX_119330 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=Pv_Sal1_chr08:1553670-1555262(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119330.1-p1      -            530 7227at5820           -            380       1.2    6.3  56.5   3   3       1.2   9.7e+02   -3.3   0.2   287   319   402   437   370   469 0.66 | transcript=PVX_119330.1 | gene=PVX_119330 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=Pv_Sal1_chr08:1553670-1555262(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7227at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7227at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7227at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:46 2026
# [ok]
