#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114920.1-p1      -            367 7557at5820           -            335  5.8e-221  730.6   7.0   1   1  1.2e-223  6.6e-221  730.4   7.0     1   335     1   351     1   351 0.97 | transcript=PVX_114920.1 | gene=PVX_114920 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr11:521780-524906(+) | protein_length=367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085330.1-p1      -            518 7557at5820           -            335   0.00074   16.9   0.5   2   2   4.1e-06    0.0023   15.3   0.1    53   117   312   377   305   390 0.83 | transcript=PVX_085330.1 | gene=PVX_085330 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr13:1111301-1112857(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089145.1-p1      -            747 7557at5820           -            335    0.0053   14.1   0.0   1   1   1.8e-05      0.01   13.2   0.0    64   151   408   499   399   508 0.86 | transcript=PVX_089145.1 | gene=PVX_089145 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr05:342540-344783(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084745.1-p1      -            499 7557at5820           -            335    0.0072   13.7   0.0   1   1   3.1e-05     0.017   12.4   0.0    63   145   106   195   102   211 0.67 | transcript=PVX_084745.1 | gene=PVX_084745 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=Pv_Sal1_chr13:596635-598134(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7557at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7557at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7557at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:03 2026
# [ok]
