#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094465.1-p1      -           1539 1130at5820           -           1077         0 2106.9  32.0   1   2   4.5e-11   3.6e-08   30.0   0.9     1    84     1    91     1   126 0.47 | transcript=PVX_094465.1 | gene=PVX_094465 | organism=Plasmodium_vivax_Sal-1 | gene_product=regulator of nonsense transcripts, putative | transcript_product=regulator of nonsense transcripts, putative | location=Pv_Sal1_chr08:268169-272788(-) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121965.1-p1      -           2656 1130at5820           -           1077   1.3e-41  140.8  22.1   2   5   6.9e-08   5.5e-05   19.5   0.0   491   531  1748  1790  1707  1800 0.74 | transcript=PVX_121965.1 | gene=PVX_121965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:143835-152406(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121965.1-p1      -           2656 1130at5820           -           1077   1.3e-41  140.8  22.1   3   5     0.012       9.3    2.2   0.0   539   563  1825  1849  1812  1853 0.85 | transcript=PVX_121965.1 | gene=PVX_121965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:143835-152406(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121965.1-p1      -           2656 1130at5820           -           1077   1.3e-41  140.8  22.1   4   5   1.4e-33   1.1e-30  104.6   2.1   584   871  2058  2365  2047  2377 0.79 | transcript=PVX_121965.1 | gene=PVX_121965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:143835-152406(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121965.1-p1      -           2656 1130at5820           -           1077   1.3e-41  140.8  22.1   5   5   1.1e-09   8.6e-07   25.5   0.1   857   908  2434  2482  2424  2582 0.88 | transcript=PVX_121965.1 | gene=PVX_121965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:143835-152406(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094730.1-p1      -           1756 1130at5820           -           1077   2.5e-25   86.8  37.7   1   6      0.83   6.6e+02   -3.9   5.5    38   123   243   328   207   351 0.54 | transcript=PVX_094730.1 | gene=PVX_094730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:485565-490835(-) | protein_length=1756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094730.1-p1      -           1756 1130at5820           -           1077   2.5e-25   86.8  37.7   2   6   2.2e-06    0.0018   14.5   0.0   493   534   626   668   618   681 0.81 | transcript=PVX_094730.1 | gene=PVX_094730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:485565-490835(-) | protein_length=1756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094730.1-p1      -           1756 1130at5820           -           1077   2.5e-25   86.8  37.7   3   6         7   5.5e+03   -7.4  12.2     5   106   721   844   717   851 0.51 | transcript=PVX_094730.1 | gene=PVX_094730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:485565-490835(-) | protein_length=1756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094730.1-p1      -           1756 1130at5820           -           1077   2.5e-25   86.8  37.7   4   6   2.7e-19   2.1e-16   57.3   0.1   595   744   962  1109   902  1115 0.74 | transcript=PVX_094730.1 | gene=PVX_094730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:485565-490835(-) | protein_length=1756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094730.1-p1      -           1756 1130at5820           -           1077   2.5e-25   86.8  37.7   5   6   1.3e-08     1e-05   21.9   0.1   813   869  1244  1305  1200  1312 0.75 | transcript=PVX_094730.1 | gene=PVX_094730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:485565-490835(-) | protein_length=1756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094730.1-p1      -           1756 1130at5820           -           1077   2.5e-25   86.8  37.7   6   6   4.7e-06    0.0037   13.4   0.1   876   905  1362  1391  1359  1414 0.82 | transcript=PVX_094730.1 | gene=PVX_094730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:485565-490835(-) | protein_length=1756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082625.1-p1      -           1256 1130at5820           -           1077   6.5e-23   78.8   3.8   1   4    0.0035       2.8    3.9   0.0   509   557   656   704   645   719 0.87 | transcript=PVX_082625.1 | gene=PVX_082625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:793837-797804(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082625.1-p1      -           1256 1130at5820           -           1077   6.5e-23   78.8   3.8   2   4    0.0054       4.2    3.3   0.0   650   747   737   836   722   842 0.80 | transcript=PVX_082625.1 | gene=PVX_082625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:793837-797804(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082625.1-p1      -           1256 1130at5820           -           1077   6.5e-23   78.8   3.8   3   4   9.4e-05     0.075    9.1   0.1   788   834   933   977   906   983 0.84 | transcript=PVX_082625.1 | gene=PVX_082625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:793837-797804(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082625.1-p1      -           1256 1130at5820           -           1077   6.5e-23   78.8   3.8   4   4   4.3e-20   3.4e-17   59.9   0.1   843   910  1164  1230  1159  1240 0.89 | transcript=PVX_082625.1 | gene=PVX_082625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:793837-797804(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100660.1-p1      -           1889 1130at5820           -           1077   1.4e-17   61.2   4.4   1   4       1.3     1e+03   -4.6   0.4   918   972    31    81    18   102 0.72 | transcript=PVX_100660.1 | gene=PVX_100660 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2279366-2285035(+) | protein_length=1889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100660.1-p1      -           1889 1130at5820           -           1077   1.4e-17   61.2   4.4   2   4     0.095        75   -0.8   0.0   656   715  1468  1524  1433  1528 0.75 | transcript=PVX_100660.1 | gene=PVX_100660 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2279366-2285035(+) | protein_length=1889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100660.1-p1      -           1889 1130at5820           -           1077   1.4e-17   61.2   4.4   3   4   2.5e-20   1.9e-17   60.7   0.1   725   867  1650  1791  1642  1800 0.90 | transcript=PVX_100660.1 | gene=PVX_100660 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2279366-2285035(+) | protein_length=1889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100660.1-p1      -           1889 1130at5820           -           1077   1.4e-17   61.2   4.4   4   4     0.085        67   -0.7   0.0   876   901  1843  1868  1841  1883 0.83 | transcript=PVX_100660.1 | gene=PVX_100660 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2279366-2285035(+) | protein_length=1889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1130at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1130at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1130at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:01 2026
# [ok]
