#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098775.1-p1      -            836 7115at5820           -            359  2.1e-173  574.7  74.8   1   5  4.9e-133  2.7e-130  432.9  21.2     1   220     3   252     3   267 0.91 | transcript=PVX_098775.1 | gene=PVX_098775 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:239478-241988(-) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092340.1-p1      -           2172 7115at5820           -            359     2e-23   81.3  11.1   3   4       4.7   2.6e+03   -4.6   0.9   321   345  1447  1469  1385  1478 0.73 | transcript=PVX_092340.1 | gene=PVX_092340 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr09:1285032-1291550(-) | protein_length=2172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092340.1-p1      -           2172 7115at5820           -            359     2e-23   81.3  11.1   4   4       4.5   2.5e+03   -4.5   4.0   276   345  1809  1880  1777  1887 0.70 | transcript=PVX_092340.1 | gene=PVX_092340 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr09:1285032-1291550(-) | protein_length=2172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094625.1-p1      -            502 7115at5820           -            359     1e-22   78.9   9.2   1   2   1.9e-25     1e-22   78.9   9.2    33   139    18   126     2   177 0.88 | transcript=PVX_094625.1 | gene=PVX_094625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:403557-405065(+) | protein_length=502 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094625.1-p1      -            502 7115at5820           -            359     1e-22   78.9   9.2   2   2       1.8   9.7e+02   -3.2   3.3   208   304   251   350   226   370 0.49 | transcript=PVX_094625.1 | gene=PVX_094625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:403557-405065(+) | protein_length=502 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080105.1-p1      -           1935 7115at5820           -            359     2e-20   71.4  21.1   1   4        10   5.5e+03   -6.2   8.6   197   300    28   116    10   131 0.44 | transcript=PVX_080105.1 | gene=PVX_080105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:370279-376086(-) | protein_length=1935 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080105.1-p1      -           1935 7115at5820           -            359     2e-20   71.4  21.1   2   4   3.6e-23     2e-20   71.4  21.1    13   140   355   491   343   502 0.80 | transcript=PVX_080105.1 | gene=PVX_080105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:370279-376086(-) | protein_length=1935 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080105.1-p1      -           1935 7115at5820           -            359     2e-20   71.4  21.1   3   4        10   5.5e+03   -7.5  10.5   161   229   669   735   636   761 0.51 | transcript=PVX_080105.1 | gene=PVX_080105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:370279-376086(-) | protein_length=1935 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080105.1-p1      -           1935 7115at5820           -            359     2e-20   71.4  21.1   4   4      0.29   1.6e+02   -0.6   1.0   171   225   760   814   736   833 0.69 | transcript=PVX_080105.1 | gene=PVX_080105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:370279-376086(-) | protein_length=1935 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084540.1-p1      -           1015 7115at5820           -            359   1.7e-17   61.8  24.9   1   3   3.1e-20   1.7e-17   61.8  24.9    37   175    23   165    12   296 0.69 | transcript=PVX_084540.1 | gene=PVX_084540 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:411823-414870(-) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084540.1-p1      -           1015 7115at5820           -            359   1.7e-17   61.8  24.9   2   3       1.7   9.3e+02   -3.1   1.2   231   329   415   470   384   496 0.46 | transcript=PVX_084540.1 | gene=PVX_084540 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:411823-414870(-) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084540.1-p1      -           1015 7115at5820           -            359   1.7e-17   61.8  24.9   3   3       7.5   4.2e+03   -5.3   6.6   184   297   817   926   785   985 0.59 | transcript=PVX_084540.1 | gene=PVX_084540 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:411823-414870(-) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099800.1-p1      -           1239 7115at5820           -            359   6.7e-15   53.3   3.5   1   2   1.2e-17   6.7e-15   53.3   3.5    38   138     2   101     1   166 0.88 | transcript=PVX_099800.1 | gene=PVX_099800 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:1048682-1053069(+) | protein_length=1239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099800.1-p1      -           1239 7115at5820           -            359   6.7e-15   53.3   3.5   2   2       3.5   1.9e+03   -4.2   1.1   274   299   378   403   342   447 0.53 | transcript=PVX_099800.1 | gene=PVX_099800 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:1048682-1053069(+) | protein_length=1239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001830.1-p1      -           1471 7115at5820           -            359   2.7e-14   51.3   8.5   1   1   9.7e-17   5.4e-14   50.3   8.5    44   139     2    93     1   104 0.92 | transcript=PVX_001830.1 | gene=PVX_001830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:171699-176518(-) | protein_length=1471 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085245.1-p1      -           1293 7115at5820           -            359   2.4e-10   38.2   4.0   1   1   7.9e-13   4.3e-10   37.4   4.0    72   140   189   257   174   267 0.89 | transcript=PVX_085245.1 | gene=PVX_085245 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1040356-1044237(+) | protein_length=1293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7115at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7115at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7115at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:03 2026
# [ok]
