#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099520.1-p1      -           1441 2771at5820           -            662  3.7e-293  972.2 119.9   1   9   6.5e-46     6e-43  145.4   5.9     1   103     3   105     3   122 0.89 | transcript=PVX_099520.1 | gene=PVX_099520 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=Pv_Sal1_chr07:834529-840001(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 2771at5820           -            662     7e-55  184.8   1.9   3   5   5.3e-13   4.9e-10   36.6   0.0     4    78   152   226   149   230 0.95 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 2771at5820           -            662     7e-55  184.8   1.9   4   5   5.9e-13   5.5e-10   36.5   0.0     4    78   228   302   225   305 0.96 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 2771at5820           -            662     7e-55  184.8   1.9   5   5     7e-13   6.4e-10   36.3   0.0     5    78   305   378   302   380 0.96 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115255.1-p1      -            128 2771at5820           -            662   1.5e-11   41.7   0.1   1   1   1.6e-14   1.5e-11   41.7   0.1     6    95     2    91     1   119 0.91 | transcript=PVX_115255.1 | gene=PVX_115255 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-60S ribosomal protein L40, putative | transcript_product=ubiquitin-60S ribosomal protein L40, putative | location=Pv_Sal1_chr11:205671-206477(+) | protein_length=128 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122475.1-p1      -             76 2771at5820           -            662   2.7e-08   30.9   0.0   1   1   3.3e-11     3e-08   30.7   0.0     6    76     2    72     1    75 0.95 | transcript=PVX_122475.1 | gene=PVX_122475 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin domain containing protein | transcript_product=ubiquitin domain containing protein | location=Pv_Sal1_chr14:603605-604122(-) | protein_length=76 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091315.1-p1      -            394 2771at5820           -            662   5.1e-05   20.1   0.0   1   1   8.6e-08     8e-05   19.4   0.0     5   105     3   103     1   123 0.79 | transcript=PVX_091315.1 | gene=PVX_091315 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=Pv_Sal1_chr09:425103-426795(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097850.1-p1      -            101 2771at5820           -            662    0.0001   19.0   0.0   1   1   1.3e-07   0.00012   18.8   0.0     3    77    20    94    18    98 0.94 | transcript=PVX_097850.1 | gene=PVX_097850 | organism=Plasmodium_vivax_Sal-1 | gene_product=small ubiquitin-related modifier, putative | transcript_product=small ubiquitin-related modifier, putative | location=Pv_Sal1_chr10:1093025-1093476(+) | protein_length=101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2771at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2771at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2771at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:44 2026
# [ok]
