#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114330.1-p1      -            185 13550at5820          -            150   1.6e-85  282.9  12.3   1   1     1e-87     7e-85  280.8  12.3     1   150    22   185    22   185 0.93 | transcript=PVX_114330.1 | gene=PVX_114330 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium falciparum CPW-WPC domain containing protein | transcript_product=Plasmodium falciparum CPW-WPC domain containing protein | location=Pv_Sal1_chr11:1060347-1062112(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082505.1-p1      -            482 13550at5820          -            150   3.4e-15   54.6  42.4   1   5   1.2e-08   8.2e-06   24.1   6.0    55   127    71   143    25   154 0.70 | transcript=PVX_082505.1 | gene=PVX_082505 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:865694-867142(-) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082505.1-p1      -            482 13550at5820          -            150   3.4e-15   54.6  42.4   2   5   3.7e-08   2.5e-05   22.5   2.5    72   128   155   214   145   221 0.87 | transcript=PVX_082505.1 | gene=PVX_082505 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:865694-867142(-) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082505.1-p1      -            482 13550at5820          -            150   3.4e-15   54.6  42.4   3   5   9.2e-05     0.064   11.5   1.6    79   126   223   271   217   274 0.89 | transcript=PVX_082505.1 | gene=PVX_082505 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:865694-867142(-) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082505.1-p1      -            482 13550at5820          -            150   3.4e-15   54.6  42.4   4   5   1.4e-05    0.0095   14.2   4.8    72   127   277   332   271   336 0.89 | transcript=PVX_082505.1 | gene=PVX_082505 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:865694-867142(-) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082505.1-p1      -            482 13550at5820          -            150   3.4e-15   54.6  42.4   5   5     0.073        50    2.1   0.6    70    88   337   355   333   415 0.69 | transcript=PVX_082505.1 | gene=PVX_082505 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:865694-867142(-) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 13550at5820          -            150     1e-14   53.1  54.5   1  10     3e-08   2.1e-05   22.8   1.2    69   131    93   158    88   164 0.84 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 13550at5820          -            150     1e-14   53.1  54.5   2  10   2.3e-06    0.0016   16.7   3.8    70   132   158   220   155   224 0.85 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 13550at5820          -            150     1e-14   53.1  54.5   3  10   4.8e-06    0.0033   15.7   0.3    71   137   220   286   216   290 0.79 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 13550at5820          -            150     1e-14   53.1  54.5   4  10   0.00019      0.13   10.5   0.1    79   127   290   347   287   352 0.77 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 13550at5820          -            150     1e-14   53.1  54.5   5  10     0.006       4.2    5.6   0.1    75   122   355   405   347   414 0.77 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 13550at5820          -            150     1e-14   53.1  54.5   6  10      0.02        14    3.9   0.8    64   111   652   698   646   701 0.72 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 13550at5820          -            150     1e-14   53.1  54.5   7  10    0.0049       3.4    5.9   1.4    28   127   687   795   681   801 0.73 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 13550at5820          -            150     1e-14   53.1  54.5   8  10     0.038        26    3.0   0.3   112   133   949   970   943   972 0.86 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 13550at5820          -            150     1e-14   53.1  54.5   9  10      0.17   1.2e+02    0.9   2.3    74   127   971  1026   969  1033 0.77 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 13550at5820          -            150     1e-14   53.1  54.5  10  10      0.12        82    1.4   0.0   107   127  1085  1105  1067  1110 0.80 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090860.1-p1      -            585 13550at5820          -            150   4.3e-14   51.0  46.1   1   6      0.72     5e+02   -1.1   3.6    30    69    98   138    69   162 0.65 | transcript=PVX_090860.1 | gene=PVX_090860 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr09:35068-38706(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090860.1-p1      -            585 13550at5820          -            150   4.3e-14   51.0  46.1   2   6   6.2e-10   4.3e-07   28.3   1.0    68   132   231   296   175   300 0.78 | transcript=PVX_090860.1 | gene=PVX_090860 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr09:35068-38706(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090860.1-p1      -            585 13550at5820          -            150   4.3e-14   51.0  46.1   3   6   1.8e-08   1.2e-05   23.6   2.4    73   127   301   354   294   354 0.89 | transcript=PVX_090860.1 | gene=PVX_090860 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr09:35068-38706(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090860.1-p1      -            585 13550at5820          -            150   4.3e-14   51.0  46.1   4   6   2.4e-06    0.0016   16.7   3.2    67   129   355   421   355   429 0.80 | transcript=PVX_090860.1 | gene=PVX_090860 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr09:35068-38706(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090860.1-p1      -            585 13550at5820          -            150   4.3e-14   51.0  46.1   5   6    0.0024       1.7    6.9   1.4    78   130   431   487   420   492 0.79 | transcript=PVX_090860.1 | gene=PVX_090860 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr09:35068-38706(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090860.1-p1      -            585 13550at5820          -            150   4.3e-14   51.0  46.1   6   6     0.058        40    2.4   2.0    69   128   487   549   484   568 0.75 | transcript=PVX_090860.1 | gene=PVX_090860 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr09:35068-38706(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 13550at5820          -            150   3.4e-12   44.9  29.8   1   6   0.00068      0.47    8.7   2.1    30   132   154   262   141   270 0.75 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 13550at5820          -            150   3.4e-12   44.9  29.8   2   6      0.25   1.7e+02    0.4   0.1    71    93   264   286   260   290 0.84 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 13550at5820          -            150   3.4e-12   44.9  29.8   3   6     0.077        53    2.0   0.1    99   127   310   338   298   342 0.88 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 13550at5820          -            150   3.4e-12   44.9  29.8   4   6   1.2e-08   8.6e-06   24.1   1.8    66   128   338   402   316   406 0.87 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 13550at5820          -            150   3.4e-12   44.9  29.8   5   6   0.00022      0.15   10.3   0.3    70   127   407   467   402   472 0.83 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 13550at5820          -            150   3.4e-12   44.9  29.8   6   6   8.7e-06     0.006   14.8   3.2    74   131   476   536   470   545 0.82 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114600.1-p1      -            282 13550at5820          -            150   0.00034   18.9  13.2   1   3      0.46   3.2e+02   -0.5   0.5    44    58    45    59    25    83 0.61 | transcript=PVX_114600.1 | gene=PVX_114600 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium falciparum CPW-WPC domain containing protein | transcript_product=Plasmodium falciparum CPW-WPC domain containing protein | location=Pv_Sal1_chr11:784095-786348(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114600.1-p1      -            282 13550at5820          -            150   0.00034   18.9  13.2   2   3   3.8e-06    0.0026   16.0   2.9    68   128   124   186    72   197 0.70 | transcript=PVX_114600.1 | gene=PVX_114600 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium falciparum CPW-WPC domain containing protein | transcript_product=Plasmodium falciparum CPW-WPC domain containing protein | location=Pv_Sal1_chr11:784095-786348(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114600.1-p1      -            282 13550at5820          -            150   0.00034   18.9  13.2   3   3    0.0004      0.28    9.4   0.2    79   129   197   248   186   267 0.86 | transcript=PVX_114600.1 | gene=PVX_114600 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium falciparum CPW-WPC domain containing protein | transcript_product=Plasmodium falciparum CPW-WPC domain containing protein | location=Pv_Sal1_chr11:784095-786348(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13550at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13550at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13550at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:39 2026
# [ok]
