#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_096175.1-p1      -            243 11629at5820          -            188    6e-105  347.1   7.7   1   2   1.5e-52   1.6e-49  166.3   0.2     1    89    11    99    11   102 0.99 | transcript=PVX_096175.1 | gene=PVX_096175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynactin subunit 5, putative | transcript_product=dynactin subunit 5, putative | location=Pv_Sal1_chr03:705829-706560(-) | protein_length=243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116557.1-p1      -            479 11629at5820          -            188   0.00012   20.0   8.3   2   3   0.00046       0.5    8.2   0.3   103   146   383   426   364   429 0.69 | transcript=PVX_116557.1 | gene=PVX_116557 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor EIF-2B gamma subunit, putative | transcript_product=translation initiation factor EIF-2B gamma subunit, putative | location=Pv_Sal1_chr12:1088385-1091203(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116557.1-p1      -            479 11629at5820          -            188   0.00012   20.0   8.3   3   3   4.3e-06    0.0048   14.8   3.5    98   147   424   472   416   476 0.84 | transcript=PVX_116557.1 | gene=PVX_116557 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor EIF-2B gamma subunit, putative | transcript_product=translation initiation factor EIF-2B gamma subunit, putative | location=Pv_Sal1_chr12:1088385-1091203(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11629at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11629at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11629at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:43 2026
# [ok]
