#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123625.1-p1      -           1514 1005at5820           -           1159         0 2226.1 100.3   1   7   4.9e-67   4.5e-64  215.0   7.5     4   115    20   131    17   155 0.90 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 1005at5820           -           1159  7.2e-115  383.2  57.3   5   7     3e-34   2.7e-31  106.4   2.4   591   774   946  1133   914  1148 0.82 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 1005at5820           -           1159  7.2e-115  383.2  57.3   6   7   4.2e-42   3.9e-39  132.4   1.1   786  1004  1229  1455  1213  1471 0.82 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 1005at5820           -           1159  7.2e-115  383.2  57.3   7   7         6   5.5e+03   -8.9  14.0   918  1126  1427  1642  1422  1667 0.60 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 1005at5820           -           1159  1.3e-108  362.5  96.4   1   6   1.7e-39   1.6e-36  123.8  22.3    18   400    87   451    69   471 0.79 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 1005at5820           -           1159  1.3e-108  362.5  96.4   2   6   1.4e-09   1.3e-06   24.7   0.1   411   461   680   730   648   746 0.79 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 1005at5820           -           1159  1.3e-108  362.5  96.4   3   6   1.9e-08   1.7e-05   21.0   0.1   524   617  1407  1494  1398  1499 0.89 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 1005at5820           -           1159  1.3e-108  362.5  96.4   4   6   3.9e-72   3.6e-69  231.9  25.1   632  1139  1643  2153  1637  2168 0.87 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 1005at5820           -           1159  1.3e-108  362.5  96.4   5   6         6   5.5e+03   -9.5   6.5    29    77  2668  2715  2615  2724 0.71 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 1005at5820           -           1159  1.3e-108  362.5  96.4   6   6         6   5.5e+03  -10.8  11.7   987  1068  3563  3645  3515  3664 0.69 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 1005at5820           -           1159   2.7e-64  215.8  94.9   1   5   7.7e-10   7.1e-07   25.6  19.0    17   238    59   268    41   275 0.78 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 1005at5820           -           1159   2.7e-64  215.8  94.9   2   5     0.033        30    0.3   1.8   161   225   323   387   282   411 0.79 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 1005at5820           -           1159   2.7e-64  215.8  94.9   3   5    0.0039       3.6    3.4  10.5   247   374   626   736   604   741 0.77 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 1005at5820           -           1159   2.7e-64  215.8  94.9   4   5   6.8e-09   6.3e-06   22.5   0.2   413   448   740   775   727   783 0.86 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 1005at5820           -           1159   2.7e-64  215.8  94.9   5   5   3.2e-57   2.9e-54  182.5  36.5   527  1119  1128  1676  1121  1680 0.84 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 1005at5820           -           1159   1.8e-15   54.1   4.6   1   3   3.7e-05     0.034   10.1   0.1   407   444   332   369   321   374 0.90 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 1005at5820           -           1159   1.8e-15   54.1   4.6   2   3   1.4e-11   1.3e-08   31.4   0.2   567   737   632   787   625   795 0.85 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 1005at5820           -           1159   1.8e-15   54.1   4.6   3   3     6e-06    0.0055   12.7   0.1   816   921   854   959   847   969 0.80 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084625.1-p1      -           1355 1005at5820           -           1159   9.1e-09   31.9   1.6   1   3   0.00011       0.1    8.5   0.2   318   464   426   562   417   608 0.66 | transcript=PVX_084625.1 | gene=PVX_084625 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase4, putative | transcript_product=P-type ATPase4, putative | location=Pv_Sal1_chr13:492630-496697(-) | protein_length=1355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084625.1-p1      -           1355 1005at5820           -           1159   9.1e-09   31.9   1.6   2   3   8.5e-05     0.079    8.9   0.0   668   741   806   879   780   922 0.83 | transcript=PVX_084625.1 | gene=PVX_084625 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase4, putative | transcript_product=P-type ATPase4, putative | location=Pv_Sal1_chr13:492630-496697(-) | protein_length=1355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084625.1-p1      -           1355 1005at5820           -           1159   9.1e-09   31.9   1.6   3   3   1.3e-05     0.012   11.6   0.2   816   920   927  1031   920  1051 0.79 | transcript=PVX_084625.1 | gene=PVX_084625 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase4, putative | transcript_product=P-type ATPase4, putative | location=Pv_Sal1_chr13:492630-496697(-) | protein_length=1355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1005at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1005at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1005at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:31 2026
# [ok]
