#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091515.1-p1      -            214 11343at5820          -            214  4.2e-155  511.6   0.5   1   1  1.5e-157  4.7e-155  511.5   0.5     1   214     1   214     1   214 1.00 | transcript=PVX_091515.1 | gene=PVX_091515 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=Pv_Sal1_chr09:580205-581025(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118390.1-p1      -            185 11343at5820          -            214   2.9e-11   41.5   0.5   1   1   1.1e-13   3.4e-11   41.3   0.5     9   172    16   182     9   185 0.79 | transcript=PVX_118390.1 | gene=PVX_118390 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation-like factor, putative | transcript_product=ADP-ribosylation-like factor, putative | location=Pv_Sal1_chr12:2675674-2676493(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001905.1-p1      -            181 11343at5820          -            214   7.3e-09   33.7   0.1   1   1   2.7e-11   8.4e-09   33.5   0.1    10   168    18   178    11   181 0.68 | transcript=PVX_001905.1 | gene=PVX_001905 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=Pv_Sal1_chr06:240794-242171(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110990.1-p1      -            178 11343at5820          -            214   7.8e-08   30.3   0.1   1   1   3.1e-10   9.5e-08   30.0   0.1    11   164    19   174    13   178 0.75 | transcript=PVX_110990.1 | gene=PVX_110990 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor-like protein, putative | transcript_product=ADP-ribosylation factor-like protein, putative | location=Pv_Sal1_chr06:800482-801018(+) | protein_length=178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089930.1-p1      -            191 11343at5820          -            214   1.7e-06   26.0   0.0   1   1   8.2e-09   2.5e-06   25.4   0.0    12   131    23   139    18   185 0.83 | transcript=PVX_089930.1 | gene=PVX_089930 | organism=Plasmodium_vivax_Sal-1 | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=Pv_Sal1_chr05:946227-947218(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101235.1-p1      -            261 11343at5820          -            214   2.6e-05   22.1   0.2   1   1   1.1e-07   3.5e-05   21.7   0.2     9   131    63   188    58   222 0.83 | transcript=PVX_101235.1 | gene=PVX_101235 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2738495-2739776(+) | protein_length=261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113975.1-p1      -            452 11343at5820          -            214     0.001   16.9   0.1   1   2     0.051        16    3.2   0.0    11    34     5    27     1    39 0.79 | transcript=PVX_113975.1 | gene=PVX_113975 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=Pv_Sal1_chr11:1349292-1350650(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113975.1-p1      -            452 11343at5820          -            214     0.001   16.9   0.1   2   2   0.00024     0.075   10.8   0.0    65   107   163   205   153   211 0.89 | transcript=PVX_113975.1 | gene=PVX_113975 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=Pv_Sal1_chr11:1349292-1350650(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11343at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11343at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11343at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:10 2026
# [ok]
