#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0   1  27  8.6e-193  4.7e-189  628.8  50.0     1   322     1   325     1   334 0.98 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0  12  27   6.9e-12   3.8e-08   28.5   0.0  1573  1602  2850  2879  2847  2882 0.94 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0  13  27   5.8e-60   3.2e-56  188.1   9.2  1599  1713  3020  3136  3012  3144 0.94 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0  14  27  1.2e-173  6.5e-170  565.3  47.4  1722  2068  3356  3727  3349  3738 0.92 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0  15  27   1.9e-46   1.1e-42  143.2   0.1  2056  2167  3787  3915  3785  3949 0.90 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0  16  27   9.5e-81   5.2e-77  257.0  10.4  2178  2311  3975  4108  3969  4111 0.98 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0  17  27     4e-07    0.0022   12.7  17.7  2288  2365  4139  4216  4134  4224 0.80 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0  18  27   0.00015      0.84    4.2   2.8  2345  2375  4254  4284  4251  4291 0.79 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0  19  27   3.9e-21   2.1e-17   59.2   7.0  2362  2426  4375  4447  4357  4449 0.83 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0  20  27     1e-54   5.7e-51  170.7  10.5  2423  2528  4503  4608  4499  4611 0.97 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0  21  27   1.1e-32   6.2e-29   97.5   0.8  2517  2581  4647  4711  4639  4722 0.89 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0  22  27   2.8e-78   1.5e-74  248.8  17.5  2581  2708  4829  4956  4825  4967 0.97 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0  23  27   4.9e-29   2.7e-25   85.4   2.2  2707  2772  4993  5058  4969  5071 0.91 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0  24  27   2.6e-08   0.00014   16.7   0.3  2767  2799  5149  5181  5136  5185 0.89 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0  25  27  1.2e-150  6.7e-147  489.0  40.0  2800  3112  5292  5609  5287  5637 0.94 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0  26  27   7.8e-53   4.3e-49  164.4   9.2  3092  3214  5639  5768  5623  5779 0.86 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0  27  27   1.5e-19     8e-16   54.0   5.1  3202  3250  5842  5892  5835  5892 0.85 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/72at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/72at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/72at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:00 2026
# [ok]
