#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_122455.1-p1      -           1066 2273at5820           -            873         0 1677.7  32.0   1   2  4.8e-180  2.2e-177  590.3   0.0     1   330     7   393     7   401 0.98 | transcript=PVX_122455.1 | gene=PVX_122455 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr14:572869-576069(+) | protein_length=1066 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099025.1-p1      -            910 2273at5820           -            873   6.5e-05   19.7   2.6   1   2   1.4e-07   6.6e-05   19.6   0.6   158   267   219   331   194   356 0.81 | transcript=PVX_099025.1 | gene=PVX_099025 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr07:458198-460930(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099025.1-p1      -            910 2273at5820           -            873   6.5e-05   19.7   2.6   2   2       0.2        91   -0.7   0.1   347   383   364   400   325   418 0.78 | transcript=PVX_099025.1 | gene=PVX_099025 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr07:458198-460930(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 2273at5820           -            873   0.00026   17.7   0.4   1   2   5.7e-07   0.00026   17.7   0.4   156   268    56   168    32   185 0.84 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 2273at5820           -            873   0.00026   17.7   0.4   2   2       2.2     1e+03   -4.1   0.2   606   627   931   952   905   969 0.47 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114830.1-p1      -            443 2273at5820           -            873    0.0036   13.9   0.0   1   1   1.1e-05    0.0052   13.4   0.0   165   270    61   173    42   210 0.74 | transcript=PVX_114830.1 | gene=PVX_114830 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:592949-594280(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114832.1-p1      -            443 2273at5820           -            873    0.0036   13.9   0.0   1   1   1.1e-05    0.0052   13.4   0.0   165   270    61   173    42   210 0.74 | transcript=PVX_114832.1 | gene=PVX_114832 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:590205-591536(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091785.1-p1      -            547 2273at5820           -            873    0.0038   13.8   0.0   1   1   1.3e-05    0.0058   13.2   0.0   175   302   175   308   156   320 0.70 | transcript=PVX_091785.1 | gene=PVX_091785 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor EF-1, subunit alpha, putative | transcript_product=translation elongation factor EF-1, subunit alpha, putative | location=Pv_Sal1_chr09:845064-846906(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 2273at5820           -            873     0.016   11.8   0.0   1   1   5.1e-05     0.024   11.2   0.0   188   270   124   206   117   214 0.85 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2273at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2273at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2273at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:03 2026
# [ok]
