#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081455.1-p1      -           1196 1494at5820           -            912         0 1833.3  45.3   1   4  4.6e-222  4.2e-219  728.2  10.5     7   351    40   394    35   400 0.98 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081695.1-p1      -           1678 1494at5820           -            912     2e-11   40.9   1.4   5   6      0.94   8.7e+02   -4.2   0.7   819   849  1493  1526  1439  1543 0.65 | transcript=PVX_081695.1 | gene=PVX_081695 | organism=Plasmodium_vivax_Sal-1 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=Pv_Sal1_chr02:565513-570549(+) | protein_length=1678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081695.1-p1      -           1678 1494at5820           -            912     2e-11   40.9   1.4   6   6         6   5.5e+03   -9.6   6.6   841   900  1589  1651  1571  1657 0.63 | transcript=PVX_081695.1 | gene=PVX_081695 | organism=Plasmodium_vivax_Sal-1 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=Pv_Sal1_chr02:565513-570549(+) | protein_length=1678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123625.1-p1      -           1514 1494at5820           -            912   1.5e-09   34.7   3.9   1   3   0.00035      0.32    7.2   0.0   290   329   608   647   593   655 0.84 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123625.1-p1      -           1514 1494at5820           -            912   1.5e-09   34.7   3.9   2   3   9.4e-07   0.00087   15.7   0.0   506   566   977  1037   957  1056 0.83 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123625.1-p1      -           1514 1494at5820           -            912   1.5e-09   34.7   3.9   3   3   2.9e-05     0.026   10.8   0.3   583   693  1144  1254  1130  1439 0.78 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 1494at5820           -            912   3.6e-09   33.5   1.4   1   4   0.00076       0.7    6.0   0.0   297   329   488   520   425   528 0.91 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 1494at5820           -            912   3.6e-09   33.5   1.4   2   4     0.074        68   -0.5   0.1   447   481   936   973   922   983 0.79 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 1494at5820           -            912   3.6e-09   33.5   1.4   3   4   3.8e-07   0.00035   16.9   0.1   503   562  1038  1097  1028  1119 0.89 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 1494at5820           -            912   3.6e-09   33.5   1.4   4   4    0.0011         1    5.5   0.0   583   645  1259  1323  1249  1342 0.77 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 1494at5820           -            912     1e-06   25.3  56.4   1   5   1.3e-05     0.012   11.9   1.1    24   172    79   227    66   231 0.68 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 1494at5820           -            912     1e-06   25.3  56.4   2   5   2.4e-05     0.022   11.0   1.9   168   338   623   780   567   824 0.68 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 1494at5820           -            912     1e-06   25.3  56.4   3   5   1.5e-05     0.014   11.7  10.1   482   560  1241  1324  1064  1348 0.89 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 1494at5820           -            912     1e-06   25.3  56.4   4   5   7.4e-09   6.8e-06   22.6   2.8   582   647  1387  1453  1342  1481 0.81 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 1494at5820           -            912     1e-06   25.3  56.4   5   5         6   5.5e+03  -13.3  10.1   833   892  1592  1652  1584  1670 0.59 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1494at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1494at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1494at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:45 2026
# [ok]
