#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081430.1-p1      -            214 11317at5820          -            146   1.4e-90  299.0   5.2   1   2   1.2e-81   4.1e-79  261.8   0.7     1   113    34   146    34   159 0.98 | transcript=PVX_081430.1 | gene=PVX_081430 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=Pv_Sal1_chr02:336091-338054(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091515.1-p1      -            214 11317at5820          -            146   3.9e-13   47.8   0.0   1   2   2.8e-15   9.7e-13   46.5   0.0     1   113    16   127    16   138 0.94 | transcript=PVX_091515.1 | gene=PVX_091515 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=Pv_Sal1_chr09:580205-581025(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091515.1-p1      -            214 11317at5820          -            146   3.9e-13   47.8   0.0   2   2       2.1   7.4e+02   -1.8   0.0   113   136   144   167   128   171 0.80 | transcript=PVX_091515.1 | gene=PVX_091515 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=Pv_Sal1_chr09:580205-581025(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001905.1-p1      -            181 11317at5820          -            146   4.8e-07   28.0   0.0   1   1   1.8e-09   6.2e-07   27.7   0.0    41   119    59   138    27   152 0.86 | transcript=PVX_001905.1 | gene=PVX_001905 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=Pv_Sal1_chr06:240794-242171(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110990.1-p1      -            178 11317at5820          -            146   0.00026   19.1   0.0   1   1     1e-06   0.00035   18.7   0.0    41   116    59   135    27   150 0.87 | transcript=PVX_110990.1 | gene=PVX_110990 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor-like protein, putative | transcript_product=ADP-ribosylation factor-like protein, putative | location=Pv_Sal1_chr06:800482-801018(+) | protein_length=178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089930.1-p1      -            191 11317at5820          -            146    0.0027   15.9   0.0   1   1   1.1e-05    0.0039   15.3   0.0    42   110    63   132    57   149 0.84 | transcript=PVX_089930.1 | gene=PVX_089930 | organism=Plasmodium_vivax_Sal-1 | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=Pv_Sal1_chr05:946227-947218(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113975.1-p1      -            452 11317at5820          -            146     0.022   12.9   0.1   1   1   0.00017     0.057   11.6   0.0    38    93   151   206   121   237 0.85 | transcript=PVX_113975.1 | gene=PVX_113975 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=Pv_Sal1_chr11:1349292-1350650(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11317at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11317at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11317at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:02 2026
# [ok]
