#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_119255.1-p1      -           1364 1711at5820           -            877         0 1504.1 138.8   1   5  1.4e-196  8.6e-194  644.2  53.4     7   381   168   588   166   594 0.93 | transcript=PVX_119255.1 | gene=PVX_119255 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=Pv_Sal1_chr08:1616854-1620948(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 1711at5820           -            877   3.9e-53  178.8  22.8   7   7   1.3e-21     8e-19   65.3   0.9   748   850  1325  1431  1311  1461 0.82 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092880.1-p1      -            783 1711at5820           -            877   4.2e-35  119.2  53.0   1   3   7.7e-18   4.7e-15   52.8  29.0    34   314   205   497   176   513 0.82 | transcript=PVX_092880.1 | gene=PVX_092880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=Pv_Sal1_chr09:1792450-1795088(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092880.1-p1      -            783 1711at5820           -            877   4.2e-35  119.2  53.0   2   3   1.6e-06   0.00097   15.4   8.5   580   704   551   676   541   681 0.87 | transcript=PVX_092880.1 | gene=PVX_092880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=Pv_Sal1_chr09:1792450-1795088(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092880.1-p1      -            783 1711at5820           -            877   4.2e-35  119.2  53.0   3   3   5.5e-21   3.4e-18   63.2   2.4   748   854   668   778   662   781 0.92 | transcript=PVX_092880.1 | gene=PVX_092880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=Pv_Sal1_chr09:1792450-1795088(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118100.1-p1      -           1605 1711at5820           -            877   8.1e-33  111.6  35.5   1   3   6.4e-05     0.039   10.1  27.8    43   323   368   663   361   682 0.76 | transcript=PVX_118100.1 | gene=PVX_118100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=Pv_Sal1_chr12:2412009-2416826(+) | protein_length=1605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118100.1-p1      -           1605 1711at5820           -            877   8.1e-33  111.6  35.5   2   3   1.6e-13   9.7e-11   38.5   0.1   579   685   685   790   675   797 0.95 | transcript=PVX_118100.1 | gene=PVX_118100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=Pv_Sal1_chr12:2412009-2416826(+) | protein_length=1605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118100.1-p1      -           1605 1711at5820           -            877   8.1e-33  111.6  35.5   3   3   4.4e-22   2.7e-19   66.8   0.1   748   871   798   922   791   927 0.92 | transcript=PVX_118100.1 | gene=PVX_118100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=Pv_Sal1_chr12:2412009-2416826(+) | protein_length=1605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 1711at5820           -            877   6.7e-31  105.2  39.0   1   2   1.6e-13   9.8e-11   38.5  19.6    28   327   216   530   191   546 0.74 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 1711at5820           -            877   6.7e-31  105.2  39.0   2   2   1.1e-23   6.9e-21   72.1  11.4   601   865   614   904   608   914 0.80 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 1711at5820           -            877   3.3e-21   73.2  14.9   1   3       1.2   7.3e+02   -4.1   0.2    92   127   193   228   187   260 0.73 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 1711at5820           -            877   3.3e-21   73.2  14.9   2   3   4.9e-11     3e-08   30.3   2.0   585   685   480   583   475   592 0.87 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 1711at5820           -            877   3.3e-21   73.2  14.9   3   3   1.4e-17   8.8e-15   51.9   1.0   753   864   688   799   668   802 0.92 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083495.1-p1      -            998 1711at5820           -            877   7.3e-15   52.2  19.2   1   3         9   5.5e+03  -11.4  42.4    40   243   337   558   299   602 0.67 | transcript=PVX_083495.1 | gene=PVX_083495 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=Pv_Sal1_chr12:75466-78462(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083495.1-p1      -            998 1711at5820           -            877   7.3e-15   52.2  19.2   2   3   8.9e-15   5.5e-12   42.7  10.1   599   705   770   871   739   888 0.87 | transcript=PVX_083495.1 | gene=PVX_083495 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=Pv_Sal1_chr12:75466-78462(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083495.1-p1      -            998 1711at5820           -            877   7.3e-15   52.2  19.2   3   3   3.9e-09   2.4e-06   24.0   1.6   776   849   894   967   863   991 0.82 | transcript=PVX_083495.1 | gene=PVX_083495 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=Pv_Sal1_chr12:75466-78462(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085205.1-p1      -            695 1711at5820           -            877   2.6e-08   30.5   0.1   1   3     0.028        17    1.3   0.2   618   706    68   152    36   171 0.74 | transcript=PVX_085205.1 | gene=PVX_085205 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=Pv_Sal1_chr13:1012549-1014636(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085205.1-p1      -            695 1711at5820           -            877   2.6e-08   30.5   0.1   2   3   4.3e-11   2.6e-08   30.5   0.1   764   863   161   264   121   272 0.77 | transcript=PVX_085205.1 | gene=PVX_085205 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=Pv_Sal1_chr13:1012549-1014636(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085205.1-p1      -            695 1711at5820           -            877   2.6e-08   30.5   0.1   3   3       6.1   3.7e+03   -6.4   5.8   146   204   521   577   494   603 0.57 | transcript=PVX_085205.1 | gene=PVX_085205 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=Pv_Sal1_chr13:1012549-1014636(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085775.1-p1      -            351 1711at5820           -            877   1.6e-07   27.9   2.1   1   2    0.0029       1.8    4.6   0.1   601   652   117   170    12   177 0.73 | transcript=PVX_085775.1 | gene=PVX_085775 | organism=Plasmodium_vivax_Sal-1 | gene_product=FeS assembly ATPase SufC, putative | transcript_product=FeS assembly ATPase SufC, putative | location=Pv_Sal1_chr13:1513058-1514113(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085775.1-p1      -            351 1711at5820           -            877   1.6e-07   27.9   2.1   2   2   6.5e-09     4e-06   23.3   0.2   775   860   246   334   227   350 0.76 | transcript=PVX_085775.1 | gene=PVX_085775 | organism=Plasmodium_vivax_Sal-1 | gene_product=FeS assembly ATPase SufC, putative | transcript_product=FeS assembly ATPase SufC, putative | location=Pv_Sal1_chr13:1513058-1514113(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1711at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1711at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1711at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:17 2026
# [ok]
