#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117875.1-p1      -            361 10298at5820          -            272    2e-145  481.5  41.6   1   1  5.1e-148  2.6e-145  481.2  41.6     1   271    14   291    14   292 0.98 | transcript=PVX_117875.1 | gene=PVX_117875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2212611-2213696(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092920.1-p1      -            340 10298at5820          -            272   6.9e-12   43.6  28.5   1   1   2.4e-14   1.2e-11   42.8  28.5    25   193   106   275    97   321 0.86 | transcript=PVX_092920.1 | gene=PVX_092920 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr09:1819386-1820408(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098022.1-p1      -            359 10298at5820          -            272   2.4e-09   35.3  22.3   1   3   2.6e-07   0.00013   19.7   2.1    77   127    45    95    21   100 0.66 | transcript=PVX_098022.1 | gene=PVX_098022 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:964062-965787(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098022.1-p1      -            359 10298at5820          -            272   2.4e-09   35.3  22.3   2   3   2.3e-08   1.2e-05   23.2   3.5    88   145    99   159    92   166 0.82 | transcript=PVX_098022.1 | gene=PVX_098022 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:964062-965787(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098022.1-p1      -            359 10298at5820          -            272   2.4e-09   35.3  22.3   3   3     0.064        32    2.1   2.7   102   129   261   289   236   349 0.45 | transcript=PVX_098022.1 | gene=PVX_098022 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:964062-965787(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089240.1-p1      -            198 10298at5820          -            272   7.2e-09   33.7   9.0   1   1   8.1e-11   4.1e-08   31.3   8.8    40   145    48   157     4   175 0.71 | transcript=PVX_089240.1 | gene=PVX_089240 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=Pv_Sal1_chr05:408745-410298(+) | protein_length=198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099970.1-p1      -            635 10298at5820          -            272   7.8e-08   30.3  21.6   1   3   1.5e-10   7.8e-08   30.3  21.6    49   158    80   189    67   193 0.87 | transcript=PVX_099970.1 | gene=PVX_099970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1144830-1147506(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099970.1-p1      -            635 10298at5820          -            272   7.8e-08   30.3  21.6   2   3   1.3e-05    0.0063   14.2  12.7    36   106   133   206   132   224 0.84 | transcript=PVX_099970.1 | gene=PVX_099970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1144830-1147506(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099970.1-p1      -            635 10298at5820          -            272   7.8e-08   30.3  21.6   3   3       2.8   1.4e+03   -3.3   2.2   158   166   520   528   462   578 0.51 | transcript=PVX_099970.1 | gene=PVX_099970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1144830-1147506(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124035.1-p1      -            438 10298at5820          -            272   1.9e-06   25.8  14.6   1   2   3.7e-09   1.9e-06   25.8  14.6    33   135    11   112     3   144 0.80 | transcript=PVX_124035.1 | gene=PVX_124035 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1990626-1992189(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124035.1-p1      -            438 10298at5820          -            272   1.9e-06   25.8  14.6   2   2       3.5   1.8e+03   -3.6   0.1   227   248   281   302   265   318 0.53 | transcript=PVX_124035.1 | gene=PVX_124035 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1990626-1992189(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115445.1-p1      -            176 10298at5820          -            272   3.9e-06   24.7  16.3   1   1   1.2e-08   6.2e-06   24.1  15.3    67   165    19   123     5   142 0.80 | transcript=PVX_115445.1 | gene=PVX_115445 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=Pv_Sal1_chr11:55010-56353(+) | protein_length=176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083285.1-p1      -            310 10298at5820          -            272   9.3e-06   23.5  20.4   1   2   1.9e-08   9.3e-06   23.5  20.4    31   144    11   125     1   136 0.89 | transcript=PVX_083285.1 | gene=PVX_083285 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr12:247853-249650(-) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083285.1-p1      -            310 10298at5820          -            272   9.3e-06   23.5  20.4   2   2   0.00026      0.13    9.9  12.9    73   153    98   185    98   204 0.84 | transcript=PVX_083285.1 | gene=PVX_083285 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr12:247853-249650(-) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098780.1-p1      -            414 10298at5820          -            272   0.00044   18.0   9.3   1   2    0.0055       2.8    5.6   0.8    37   126   133   221    98   225 0.73 | transcript=PVX_098780.1 | gene=PVX_098780 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr07:250525-251769(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098780.1-p1      -            414 10298at5820          -            272   0.00044   18.0   9.3   2   2   2.4e-06    0.0012   16.6   2.2    67   120   274   331   268   336 0.85 | transcript=PVX_098780.1 | gene=PVX_098780 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr07:250525-251769(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10298at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10298at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10298at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:31 2026
# [ok]
