#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091705.1-p1      -            792 3154at5820           -            664         0 1363.3  64.5   1   4   5.8e-14   3.5e-11   40.5   1.9     3    47    19    69    17    74 0.86 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123085.1-p1      -           1280 3154at5820           -            664   3.3e-13   47.2  43.6   3   5      0.35   2.2e+02   -1.8   1.3   336   388   598   650   572   667 0.66 | transcript=PVX_123085.1 | gene=PVX_123085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=Pv_Sal1_chr14:1119308-1123150(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123085.1-p1      -           1280 3154at5820           -            664   3.3e-13   47.2  43.6   4   5   0.00032       0.2    8.3   0.1   457   497   814   854   776   865 0.88 | transcript=PVX_123085.1 | gene=PVX_123085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=Pv_Sal1_chr14:1119308-1123150(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123085.1-p1      -           1280 3154at5820           -            664   3.3e-13   47.2  43.6   5   5   2.4e-09   1.5e-06   25.2   1.2   569   633  1029  1094   996  1118 0.84 | transcript=PVX_123085.1 | gene=PVX_123085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=Pv_Sal1_chr14:1119308-1123150(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 3154at5820           -            664   2.7e-11   40.8  14.5   1   3     0.012       7.5    3.1   0.1   153   170   120   137   110   146 0.86 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 3154at5820           -            664   2.7e-11   40.8  14.5   2   3   8.1e-07    0.0005   16.9   0.7   561   635   223   301   189   306 0.78 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 3154at5820           -            664   2.7e-11   40.8  14.5   3   3   6.3e-10   3.9e-07   27.1   3.4   478   635   393   552   326   567 0.69 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 3154at5820           -            664   1.8e-10   38.2   3.6   1   2   3.6e-05     0.022   11.4   0.1   460   509   613   662   605   700 0.85 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 3154at5820           -            664   1.8e-10   38.2   3.6   2   2   6.4e-10     4e-07   27.1   0.4   263   327   815   881   753   889 0.87 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084835.1-p1      -            257 3154at5820           -            664     3e-09   34.1   4.2   1   2   1.4e-05    0.0084   12.8   0.1   466   510    27    71    11    79 0.83 | transcript=PVX_084835.1 | gene=PVX_084835 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=Pv_Sal1_chr13:686095-687730(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084835.1-p1      -            257 3154at5820           -            664     3e-09   34.1   4.2   2   2   2.1e-08   1.3e-05   22.1   1.5   259   343   125   213    99   232 0.89 | transcript=PVX_084835.1 | gene=PVX_084835 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=Pv_Sal1_chr13:686095-687730(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085205.1-p1      -            695 3154at5820           -            664   2.5e-06   24.5   0.1   1   1   1.7e-08     1e-05   22.4   0.1   478   610    68   216    62   231 0.70 | transcript=PVX_085205.1 | gene=PVX_085205 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=Pv_Sal1_chr13:1012549-1014636(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085775.1-p1      -            351 3154at5820           -            664   2.7e-06   24.3   2.1   1   1   4.6e-08   2.8e-05   21.0   2.1   120   352    98   339    49   346 0.74 | transcript=PVX_085775.1 | gene=PVX_085775 | organism=Plasmodium_vivax_Sal-1 | gene_product=FeS assembly ATPase SufC, putative | transcript_product=FeS assembly ATPase SufC, putative | location=Pv_Sal1_chr13:1513058-1514113(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 3154at5820           -            664   3.7e-05   20.6   8.6   1   3      0.79   4.9e+02   -2.9   0.1   172   244   260   338   252   358 0.49 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 3154at5820           -            664   3.7e-05   20.6   8.6   2   3   7.3e-06    0.0045   13.7   0.2   459   509   497   546   482   567 0.81 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 3154at5820           -            664   3.7e-05   20.6   8.6   3   3   2.7e-05     0.016   11.8   0.5   263   331   711   781   701   799 0.83 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3154at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3154at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3154at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:55 2026
# [ok]
