#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089205.1-p1      -            292 9510at5820           -            234  9.2e-140  462.2  23.2   1   1  2.3e-138  3.2e-136  450.6  23.2     1   224     1   263     1   292 0.93 | transcript=PVX_089205.1 | gene=PVX_089205 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr05:382086-383300(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100755.1-p1      -            505 9510at5820           -            234   8.3e-37  125.3  14.1   2   3       6.1   8.6e+02   -2.4   0.7   165   188   309   332   304   338 0.85 | transcript=PVX_100755.1 | gene=PVX_100755 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr14:2357427-2358944(-) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100755.1-p1      -            505 9510at5820           -            234   8.3e-37  125.3  14.1   3   3   3.7e-37   5.2e-35  119.4   5.1    92   205   372   501   356   504 0.88 | transcript=PVX_100755.1 | gene=PVX_100755 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr14:2357427-2358944(-) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 9510at5820           -            234   4.7e-31  106.4  10.3   1   5   3.1e-06   0.00044   18.2   0.0   125   188    15    79    10    96 0.84 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 9510at5820           -            234   4.7e-31  106.4  10.3   2   5   1.8e-11   2.6e-09   35.3   0.1   125   204   103   184    91   190 0.88 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 9510at5820           -            234   4.7e-31  106.4  10.3   3   5   1.2e-06   0.00016   19.6   0.0   120   191   187   256   178   263 0.86 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 9510at5820           -            234   4.7e-31  106.4  10.3   4   5   3.8e-12   5.4e-10   37.5   0.0   119   213   442   536   436   553 0.89 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 9510at5820           -            234   4.7e-31  106.4  10.3   5   5       9.9   1.4e+03   -3.1   0.5    90   126   635   672   631   690 0.81 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001965.1-p1      -           1533 9510at5820           -            234   1.1e-27   95.5   1.1   1   1   1.6e-28   2.2e-26   91.1   1.1     7   210   319   512   313   519 0.85 | transcript=PVX_001965.1 | gene=PVX_001965 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr06:310902-315635(+) | protein_length=1533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 9510at5820           -            234   5.5e-14   50.6   0.5   1   2    0.0073         1    7.1   0.0   126   194    20    89    11   101 0.76 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 9510at5820           -            234   5.5e-14   50.6   0.5   2   2   1.9e-13   2.7e-11   41.8   0.1   123   200   104   181    91   205 0.87 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116785.1-p1      -           1016 9510at5820           -            234   2.6e-13   48.4   0.0   1   3   0.00043     0.062   11.1   0.0   127   210   626   710   612   728 0.77 | transcript=PVX_116785.1 | gene=PVX_116785 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=Pv_Sal1_chr12:1293026-1296231(-) | protein_length=1016 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116785.1-p1      -           1016 9510at5820           -            234   2.6e-13   48.4   0.0   2   3   2.9e-10   4.1e-08   31.4   0.0   137   208   738   809   733   826 0.89 | transcript=PVX_116785.1 | gene=PVX_116785 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=Pv_Sal1_chr12:1293026-1296231(-) | protein_length=1016 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116785.1-p1      -           1016 9510at5820           -            234   2.6e-13   48.4   0.0   3   3      0.34        48    1.7   0.0    16    66   944   991   932   997 0.74 | transcript=PVX_116785.1 | gene=PVX_116785 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=Pv_Sal1_chr12:1293026-1296231(-) | protein_length=1016 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099257.1-p1      -            339 9510at5820           -            234   1.3e-12   46.0   1.7   1   2   5.2e-10   7.3e-08   30.5   0.0   122   200    83   159    73   171 0.87 | transcript=PVX_099257.1 | gene=PVX_099257 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=Pv_Sal1_chr07:628751-629772(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099257.1-p1      -            339 9510at5820           -            234   1.3e-12   46.0   1.7   2   2   7.2e-05      0.01   13.7   1.3   128   218   172   268   163   286 0.65 | transcript=PVX_099257.1 | gene=PVX_099257 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=Pv_Sal1_chr07:628751-629772(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094535.1-p1      -            250 9510at5820           -            234   3.3e-11   41.5   0.0   1   2   2.7e-08   3.8e-06   24.9   0.0   123   189    18    84     5   104 0.87 | transcript=PVX_094535.1 | gene=PVX_094535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:314388-316060(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094535.1-p1      -            250 9510at5820           -            234   3.3e-11   41.5   0.0   2   2   3.5e-05     0.005   14.7   0.0   127   202   173   248   162   250 0.92 | transcript=PVX_094535.1 | gene=PVX_094535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:314388-316060(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089680.1-p1      -            361 9510at5820           -            234   1.9e-10   39.0   0.8   1   2   0.00026     0.037   11.9   0.1     7    56   118   169   110   184 0.61 | transcript=PVX_089680.1 | gene=PVX_089680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr05:757428-759845(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089680.1-p1      -            361 9510at5820           -            234   1.9e-10   39.0   0.8   2   2   1.8e-08   2.5e-06   25.5   0.1   126   185   202   261   170   285 0.84 | transcript=PVX_089680.1 | gene=PVX_089680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr05:757428-759845(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 9510at5820           -            234   3.8e-10   38.0   5.3   1   3       2.3   3.2e+02   -1.0   1.1    71   202   403   537   394   552 0.71 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 9510at5820           -            234   3.8e-10   38.0   5.3   2   3     0.001      0.14   10.0   0.0   165   202   924   961   917   974 0.87 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 9510at5820           -            234   3.8e-10   38.0   5.3   3   3   3.6e-09   5.1e-07   27.8   0.1   128   199   988  1059   971  1066 0.90 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094315.1-p1      -            322 9510at5820           -            234   4.3e-09   34.6   0.0   1   1   6.4e-11     9e-09   33.5   0.0   124   230    88   196    78   199 0.85 | transcript=PVX_094315.1 | gene=PVX_094315 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:148003-151105(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092560.1-p1      -           1836 9510at5820           -            234   1.7e-07   29.3   0.8   1   2      0.31        45    1.8   0.7   138   195   477   532   451   539 0.77 | transcript=PVX_092560.1 | gene=PVX_092560 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1504872-1510382(+) | protein_length=1836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092560.1-p1      -           1836 9510at5820           -            234   1.7e-07   29.3   0.8   2   2   3.1e-08   4.4e-06   24.7   0.0     8    90  1022  1105  1015  1114 0.70 | transcript=PVX_092560.1 | gene=PVX_092560 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1504872-1510382(+) | protein_length=1836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099460.1-p1      -            475 9510at5820           -            234   4.4e-07   28.0   0.1   1   2   3.2e-05    0.0045   14.9   0.1   128   185    97   154    65   182 0.79 | transcript=PVX_099460.1 | gene=PVX_099460 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:790787-792409(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099460.1-p1      -            475 9510at5820           -            234   4.4e-07   28.0   0.1   2   2   0.00047     0.066   11.0   0.0   115   183   293   364   269   379 0.74 | transcript=PVX_099460.1 | gene=PVX_099460 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:790787-792409(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099915.1-p1      -            287 9510at5820           -            234   1.2e-06   26.6   1.4   1   2   0.00022     0.031   12.1   0.7   139   202    58   117    34   142 0.80 | transcript=PVX_099915.1 | gene=PVX_099915 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:1115133-1116820(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099915.1-p1      -            287 9510at5820           -            234   1.2e-06   26.6   1.4   2   2   0.00012     0.017   13.0   0.0   126   200   210   284   174   286 0.89 | transcript=PVX_099915.1 | gene=PVX_099915 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:1115133-1116820(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114975.1-p1      -            181 9510at5820           -            234   1.8e-06   26.0   0.0   1   1   1.8e-08   2.6e-06   25.5   0.0   136   211    60   136    39   159 0.78 | transcript=PVX_114975.1 | gene=PVX_114975 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr11:447877-449199(+) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089625.1-p1      -            269 9510at5820           -            234   2.9e-06   25.3   0.0   1   1   3.6e-08     5e-06   24.5   0.0     9    68   190   251   183   258 0.83 | transcript=PVX_089625.1 | gene=PVX_089625 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 4, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 4, putative | location=Pv_Sal1_chr05:707726-709948(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080385.1-p1      -            314 9510at5820           -            234   5.3e-06   24.4   0.0   1   2   4.3e-07     6e-05   21.0   0.0   127   200     9    80     4    91 0.91 | transcript=PVX_080385.1 | gene=PVX_080385 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=Pv_Sal1_chr10:626300-627451(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080385.1-p1      -            314 9510at5820           -            234   5.3e-06   24.4   0.0   2   2      0.55        78    1.0   0.0   165   190   143   168   124   193 0.78 | transcript=PVX_080385.1 | gene=PVX_080385 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=Pv_Sal1_chr10:626300-627451(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123875.1-p1      -            110 9510at5820           -            234   5.6e-06   24.4   0.0   1   1   4.6e-08   6.5e-06   24.2   0.0   128   198    16    84     9   103 0.87 | transcript=PVX_123875.1 | gene=PVX_123875 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=Pv_Sal1_chr14:1860422-1861009(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091625.1-p1      -            208 9510at5820           -            234   5.8e-06   24.3   0.3   1   2   9.2e-08   1.3e-05   23.2   0.1   120   200     2    82     1    94 0.90 | transcript=PVX_091625.1 | gene=PVX_091625 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=Pv_Sal1_chr09:657690-658316(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091625.1-p1      -            208 9510at5820           -            234   5.8e-06   24.3   0.3   2   2       4.9   6.9e+02   -2.1   0.0    51    82   159   188   147   192 0.75 | transcript=PVX_091625.1 | gene=PVX_091625 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=Pv_Sal1_chr09:657690-658316(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113495.1-p1      -            747 9510at5820           -            234   6.7e-06   24.1   0.2   1   3     0.076        11    3.8   0.0   167   199   442   476   387   499 0.67 | transcript=PVX_113495.1 | gene=PVX_113495 | organism=Plasmodium_vivax_Sal-1 | gene_product=polypyrimidine tract binding protein, putative | transcript_product=polypyrimidine tract binding protein, putative | location=Pv_Sal1_chr11:1765303-1768296(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113495.1-p1      -            747 9510at5820           -            234   6.7e-06   24.1   0.2   2   3      0.15        22    2.8   0.0   128   161   552   586   542   606 0.73 | transcript=PVX_113495.1 | gene=PVX_113495 | organism=Plasmodium_vivax_Sal-1 | gene_product=polypyrimidine tract binding protein, putative | transcript_product=polypyrimidine tract binding protein, putative | location=Pv_Sal1_chr11:1765303-1768296(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113495.1-p1      -            747 9510at5820           -            234   6.7e-06   24.1   0.2   3   3   0.00011     0.016   13.1   0.0   122   202   664   744   619   746 0.80 | transcript=PVX_113495.1 | gene=PVX_113495 | organism=Plasmodium_vivax_Sal-1 | gene_product=polypyrimidine tract binding protein, putative | transcript_product=polypyrimidine tract binding protein, putative | location=Pv_Sal1_chr11:1765303-1768296(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087055.1-p1      -            721 9510at5820           -            234   7.5e-06   24.0   0.0   1   1   9.9e-08   1.4e-05   23.1   0.0   130   199    11    81     3    92 0.88 | transcript=PVX_087055.1 | gene=PVX_087055 | organism=Plasmodium_vivax_Sal-1 | gene_product=mRNA processing protein, putative | transcript_product=mRNA processing protein, putative | location=Pv_Sal1_chr07:1270715-1272880(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115315.1-p1      -            452 9510at5820           -            234   3.4e-05   21.8   0.1   1   1   4.1e-07   5.8e-05   21.0   0.1     7    69    98   161    91   180 0.70 | transcript=PVX_115315.1 | gene=PVX_115315 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1 small nuclear ribonucleoprotein 70 kDa, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa, putative | location=Pv_Sal1_chr11:151867-153225(-) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086295.1-p1      -            661 9510at5820           -            234   6.1e-05   21.0   0.0   1   1     1e-06   0.00014   19.8   0.0   125   203   165   247   156   261 0.82 | transcript=PVX_086295.1 | gene=PVX_086295 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=Pv_Sal1_chr13:1987472-1990898(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122645.1-p1      -            880 9510at5820           -            234   6.7e-05   20.8   3.3   1   2   7.2e-07    0.0001   20.2   0.6    93   122   192   221   179   237 0.85 | transcript=PVX_122645.1 | gene=PVX_122645 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 40, putative | transcript_product=pre-mRNA-processing factor 40, putative | location=Pv_Sal1_chr14:746414-749056(+) | protein_length=880 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122645.1-p1      -            880 9510at5820           -            234   6.7e-05   20.8   3.3   2   2       1.3   1.9e+02   -0.2   0.2    90   121   231   262   223   265 0.88 | transcript=PVX_122645.1 | gene=PVX_122645 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 40, putative | transcript_product=pre-mRNA-processing factor 40, putative | location=Pv_Sal1_chr14:746414-749056(+) | protein_length=880 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113920.1-p1      -            153 9510at5820           -            234   7.1e-05   20.8   1.9   1   1   1.4e-06    0.0002   19.3   1.7   103   201    38   136    19   147 0.83 | transcript=PVX_113920.1 | gene=PVX_113920 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA and export factor binding protein, putative | transcript_product=RNA and export factor binding protein, putative | location=Pv_Sal1_chr11:1385500-1386942(-) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
