#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081792.1-p1      -           5031 25at5820             -           4225         0 8514.3 197.5   1   9   2.2e-30     2e-27   92.3   0.9     1    55     1    55     1    63 0.97 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 25at5820             -           4225  1.2e-276  919.5 223.5   6   9   2.1e-21     2e-18   62.4   0.8  2600  2743  3810  3955  3784  3972 0.89 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 25at5820             -           4225  1.2e-276  919.5 223.5   7   9   1.4e-72   1.2e-69  232.4  55.3  2748  3564  4038  4886  4024  4906 0.81 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 25at5820             -           4225  1.2e-276  919.5 223.5   8   9   1.2e-30   1.1e-27   93.2   9.0  3621  3972  5093  5438  5064  5454 0.82 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 25at5820             -           4225  1.2e-276  919.5 223.5   9   9   6.3e-07   0.00058   14.4   2.8  4018  4145  5614  5741  5594  5756 0.80 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 25at5820             -           4225  2.1e-273  908.7 160.9   1   8    0.0018       1.7    2.9  11.3  1179  1285  1450  1562  1330  1564 0.70 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 25at5820             -           4225  2.1e-273  908.7 160.9   2   8   6.7e-24   6.2e-21   70.7  14.2  1284  1527  1611  1857  1602  1863 0.92 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 25at5820             -           4225  2.1e-273  908.7 160.9   3   8   1.3e-91   1.2e-88  295.5   8.4  1587  1949  1990  2388  1928  2399 0.81 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 25at5820             -           4225  2.1e-273  908.7 160.9   4   8   1.6e-36   1.5e-33  112.6   1.0  1966  2136  2467  2642  2454  2693 0.87 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 25at5820             -           4225  2.1e-273  908.7 160.9   5   8   1.2e-05     0.011   10.2   5.4  2289  2523  2959  3189  2954  3243 0.77 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 25at5820             -           4225  2.1e-273  908.7 160.9   6   8   5.8e-89   5.3e-86  286.7  38.7  2594  3364  3336  4102  3315  4115 0.90 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 25at5820             -           4225  2.1e-273  908.7 160.9   7   8   7.4e-24   6.8e-21   70.6   5.2  3365  3527  4249  4413  4240  4420 0.91 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 25at5820             -           4225  2.1e-273  908.7 160.9   8   8     5e-33   4.6e-30  101.0  21.7  3626  4086  4620  5113  4512  5175 0.71 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091760.1-p1      -           5331 25at5820             -           4225  1.8e-219  729.7 180.7   1   8   1.3e-26   1.2e-23   79.7  42.8  1112  1532  1079  1523  1055  1536 0.85 | transcript=PVX_091760.1 | gene=PVX_091760 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr09:799004-815190(+) | protein_length=5331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091760.1-p1      -           5331 25at5820             -           4225  1.8e-219  729.7 180.7   2   8         6   5.5e+03   -9.7   5.0  1581  1672  1652  1741  1593  1757 0.46 | transcript=PVX_091760.1 | gene=PVX_091760 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr09:799004-815190(+) | protein_length=5331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091760.1-p1      -           5331 25at5820             -           4225  1.8e-219  729.7 180.7   3   8     1e-68   9.4e-66  219.5   1.1  1665  1943  1811  2092  1778  2102 0.93 | transcript=PVX_091760.1 | gene=PVX_091760 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr09:799004-815190(+) | protein_length=5331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091760.1-p1      -           5331 25at5820             -           4225  1.8e-219  729.7 180.7   4   8   3.8e-68   3.5e-65  217.6  28.9  1952  2815  2146  3036  2133  3048 0.76 | transcript=PVX_091760.1 | gene=PVX_091760 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr09:799004-815190(+) | protein_length=5331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091760.1-p1      -           5331 25at5820             -           4225  1.8e-219  729.7 180.7   5   8   4.8e-27   4.5e-24   81.2  24.6  2860  3246  3134  3536  3110  3556 0.80 | transcript=PVX_091760.1 | gene=PVX_091760 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr09:799004-815190(+) | protein_length=5331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091760.1-p1      -           5331 25at5820             -           4225  1.8e-219  729.7 180.7   6   8   2.8e-37   2.6e-34  115.1  17.6  3259  3528  3633  3906  3613  3914 0.94 | transcript=PVX_091760.1 | gene=PVX_091760 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr09:799004-815190(+) | protein_length=5331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091760.1-p1      -           5331 25at5820             -           4225  1.8e-219  729.7 180.7   7   8   4.8e-18   4.4e-15   51.3   0.4  3706  3912  4580  4781  4572  4788 0.83 | transcript=PVX_091760.1 | gene=PVX_091760 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr09:799004-815190(+) | protein_length=5331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091760.1-p1      -           5331 25at5820             -           4225  1.8e-219  729.7 180.7   8   8   3.4e-06    0.0032   11.9   7.3  3991  4143  5038  5194  5030  5215 0.78 | transcript=PVX_091760.1 | gene=PVX_091760 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr09:799004-815190(+) | protein_length=5331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 25at5820             -           4225  3.3e-114  380.3 289.1   1  10      0.32   2.9e+02   -4.5   5.1  3998  4100   389   494   360   542 0.67 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 25at5820             -           4225  3.3e-114  380.3 289.1   2  10   3.7e-17   3.4e-14   48.4  94.4   901  1588   576  1262   534  1273 0.78 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 25at5820             -           4225  3.3e-114  380.3 289.1   3  10   1.3e-30   1.2e-27   93.0   2.8  1605  1791  1378  1574  1337  1585 0.80 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 25at5820             -           4225  3.3e-114  380.3 289.1   4  10   4.6e-27   4.2e-24   81.2   3.0  1797  1946  1650  1810  1646  1818 0.86 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 25at5820             -           4225  3.3e-114  380.3 289.1   5  10   1.1e-25     1e-22   76.7  15.5  1957  2247  1980  2277  1963  2292 0.76 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 25at5820             -           4225  3.3e-114  380.3 289.1   6  10   5.3e-07   0.00048   14.7  19.7  2303  2775  2627  3138  2577  3175 0.64 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 25at5820             -           4225  3.3e-114  380.3 289.1   7  10   7.8e-31   7.2e-28   93.7  41.2  2838  3343  3266  3788  3260  3798 0.84 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 25at5820             -           4225  3.3e-114  380.3 289.1   8  10     0.011       9.8    0.4  11.2  3379  3566  4000  4196  3976  4253 0.66 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 25at5820             -           4225  3.3e-114  380.3 289.1   9  10   4.2e-06    0.0039   11.7   4.9  3625  3799  4470  4647  4435  4656 0.76 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 25at5820             -           4225  3.3e-114  380.3 289.1  10  10   2.3e-08   2.1e-05   19.1  20.3  3807  4137  4762  5087  4757  5103 0.74 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 25at5820             -           4225   3.3e-92  307.3 255.7   1  10         6   5.5e+03  -44.6  66.8   148   829   131   837    69   872 0.62 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 25at5820             -           4225   3.3e-92  307.3 255.7   2  10   4.5e-23   4.2e-20   68.0  41.4  1097  1528  1278  1713  1226  1724 0.80 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 25at5820             -           4225   3.3e-92  307.3 255.7   3  10   1.3e-20   1.2e-17   59.8   0.7  1667  1792  2269  2394  2248  2402 0.89 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 25at5820             -           4225   3.3e-92  307.3 255.7   4  10     1e-17   9.3e-15   50.2   8.2  1807  2010  2583  2798  2579  2819 0.86 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 25at5820             -           4225   3.3e-92  307.3 255.7   5  10   4.3e-18   3.9e-15   51.5  11.4  2012  2275  2954  3224  2935  3318 0.87 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 25at5820             -           4225   3.3e-92  307.3 255.7   6  10     0.013        12    0.1   2.5  2471  2576  3681  3795  3656  3806 0.70 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 25at5820             -           4225   3.3e-92  307.3 255.7   7  10   1.4e-36   1.3e-33  112.8  36.2  2850  3337  4503  4993  4493  5002 0.89 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 25at5820             -           4225   3.3e-92  307.3 255.7   8  10   5.5e-11     5e-08   27.9  14.6  3363  3528  5099  5265  5090  5327 0.89 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 25at5820             -           4225   3.3e-92  307.3 255.7   9  10    0.0028       2.6    2.3   0.7  3627  3753  5645  5769  5636  5774 0.81 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 25at5820             -           4225   3.3e-92  307.3 255.7  10  10   8.3e-12   7.6e-09   30.6   4.3  3753  3943  5878  6063  5869  6255 0.87 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/25at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/25at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/25at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:52 2026
# [ok]
