#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_003690.1-p1      -            191 12974at5820          -            164   1.7e-77  257.1  12.1   1   1   4.3e-80     2e-77  256.9  12.1    12   163    31   190    17   191 0.93 | transcript=PVX_003690.1 | gene=PVX_003690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:682408-683596(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092095.1-p1      -           1005 12974at5820          -            164   1.9e-15   55.3  42.0   1   4       3.9   1.8e+03   -3.1   0.7    11    50    56    97    47   135 0.58 | transcript=PVX_092095.1 | gene=PVX_092095 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr09:1087951-1090968(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092095.1-p1      -           1005 12974at5820          -            164   1.9e-15   55.3  42.0   2   4   4.4e-09     2e-06   25.9   4.8    16    90   170   246   160   250 0.87 | transcript=PVX_092095.1 | gene=PVX_092095 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr09:1087951-1090968(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092095.1-p1      -           1005 12974at5820          -            164   1.9e-15   55.3  42.0   3   4   9.2e-09   4.2e-06   24.9   6.1    47   104   249   305   244   316 0.85 | transcript=PVX_092095.1 | gene=PVX_092095 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr09:1087951-1090968(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092095.1-p1      -           1005 12974at5820          -            164   1.9e-15   55.3  42.0   4   4   2.3e-08   1.1e-05   23.6   6.6    45    96   317   369   311   376 0.85 | transcript=PVX_092095.1 | gene=PVX_092095 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr09:1087951-1090968(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117385.1-p1      -            326 12974at5820          -            164   6.9e-13   47.0  33.4   1   4   7.9e-09   3.6e-06   25.1   4.9    47   103    46   101    39   101 0.89 | transcript=PVX_117385.1 | gene=PVX_117385 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr12:1843903-1845413(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117385.1-p1      -            326 12974at5820          -            164   6.9e-13   47.0  33.4   2   4   4.3e-11     2e-08   32.5  10.9    23    97    66   142    66   145 0.89 | transcript=PVX_117385.1 | gene=PVX_117385 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr12:1843903-1845413(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117385.1-p1      -            326 12974at5820          -            164   6.9e-13   47.0  33.4   3   4    0.0032       1.5    6.9   5.5    41    73   178   210   148   211 0.71 | transcript=PVX_117385.1 | gene=PVX_117385 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr12:1843903-1845413(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117385.1-p1      -            326 12974at5820          -            164   6.9e-13   47.0  33.4   4   4   3.1e-05     0.014   13.4   1.0    25    61   209   247   207   259 0.67 | transcript=PVX_117385.1 | gene=PVX_117385 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr12:1843903-1845413(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080670.1-p1      -           1373 12974at5820          -            164   8.2e-11   40.2  47.8   1   5         3   1.4e+03   -2.8   0.3    86   107   211   232   197   253 0.75 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080670.1-p1      -           1373 12974at5820          -            164   8.2e-11   40.2  47.8   2   5         7   3.2e+03   -4.0   0.6    55    55   733   733   704   776 0.55 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080670.1-p1      -           1373 12974at5820          -            164   8.2e-11   40.2  47.8   3   5     9e-11   4.1e-08   31.4  15.3    22   138   824   944   803   946 0.82 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080670.1-p1      -           1373 12974at5820          -            164   8.2e-11   40.2  47.8   4   5   1.8e-07   8.1e-05   20.7   8.0    24   135   920  1030   915  1066 0.73 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080670.1-p1      -           1373 12974at5820          -            164   8.2e-11   40.2  47.8   5   5   3.2e-06    0.0015   16.6   1.8    45    89  1262  1306  1230  1357 0.71 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085845.1-p1      -            799 12974at5820          -            164   8.7e-11   40.1  15.1   1   2       3.3   1.5e+03   -2.9   0.2   114   128    36    50    20    54 0.54 | transcript=PVX_085845.1 | gene=PVX_085845 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1565957-1568737(+) | protein_length=799 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085845.1-p1      -            799 12974at5820          -            164   8.7e-11   40.1  15.1   2   2   1.9e-13   8.7e-11   40.1  15.1     7   127    72   196    66   231 0.80 | transcript=PVX_085845.1 | gene=PVX_085845 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1565957-1568737(+) | protein_length=799 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080510.1-p1      -           1381 12974at5820          -            164   2.4e-09   35.5  43.4   1   4   1.5e-06   0.00068   17.7   5.7    18    88    71   152    58   160 0.76 | transcript=PVX_080510.1 | gene=PVX_080510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:729800-733945(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080510.1-p1      -           1381 12974at5820          -            164   2.4e-09   35.5  43.4   2   4     0.032        15    3.6  14.2    28   105   136   220   136   230 0.78 | transcript=PVX_080510.1 | gene=PVX_080510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:729800-733945(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080510.1-p1      -           1381 12974at5820          -            164   2.4e-09   35.5  43.4   3   4    0.0044         2    6.5   0.7    71    91   265   285   252   299 0.88 | transcript=PVX_080510.1 | gene=PVX_080510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:729800-733945(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080510.1-p1      -           1381 12974at5820          -            164   2.4e-09   35.5  43.4   4   4   3.8e-08   1.8e-05   22.9   6.8    48   109   302   357   289   378 0.77 | transcript=PVX_080510.1 | gene=PVX_080510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:729800-733945(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085209.1-p1      -            148 12974at5820          -            164   8.7e-09   33.6   5.5   1   1   2.5e-11   1.1e-08   33.3   5.5    60   131    11    83     6   117 0.74 | transcript=PVX_085209.1 | gene=PVX_085209 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein-associated protein, putative | transcript_product=dynein-associated protein, putative | location=Pv_Sal1_chr13:1015550-1016492(+) | protein_length=148 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 12974at5820          -            164   7.6e-05   20.8  17.7   1   2   1.1e-06   0.00051   18.1   4.4    66   103    38    75    30    78 0.94 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 12974at5820          -            164   7.6e-05   20.8  17.7   2   2     0.003       1.4    7.0   5.5    59   132    78   149    74   174 0.72 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091015.1-p1      -           1333 12974at5820          -            164   0.00085   17.4   2.6   1   1   5.5e-06    0.0025   15.9   2.6    49   104    19    74     7    98 0.79 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 12974at5820          -            164    0.0043   15.1  11.0   1   2   0.00029      0.13   10.3   3.4    45    83    14    52     2    67 0.63 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 12974at5820          -            164    0.0043   15.1  11.0   2   2    0.0012      0.56    8.3   0.9     4    51    70   118    66   128 0.76 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12974at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12974at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12974at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:21 2026
# [ok]
