#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114512.1-p1      -           2588 352at5820            -           1432         0 2317.8 204.7   1   9   4.3e-18   1.4e-15   54.3   0.8     9    71    80   142    76   184 0.87 | transcript=PVX_114512.1 | gene=PVX_114512 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=Pv_Sal1_chr11:871533-879299(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093670.1-p1      -            721 352at5820            -           1432   9.9e-05   18.4   2.9   2   2   1.5e-05     0.005   12.7   0.1  1234  1281   557   604   546   610 0.83 | transcript=PVX_093670.1 | gene=PVX_093670 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr01:752530-755536(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 352at5820            -           1432   0.00014   17.8   0.0   1   2      0.16        51   -0.6   0.0   950  1017     4    66     1    90 0.70 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 352at5820            -           1432   0.00014   17.8   0.0   2   2   1.5e-06   0.00049   16.1   0.0  1236  1280   106   149    93   160 0.90 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096360.1-p1      -            310 352at5820            -           1432   0.00021   17.3   2.1   1   1   6.4e-07   0.00021   17.3   2.1  1199  1283    70   156    37   162 0.79 | transcript=PVX_096360.1 | gene=PVX_096360 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=Pv_Sal1_chr03:574983-576854(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113435.1-p1      -            354 352at5820            -           1432    0.0035   13.2   0.1   1   1   1.6e-05    0.0052   12.7   0.1  1238  1292   138   191   117   200 0.85 | transcript=PVX_113435.1 | gene=PVX_113435 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr11:1813663-1815198(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/352at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/352at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/352at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:17 2026
# [ok]
