#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089480.1-p1      -           1102 2670at5820           -            735         0 1413.5  91.5   1   5   1.1e-21   6.3e-19   66.0   7.1     1    56     1    68     1    71 0.84 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 2670at5820           -            735   1.3e-66  223.6  38.6   2   5   9.2e-05     0.051   10.1   0.1   541   584   611   655   607   663 0.84 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 2670at5820           -            735   1.3e-66  223.6  38.6   3   5   7.8e-30   4.3e-27   93.0   0.2   614   716   664   768   659   788 0.93 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 2670at5820           -            735   1.3e-66  223.6  38.6   4   5      0.49   2.7e+02   -2.3   0.0   282   313   781   812   768   836 0.74 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 2670at5820           -            735   1.3e-66  223.6  38.6   5   5         5   2.7e+03   -5.6   7.3    32    81   906   955   901  1002 0.64 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114340.1-p1      -           2946 2670at5820           -            735   2.1e-55  186.5   3.3   1   5   8.7e-34   4.8e-31  106.0   0.0   108   314   345   542   287   550 0.85 | transcript=PVX_114340.1 | gene=PVX_114340 | organism=Plasmodium_vivax_Sal-1 | gene_product=SNF2 family N-terminal domain containing protein | transcript_product=SNF2 family N-terminal domain containing protein | location=Pv_Sal1_chr11:1040472-1049312(-) | protein_length=2946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114340.1-p1      -           2946 2670at5820           -            735   2.1e-55  186.5   3.3   2   5        10   5.5e+03  -18.6  14.8   419   454   971  1005   955  1012 0.56 | transcript=PVX_114340.1 | gene=PVX_114340 | organism=Plasmodium_vivax_Sal-1 | gene_product=SNF2 family N-terminal domain containing protein | transcript_product=SNF2 family N-terminal domain containing protein | location=Pv_Sal1_chr11:1040472-1049312(-) | protein_length=2946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114340.1-p1      -           2946 2670at5820           -            735   2.1e-55  186.5   3.3   3   5   2.3e-29   1.3e-26   91.4   1.0   614   717  1244  1349  1212  1361 0.93 | transcript=PVX_114340.1 | gene=PVX_114340 | organism=Plasmodium_vivax_Sal-1 | gene_product=SNF2 family N-terminal domain containing protein | transcript_product=SNF2 family N-terminal domain containing protein | location=Pv_Sal1_chr11:1040472-1049312(-) | protein_length=2946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114340.1-p1      -           2946 2670at5820           -            735   2.1e-55  186.5   3.3   4   5       9.2   5.1e+03   -6.5   5.9    23    87  2173  2237  2161  2242 0.55 | transcript=PVX_114340.1 | gene=PVX_114340 | organism=Plasmodium_vivax_Sal-1 | gene_product=SNF2 family N-terminal domain containing protein | transcript_product=SNF2 family N-terminal domain containing protein | location=Pv_Sal1_chr11:1040472-1049312(-) | protein_length=2946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114340.1-p1      -           2946 2670at5820           -            735   2.1e-55  186.5   3.3   5   5        10   5.5e+03   -7.7   6.9    32    98  2351  2414  2326  2441 0.69 | transcript=PVX_114340.1 | gene=PVX_114340 | organism=Plasmodium_vivax_Sal-1 | gene_product=SNF2 family N-terminal domain containing protein | transcript_product=SNF2 family N-terminal domain containing protein | location=Pv_Sal1_chr11:1040472-1049312(-) | protein_length=2946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 2670at5820           -            735   1.4e-50  170.6  10.7   1   4   1.5e-36   8.6e-34  115.1   3.2   114   417   693   998   686  1011 0.82 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 2670at5820           -            735   1.4e-50  170.6  10.7   2   4    0.0078       4.3    3.7   0.2   536   585  1004  1053   991  1059 0.87 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 2670at5820           -            735   1.4e-50  170.6  10.7   3   4      0.27   1.5e+02   -1.4   0.0   614   636  1061  1083  1057  1087 0.90 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 2670at5820           -            735   1.4e-50  170.6  10.7   4   4   4.9e-18   2.7e-15   53.9   0.0   636   715  1118  1198  1111  1207 0.93 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 2670at5820           -            735   1.9e-50  170.2  16.3   1   5       2.1   1.2e+03   -4.4   6.4    29    63  1006  1040   990  1049 0.81 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 2670at5820           -            735   1.9e-50  170.2  16.3   2   5       1.9   1.1e+03   -4.2   0.5     9    39  1090  1120  1086  1125 0.78 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 2670at5820           -            735   1.9e-50  170.2  16.3   3   5   2.1e-31   1.1e-28   98.2   6.7   112   389  1375  1643  1333  1672 0.85 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 2670at5820           -            735   1.9e-50  170.2  16.3   4   5   1.9e-28     1e-25   88.4   2.0   615   715  1738  1840  1678  1851 0.86 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 2670at5820           -            735   1.9e-50  170.2  16.3   5   5        10   5.5e+03  -14.0  10.3    31    41  2970  2980  2963  3021 0.44 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093575.1-p1      -           1064 2670at5820           -            735   1.6e-45  153.9  17.8   1   3   1.3e-24   7.4e-22   75.6   8.8   112   395   125   412    92   440 0.78 | transcript=PVX_093575.1 | gene=PVX_093575 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD54, putative | transcript_product=DNA repair protein RAD54, putative | location=Pv_Sal1_chr01:653698-656892(-) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093575.1-p1      -           1064 2670at5820           -            735   1.6e-45  153.9  17.8   2   3   8.6e-30   4.7e-27   92.8   1.5   606   726   563   684   518   693 0.86 | transcript=PVX_093575.1 | gene=PVX_093575 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD54, putative | transcript_product=DNA repair protein RAD54, putative | location=Pv_Sal1_chr01:653698-656892(-) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093575.1-p1      -           1064 2670at5820           -            735   1.6e-45  153.9  17.8   3   3        10   5.5e+03  -23.0  20.7   420   437   848   865   832   885 0.38 | transcript=PVX_093575.1 | gene=PVX_093575 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD54, putative | transcript_product=DNA repair protein RAD54, putative | location=Pv_Sal1_chr01:653698-656892(-) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 2670at5820           -            735   6.7e-31  105.5  15.1   1   4   1.6e-07   8.7e-05   19.2   0.0   112   152   224   265   204   278 0.80 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 2670at5820           -            735   6.7e-31  105.5  15.1   2   4    0.0075       4.2    3.7   0.2   158   205   366   413   362   444 0.73 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 2670at5820           -            735   6.7e-31  105.5  15.1   3   4   2.7e-06    0.0015   15.1   0.1   234   295   958  1018   953  1039 0.89 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 2670at5820           -            735   6.7e-31  105.5  15.1   4   4   2.4e-21   1.3e-18   64.9   3.9   541   726  1410  1577  1393  1584 0.84 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114850.1-p1      -            877 2670at5820           -            735   9.2e-30  101.8  11.9   1   2   4.3e-14   2.4e-11   40.9   5.5   112   367   313   540   257   569 0.79 | transcript=PVX_114850.1 | gene=PVX_114850 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr11:576114-578747(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114850.1-p1      -            877 2670at5820           -            735   9.2e-30  101.8  11.9   2   2     3e-21   1.7e-18   64.6   0.4   611   725   656   773   617   780 0.91 | transcript=PVX_114850.1 | gene=PVX_114850 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr11:576114-578747(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 2670at5820           -            735   2.8e-22   77.0  32.0   1   5       2.2   1.2e+03   -4.4   6.8     9    95   155   245   151   265 0.69 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 2670at5820           -            735   2.8e-22   77.0  32.0   2   5     0.098        54    0.0   0.1    97   127   448   479   420   490 0.72 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 2670at5820           -            735   2.8e-22   77.0  32.0   3   5   0.00022      0.12    8.8   0.2   133   154   723   744   690   830 0.83 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 2670at5820           -            735   2.8e-22   77.0  32.0   4   5   8.7e-06    0.0048   13.4   1.4   245   300   966  1020   960  1122 0.65 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 2670at5820           -            735   2.8e-22   77.0  32.0   5   5   2.5e-22   1.4e-19   68.1   0.8   536   713  1309  1490  1273  1507 0.78 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2670at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2670at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2670at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:13 2026
# [ok]
