#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092620.1-p1      -           1716 656at5820            -           1340         0 2351.3 122.0   1   4  4.4e-208  4.1e-205  682.5  40.2     1   401     1   475     1   499 0.83 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083030.1-p1      -            817 656at5820            -           1340   5.6e-65  218.2  19.2   3   3   5.8e-29   5.3e-26   89.0  15.2   408   888   333   769   327   814 0.81 | transcript=PVX_083030.1 | gene=PVX_083030 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=Pv_Sal1_chr12:502044-504785(-) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097755.1-p1      -            800 656at5820            -           1340   9.4e-60  200.9  65.1   1   3   6.7e-18   6.1e-15   52.4   5.5    87   222    69   198    50   208 0.75 | transcript=PVX_097755.1 | gene=PVX_097755 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=Pv_Sal1_chr10:1190129-1193892(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097755.1-p1      -            800 656at5820            -           1340   9.4e-60  200.9  65.1   2   3   4.4e-25     4e-22   76.2   4.9   266   368   201   305   196   329 0.88 | transcript=PVX_097755.1 | gene=PVX_097755 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=Pv_Sal1_chr10:1190129-1193892(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097755.1-p1      -            800 656at5820            -           1340   9.4e-60  200.9  65.1   3   3   2.4e-26   2.2e-23   80.4  40.1   423   912   331   772   314   778 0.78 | transcript=PVX_097755.1 | gene=PVX_097755 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=Pv_Sal1_chr10:1190129-1193892(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124120.1-p1      -           1894 656at5820            -           1340   3.2e-48  162.6  23.8   1   2   1.4e-28   1.3e-25   87.8   1.1    97   377   101   381    52   412 0.75 | transcript=PVX_124120.1 | gene=PVX_124120 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin D, putative | transcript_product=myosin D, putative | location=Pv_Sal1_chr14:2069276-2075657(-) | protein_length=1894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124120.1-p1      -           1894 656at5820            -           1340   3.2e-48  162.6  23.8   2   2   7.4e-26   6.8e-23   78.7  15.7   505   996   503  1007   488  1019 0.76 | transcript=PVX_124120.1 | gene=PVX_124120 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin D, putative | transcript_product=myosin D, putative | location=Pv_Sal1_chr14:2069276-2075657(-) | protein_length=1894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 656at5820            -           1340   1.9e-22   77.3  32.6   1   4   7.4e-21   6.8e-18   62.2   7.1    65   327    44   341    34   349 0.72 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 656at5820            -           1340   1.9e-22   77.3  32.6   2   4       1.1   1.1e+03   -4.7   4.9   229   281   453   503   435   544 0.55 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 656at5820            -           1340   1.9e-22   77.3  32.6   3   4   1.7e-11   1.6e-08   31.2  17.5   409   794   527   942   472   967 0.68 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 656at5820            -           1340   1.9e-22   77.3  32.6   4   4         6   5.5e+03   -7.1   6.0  1226  1313  1811  1896  1682  1918 0.49 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/656at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/656at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/656at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:32 2026
# [ok]
