#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083400.1-p1      -            585 5251at5820           -            481  2.2e-301  997.6   2.4   1   1  4.6e-304  3.7e-301  996.8   2.4     6   481    69   583    64   583 0.94 | transcript=PVX_083400.1 | gene=PVX_083400 | organism=Plasmodium_vivax_Sal-1 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=Pv_Sal1_chr12:150172-152234(+) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080525.1-p1      -           1047 5251at5820           -            481   7.1e-05   19.8   0.1   1   3    0.0021       1.7    5.4   0.0   165   209   418   462   412   469 0.90 | transcript=PVX_080525.1 | gene=PVX_080525 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr10:741383-744526(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080525.1-p1      -           1047 5251at5820           -            481   7.1e-05   19.8   0.1   2   3   8.9e-05      0.07    9.9   0.1   222   287   564   631   559   640 0.79 | transcript=PVX_080525.1 | gene=PVX_080525 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr10:741383-744526(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080525.1-p1      -           1047 5251at5820           -            481   7.1e-05   19.8   0.1   3   3     0.086        68    0.0   0.0   433   471  1002  1041   980  1046 0.74 | transcript=PVX_080525.1 | gene=PVX_080525 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr10:741383-744526(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113350.1-p1      -            495 5251at5820           -            481   0.00095   16.0   0.5   1   2   1.1e-05    0.0086   12.9   0.1   239   314   134   209   106   214 0.90 | transcript=PVX_113350.1 | gene=PVX_113350 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=Pv_Sal1_chr11:1888197-1889684(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113350.1-p1      -            495 5251at5820           -            481   0.00095   16.0   0.5   2   2     0.047        37    0.9   0.0    17    64   377   424   374   439 0.79 | transcript=PVX_113350.1 | gene=PVX_113350 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=Pv_Sal1_chr11:1888197-1889684(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5251at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5251at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5251at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:58 2026
# [ok]
