#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_124195.1-p1      -            213 10977at5820          -            198  2.2e-141  466.3   0.8   1   1  8.2e-144  2.5e-141  466.2   0.8     1   198     1   198     1   198 1.00 | transcript=PVX_124195.1 | gene=PVX_124195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=Pv_Sal1_chr14:2125168-2126631(+) | protein_length=213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002970.1-p1      -            245 10977at5820          -            198   2.6e-34  116.8   2.0   2   2   1.4e-29   4.2e-27   93.3   1.1    55   177   101   221    87   235 0.93 | transcript=PVX_002970.1 | gene=PVX_002970 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=Pv_Sal1_chr04:423494-424231(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091515.1-p1      -            214 10977at5820          -            198     2e-24   84.5   0.0   1   1   8.3e-27   2.5e-24   84.2   0.0     4   168     4   168     1   175 0.92 | transcript=PVX_091515.1 | gene=PVX_091515 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=Pv_Sal1_chr09:580205-581025(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083300.1-p1      -            224 10977at5820          -            198   4.4e-08   31.2   0.2   1   1   2.3e-10   7.1e-08   30.5   0.2    79   179   110   215    95   221 0.81 | transcript=PVX_083300.1 | gene=PVX_083300 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr12:233641-235773(-) | protein_length=224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001905.1-p1      -            181 10977at5820          -            198     8e-08   30.4   0.0   1   1   2.8e-10   8.7e-08   30.3   0.0    46   133    51   139    18   171 0.85 | transcript=PVX_001905.1 | gene=PVX_001905 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=Pv_Sal1_chr06:240794-242171(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110990.1-p1      -            178 10977at5820          -            198   3.8e-06   24.9   0.1   1   1   1.3e-08     4e-06   24.8   0.1    47    97    52   102    18   176 0.73 | transcript=PVX_110990.1 | gene=PVX_110990 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor-like protein, putative | transcript_product=ADP-ribosylation factor-like protein, putative | location=Pv_Sal1_chr06:800482-801018(+) | protein_length=178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113975.1-p1      -            452 10977at5820          -            198   8.9e-06   23.7   0.5   1   3     0.024       7.3    4.4   0.0     9    31     5    26     2    35 0.81 | transcript=PVX_113975.1 | gene=PVX_113975 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=Pv_Sal1_chr11:1349292-1350650(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113975.1-p1      -            452 10977at5820          -            198   8.9e-06   23.7   0.5   2   3       0.6   1.8e+02   -0.2   0.1   130   172    45    87    33    95 0.68 | transcript=PVX_113975.1 | gene=PVX_113975 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=Pv_Sal1_chr11:1349292-1350650(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113975.1-p1      -            452 10977at5820          -            198   8.9e-06   23.7   0.5   3   3   9.7e-06     0.003   15.4   0.0    53   111   153   211   138   222 0.87 | transcript=PVX_113975.1 | gene=PVX_113975 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=Pv_Sal1_chr11:1349292-1350650(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118390.1-p1      -            185 10977at5820          -            198   6.4e-05   20.9   0.1   1   1   2.3e-07   7.1e-05   20.8   0.1    30   126    34   131    13   180 0.74 | transcript=PVX_118390.1 | gene=PVX_118390 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation-like factor, putative | transcript_product=ADP-ribosylation-like factor, putative | location=Pv_Sal1_chr12:2675674-2676493(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089930.1-p1      -            191 10977at5820          -            198     0.001   16.9   0.0   1   1   4.5e-06    0.0014   16.5   0.0    19   124    32   133    20   158 0.74 | transcript=PVX_089930.1 | gene=PVX_089930 | organism=Plasmodium_vivax_Sal-1 | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=Pv_Sal1_chr05:946227-947218(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10977at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10977at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10977at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:01 2026
# [ok]
