#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_003905.1-p1      -           2748 179at5820            -           2330         0 3442.0 112.0   1   3         0         0 1443.2  47.6    72  1058   177  1301   155  1313 0.89 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 179at5820            -           2330   1.7e-66  222.4 109.9   9  10    0.0018      0.69    4.8  13.4   141   265  1931  2058  1795  2059 0.59 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 179at5820            -           2330   1.7e-66  222.4 109.9  10  10   7.6e-17     3e-14   49.1   7.0  2159  2313  2027  2187  2023  2190 0.80 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113775.1-p1      -            362 179at5820            -           2330   3.8e-18   62.0  14.7   1   2   4.7e-07   0.00019   16.6   6.3  1923  2047    26   168    16   180 0.63 | transcript=PVX_113775.1 | gene=PVX_113775 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1516825-1517913(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113775.1-p1      -            362 179at5820            -           2330   3.8e-18   62.0  14.7   2   2   2.6e-17     1e-14   50.7   1.5  1264  1384   181   306   169   324 0.82 | transcript=PVX_113775.1 | gene=PVX_113775 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1516825-1517913(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113780.1-p1      -            431 179at5820            -           2330   9.7e-16   54.0   0.6   1   3   1.5e-05    0.0058   11.7   0.0   650   701   109   165    95   170 0.80 | transcript=PVX_113780.1 | gene=PVX_113780 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1514325-1515620(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113780.1-p1      -            431 179at5820            -           2330   9.7e-16   54.0   0.6   2   3   5.1e-07    0.0002   16.5   0.0   832   890   166   223   160   232 0.75 | transcript=PVX_113780.1 | gene=PVX_113780 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1514325-1515620(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113780.1-p1      -            431 179at5820            -           2330   9.7e-16   54.0   0.6   3   3   3.9e-09   1.5e-06   23.5   0.1  1571  2249   301   342   284   394 0.45 | transcript=PVX_113780.1 | gene=PVX_113780 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1514325-1515620(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000995.1-p1      -            384 179at5820            -           2330   4.5e-13   45.2   2.8   1   3   3.8e-06    0.0015   13.6   3.6   885   977    26   117    19   136 0.76 | transcript=PVX_000995.1 | gene=PVX_000995 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:127982-129136(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000995.1-p1      -            384 179at5820            -           2330   4.5e-13   45.2   2.8   2   3       6.6   2.6e+03   -7.1  13.6    26   116   149   234   121   234 0.37 | transcript=PVX_000995.1 | gene=PVX_000995 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:127982-129136(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000995.1-p1      -            384 179at5820            -           2330   4.5e-13   45.2   2.8   3   3   1.1e-15   4.5e-13   45.2   2.8   607   717   233   355   231   374 0.79 | transcript=PVX_000995.1 | gene=PVX_000995 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:127982-129136(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001020.1-p1      -            487 179at5820            -           2330     3e-12   42.5   4.2   1   2   7.5e-15     3e-12   42.5   4.2   610   687   147   230   120   243 0.82 | transcript=PVX_001020.1 | gene=PVX_001020 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:96591-98054(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001020.1-p1      -            487 179at5820            -           2330     3e-12   42.5   4.2   2   2     0.034        14    0.5   0.1  2006  2037   251   281   238   305 0.64 | transcript=PVX_001020.1 | gene=PVX_001020 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:96591-98054(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097960.1-p1      -            355 179at5820            -           2330   1.7e-09   33.3   9.5   1   1   7.9e-12   3.1e-09   32.5   9.5  1210  1398    93   302    50   323 0.67 | transcript=PVX_097960.1 | gene=PVX_097960 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr10:1020695-1021762(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089765.1-p1      -            428 179at5820            -           2330     0.088    7.7  11.0   1   1   0.00026       0.1    7.5  11.0    63   107   121   165    64   220 0.72 | transcript=PVX_089765.1 | gene=PVX_089765 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAD protein (Pv-fam-e) | transcript_product=RAD protein (Pv-fam-e) | location=Pv_Sal1_chr05:815232-816708(-) | protein_length=428 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002925.1-p1      -           1601 179at5820            -           2330      0.15    7.0   4.7   1   1   0.00054      0.21    6.5   4.7    54   118  1294  1358  1220  1368 0.55 | transcript=PVX_002925.1 | gene=PVX_002925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:388458-393263(-) | protein_length=1601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084975.1-p1      -            769 179at5820            -           2330      0.18    6.7   9.6   1   1   0.00059      0.23    6.3   9.6    55   120   188   253    66   300 0.51 | transcript=PVX_084975.1 | gene=PVX_084975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:819031-821502(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118665.1-p1      -            255 179at5820            -           2330      0.41    5.5  11.3   1   1    0.0013       0.5    5.2  11.3    19   116   115   224    94   250 0.27 | transcript=PVX_118665.1 | gene=PVX_118665 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2958519-2959393(+) | protein_length=255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098023.1-p1      -            143 179at5820            -           2330       0.7    4.7  10.7   1   1    0.0019      0.75    4.7  10.7    47   115    57   126    17   137 0.38 | transcript=PVX_098023.1 | gene=PVX_098023 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:962975-963665(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089940.1-p1      -            311 179at5820            -           2330       4.3    2.1  14.8   1   2    0.0018      0.69    4.8   9.1    55   121    81   147    28   177 0.51 | transcript=PVX_089940.1 | gene=PVX_089940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:957535-958596(+) | protein_length=311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089940.1-p1      -            311 179at5820            -           2330       4.3    2.1  14.8   2   2     0.027        11    0.8   0.3  1326  1384   243   301   201   308 0.81 | transcript=PVX_089940.1 | gene=PVX_089940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:957535-958596(+) | protein_length=311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099530.1-p1      -           1015 179at5820            -           2330       4.5    2.1  10.2   1   1     0.017       6.6    1.5  10.2    71    99   490   518   446   529 0.54 | transcript=PVX_099530.1 | gene=PVX_099530 | organism=Plasmodium_vivax_Sal-1 | gene_product=para-aminobenzoic acid synthetase, putative | transcript_product=para-aminobenzoic acid synthetase, putative | location=Pv_Sal1_chr07:848808-852326(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/179at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/179at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/179at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:43 2026
# [ok]
