#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091015.1-p1      -           1333 2411at5820           -            715         0 1064.9  43.3   1   6   1.7e-42   5.6e-40  135.6   0.7     1   101     1   107     1   121 0.93 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117385.1-p1      -            326 2411at5820           -            715     9e-09   32.4  21.6   3   3       0.1        34    0.8   6.8    16    60   186   232   171   271 0.75 | transcript=PVX_117385.1 | gene=PVX_117385 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr12:1843903-1845413(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079950.1-p1      -            288 2411at5820           -            715   1.4e-08   31.8   1.8   1   2   1.8e-06    0.0006   16.5   0.4   474   532   102   163    90   172 0.81 | transcript=PVX_079950.1 | gene=PVX_079950 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr10:235807-238034(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079950.1-p1      -            288 2411at5820           -            715   1.4e-08   31.8   1.8   2   2   6.2e-06     0.002   14.7   0.0   605   690   178   264   165   272 0.75 | transcript=PVX_079950.1 | gene=PVX_079950 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr10:235807-238034(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 2411at5820           -            715   7.9e-07   26.0  49.3   1   7   5.7e-05     0.019   11.5   4.6    14    65    10    60     3    76 0.79 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 2411at5820           -            715   7.9e-07   26.0  49.3   2   7    0.0037       1.2    5.5   2.6    17    56    59    97    50   108 0.84 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 2411at5820           -            715   7.9e-07   26.0  49.3   3   7   0.00044      0.14    8.6   1.4    24    55   111   142    98   154 0.84 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 2411at5820           -            715   7.9e-07   26.0  49.3   4   7    0.0063         2    4.8   4.4    24    60   162   198   143   205 0.81 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 2411at5820           -            715   7.9e-07   26.0  49.3   5   7    0.0003     0.098    9.2   3.6    15    71   200   255   195   258 0.86 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 2411at5820           -            715   7.9e-07   26.0  49.3   6   7   2.3e-05    0.0074   12.9   1.9    15    64   246   294   239   300 0.88 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 2411at5820           -            715   7.9e-07   26.0  49.3   7   7     0.072        24    1.3   0.4    16    58   293   337   288   355 0.73 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096360.1-p1      -            310 2411at5820           -            715   8.7e-06   22.5   7.0   1   2   1.8e-06    0.0006   16.5   2.8   470   537    89   160    43   167 0.76 | transcript=PVX_096360.1 | gene=PVX_096360 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=Pv_Sal1_chr03:574983-576854(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096360.1-p1      -            310 2411at5820           -            715   8.7e-06   22.5   7.0   2   2   0.00048      0.16    8.5   0.1   604   691   169   256   160   271 0.81 | transcript=PVX_096360.1 | gene=PVX_096360 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=Pv_Sal1_chr03:574983-576854(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092095.1-p1      -           1005 2411at5820           -            715     7e-05   19.6  21.8   1   3   0.00051      0.16    8.4   0.2    16    65   158   207   151   215 0.91 | transcript=PVX_092095.1 | gene=PVX_092095 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr09:1087951-1090968(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092095.1-p1      -           1005 2411at5820           -            715     7e-05   19.6  21.8   2   3   0.00085      0.28    7.7   5.9    20    98   231   312   213   317 0.83 | transcript=PVX_092095.1 | gene=PVX_092095 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr09:1087951-1090968(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092095.1-p1      -           1005 2411at5820           -            715     7e-05   19.6  21.8   3   3   4.2e-05     0.014   12.0   3.1    14    59   318   363   310   375 0.85 | transcript=PVX_092095.1 | gene=PVX_092095 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr09:1087951-1090968(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003590.1-p1      -           2125 2411at5820           -            715   9.6e-05   19.1   0.6   1   2   7.4e-05     0.024   11.2   0.1   469   532  1783  1852  1775  1860 0.78 | transcript=PVX_003590.1 | gene=PVX_003590 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-specific protein kinase, putative | transcript_product=serine/threonine-specific protein kinase, putative | location=Pv_Sal1_chr04:748723-755100(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003590.1-p1      -           2125 2411at5820           -            715   9.6e-05   19.1   0.6   2   2    0.0026      0.83    6.1   0.1   603   642  1864  1902  1856  1955 0.68 | transcript=PVX_003590.1 | gene=PVX_003590 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-specific protein kinase, putative | transcript_product=serine/threonine-specific protein kinase, putative | location=Pv_Sal1_chr04:748723-755100(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080670.1-p1      -           1373 2411at5820           -            715   0.00024   17.8  30.5   1   4     0.044        14    2.0   0.1   426   464   161   196   149   211 0.70 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080670.1-p1      -           1373 2411at5820           -            715   0.00024   17.8  30.5   2   4   0.00054      0.18    8.3   9.4    13   100   853   941   846   945 0.81 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080670.1-p1      -           1373 2411at5820           -            715   0.00024   17.8  30.5   3   4   1.4e-05    0.0047   13.5   2.5    17    55   948   985   943   997 0.88 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080670.1-p1      -           1373 2411at5820           -            715   0.00024   17.8  30.5   4   4    0.0077       2.5    4.5   0.9    25    78  1274  1329  1255  1339 0.75 | transcript=PVX_080670.1 | gene=PVX_080670 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:872999-877314(+) | protein_length=1373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093670.1-p1      -            721 2411at5820           -            715   0.00078   16.1   3.3   1   3      0.02       6.5    3.1   0.3   361   399   506   544   471   554 0.82 | transcript=PVX_093670.1 | gene=PVX_093670 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr01:752530-755536(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093670.1-p1      -            721 2411at5820           -            715   0.00078   16.1   3.3   2   3    0.0021      0.69    6.4   0.0   507   528   579   600   556   606 0.84 | transcript=PVX_093670.1 | gene=PVX_093670 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr01:752530-755536(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093670.1-p1      -            721 2411at5820           -            715   0.00078   16.1   3.3   3   3    0.0053       1.7    5.0   0.0   606   699   622   717   618   720 0.81 | transcript=PVX_093670.1 | gene=PVX_093670 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr01:752530-755536(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003690.1-p1      -            191 2411at5820           -            715    0.0012   15.5   3.1   1   2     0.043        14    2.0   0.6    24    60    31    67    19    74 0.82 | transcript=PVX_003690.1 | gene=PVX_003690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:682408-683596(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003690.1-p1      -            191 2411at5820           -            715    0.0012   15.5   3.1   2   2   3.6e-06    0.0012   15.5   3.1    17    64    71   117    62   145 0.85 | transcript=PVX_003690.1 | gene=PVX_003690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:682408-683596(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113435.1-p1      -            354 2411at5820           -            715    0.0018   14.9   3.3   1   3      0.02       6.5    3.1   0.6   363   399    86   122    74   132 0.89 | transcript=PVX_113435.1 | gene=PVX_113435 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr11:1813663-1815198(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113435.1-p1      -            354 2411at5820           -            715    0.0018   14.9   3.3   2   3   0.00024     0.078    9.5   0.1   464   529   118   177   117   181 0.70 | transcript=PVX_113435.1 | gene=PVX_113435 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr11:1813663-1815198(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113435.1-p1      -            354 2411at5820           -            715    0.0018   14.9   3.3   3   3     0.035        11    2.3   0.0   604   690   198   302   181   314 0.60 | transcript=PVX_113435.1 | gene=PVX_113435 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr11:1813663-1815198(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 2411at5820           -            715    0.0077   12.8   1.6   1   3      0.18        59   -0.0   0.1   336   390    43   103    34   107 0.67 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 2411at5820           -            715    0.0077   12.8   1.6   2   3   0.00048      0.15    8.5   0.4   456   529    91   165    77   176 0.71 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 2411at5820           -            715    0.0077   12.8   1.6   3   3      0.03       9.9    2.5   0.0   599   634   183   218   172   279 0.87 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 2411at5820           -            715     0.019   11.5   0.2   1   3      0.82   2.7e+02   -2.2   0.0   361   390    54    83    50    95 0.82 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 2411at5820           -            715     0.019   11.5   0.2   2   3    0.0073       2.4    4.6   0.0   507   529   125   147   106   150 0.83 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 2411at5820           -            715     0.019   11.5   0.2   3   3    0.0093         3    4.2   0.0   600   635   161   196   151   201 0.83 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 2411at5820           -            715     0.076    9.5  16.3   1   5     0.021       6.9    3.0   1.2    31    62    35    66    10    79 0.81 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 2411at5820           -            715     0.076    9.5  16.3   2   5     0.039        13    2.2   3.2    18    93    93   166    74   187 0.85 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 2411at5820           -            715     0.076    9.5  16.3   3   5       1.4   4.5e+02   -3.0   0.1   115   179   528   590   523   600 0.75 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 2411at5820           -            715     0.076    9.5  16.3   4   5     0.028       9.1    2.6   0.0   343   395   816   870   811   876 0.83 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 2411at5820           -            715     0.076    9.5  16.3   5   5    0.0012       0.4    7.1   0.0   605   639  1064  1097  1058  1119 0.82 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
