#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123885.1-p1      -           1607 1050at5820           -           1053         0 1517.2  86.0   1   9     4e-26   4.4e-23   79.4   0.1    13    72    70   131    65   137 0.91 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117360.1-p1      -           1071 1050at5820           -           1053   4.1e-18   62.9  27.9   3   7   1.7e-06    0.0019   14.4   0.7   527   583   417   476   395   480 0.78 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117360.1-p1      -           1071 1050at5820           -           1053   4.1e-18   62.9  27.9   4   7   7.1e-06    0.0079   12.3   0.0   678   733   578   633   573   639 0.91 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117360.1-p1      -           1071 1050at5820           -           1053   4.1e-18   62.9  27.9   5   7   1.8e-05     0.019   11.0   0.1   766   853   702   802   671   808 0.73 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117360.1-p1      -           1071 1050at5820           -           1053   4.1e-18   62.9  27.9   6   7     0.033        36    0.2   0.0   860   889   845   874   839   922 0.73 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117360.1-p1      -           1071 1050at5820           -           1053   4.1e-18   62.9  27.9   7   7     0.076        85   -1.0   0.3   431   470   949   988   936  1002 0.79 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094445.1-p1      -            748 1050at5820           -           1053   3.8e-13   46.5  29.4   1   3   5.9e-07   0.00065   15.9   3.9   107   230   171   303   123   323 0.71 | transcript=PVX_094445.1 | gene=PVX_094445 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr08:256312-258558(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094445.1-p1      -            748 1050at5820           -           1053   3.8e-13   46.5  29.4   2   3   2.3e-05     0.025   10.6   0.9   531   609   326   405   313   409 0.72 | transcript=PVX_094445.1 | gene=PVX_094445 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr08:256312-258558(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094445.1-p1      -            748 1050at5820           -           1053   3.8e-13   46.5  29.4   3   3   2.2e-11   2.4e-08   30.6  10.5   686   886   512   715   503   719 0.72 | transcript=PVX_094445.1 | gene=PVX_094445 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr08:256312-258558(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 1050at5820           -           1053   2.3e-08   30.6   5.8   1   3   4.5e-08   4.9e-05   19.6   0.7   104   171   157   226   149   318 0.75 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 1050at5820           -           1053   2.3e-08   30.6   5.8   2   3     0.034        37    0.1   0.0   561   579   601   619   591   621 0.84 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 1050at5820           -           1053   2.3e-08   30.6   5.8   3   3     2e-05     0.022   10.9   0.1   712   754   914   956   910   980 0.86 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1050at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1050at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1050at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:32 2026
# [ok]
