#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095320.1-p1      -           2379 279at5820            -           1909         0 4107.3  82.6   1   5         0         0 1485.6   4.0     1   621     1   633     1   693 0.96 | transcript=PVX_095320.1 | gene=PVX_095320 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=Pv_Sal1_chr08:1000860-1007999(-) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098025.1-p1      -           2695 279at5820            -           1909  3.8e-141  470.3  21.1   2   6   5.7e-50     1e-46  157.1   0.5   317   584   552   828   527   832 0.84 | transcript=PVX_098025.1 | gene=PVX_098025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | transcript_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | location=Pv_Sal1_chr10:953437-961823(+) | protein_length=2695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098025.1-p1      -           2695 279at5820            -           1909  3.8e-141  470.3  21.1   3   6   1.1e-13     2e-10   36.9   0.0   591   726   910  1052   900  1066 0.79 | transcript=PVX_098025.1 | gene=PVX_098025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | transcript_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | location=Pv_Sal1_chr10:953437-961823(+) | protein_length=2695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098025.1-p1      -           2695 279at5820            -           1909  3.8e-141  470.3  21.1   4   6   1.8e-45   3.4e-42  142.2   0.2   795   929  1538  1673  1508  1695 0.90 | transcript=PVX_098025.1 | gene=PVX_098025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | transcript_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | location=Pv_Sal1_chr10:953437-961823(+) | protein_length=2695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098025.1-p1      -           2695 279at5820            -           1909  3.8e-141  470.3  21.1   5   6   4.8e-21   8.9e-18   61.2   0.0  1132  1196  1796  1858  1784  1904 0.86 | transcript=PVX_098025.1 | gene=PVX_098025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | transcript_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | location=Pv_Sal1_chr10:953437-961823(+) | protein_length=2695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098025.1-p1      -           2695 279at5820            -           1909  3.8e-141  470.3  21.1   6   6   1.1e-18   2.1e-15   53.4   0.4  1419  1561  2546  2689  2524  2693 0.91 | transcript=PVX_098025.1 | gene=PVX_098025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | transcript_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | location=Pv_Sal1_chr10:953437-961823(+) | protein_length=2695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/279at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/279at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/279at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:50 2026
# [ok]
