#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111390.1-p1      -            629 6323at5820           -            422  9.5e-199  658.8   7.6   1   2   3.8e-10   6.6e-08   30.1   0.1     2    65    74   180    73   200 0.68 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 6323at5820           -            422   5.8e-14   50.1   5.1   3   4   5.3e-06   0.00091   16.5   0.0   291   394   249   354   239   372 0.86 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 6323at5820           -            422   5.8e-14   50.1   5.1   4   4         6     1e+03   -3.5   0.1   312   332   607   627   605   653 0.77 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 6323at5820           -            422   4.4e-13   47.2  11.1   1   2   2.1e-11   3.6e-09   34.3   2.2   296   410    28   148    18   163 0.79 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 6323at5820           -            422   4.4e-13   47.2  11.1   2   2    0.0086       1.5    5.9   0.1   256   280   293   317   270   321 0.82 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 6323at5820           -            422   8.9e-13   46.2   0.4   1   3       2.8   4.8e+02   -2.4   7.6   141   173   146   178   120   188 0.67 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 6323at5820           -            422   8.9e-13   46.2   0.4   2   3     0.035         6    3.9   0.3   250   282   280   312   260   342 0.76 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 6323at5820           -            422   8.9e-13   46.2   0.4   3   3   5.1e-15   8.9e-13   46.2   0.4   188   307   343   469   321   476 0.85 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 6323at5820           -            422   7.3e-12   43.1  11.6   1   4     0.018         3    4.9   2.2   155   225   121   193    86   237 0.67 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 6323at5820           -            422   7.3e-12   43.1  11.6   2   4     0.006         1    6.4   0.0   364   403   244   283   226   293 0.84 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 6323at5820           -            422   7.3e-12   43.1  11.6   3   4   1.3e-10   2.3e-08   31.6   0.1   164   282   297   416   285   424 0.83 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 6323at5820           -            422   7.3e-12   43.1  11.6   4   4     0.026       4.4    4.3   0.0   224   278   444   497   430   498 0.86 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 6323at5820           -            422   9.3e-11   39.5  16.9   1   4    0.0048      0.82    6.7   0.1   243   283    78   118    70   146 0.85 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 6323at5820           -            422   9.3e-11   39.5  16.9   2   4       1.5   2.5e+02   -1.5   0.0   333   388   132   185   121   194 0.69 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 6323at5820           -            422   9.3e-11   39.5  16.9   3   4   2.6e-11   4.5e-09   34.0   9.5   194   330   198   351   169   357 0.74 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 6323at5820           -            422   9.3e-11   39.5  16.9   4   4      0.78   1.3e+02   -0.5   0.0   293   325   364   393   358   406 0.56 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089605.1-p1      -            458 6323at5820           -            422   2.4e-10   38.2   3.8   1   2      0.16        27    1.7   0.0   247   278   202   234   193   241 0.89 | transcript=PVX_089605.1 | gene=PVX_089605 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr05:693181-694557(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089605.1-p1      -            458 6323at5820           -            422   2.4e-10   38.2   3.8   2   2   1.2e-11     2e-09   35.1   4.2   132   280   231   401   211   415 0.75 | transcript=PVX_089605.1 | gene=PVX_089605 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr05:693181-694557(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 6323at5820           -            422   2.1e-08   31.8  28.5   1   3   1.2e-05     0.002   15.4   0.1   368   403   907   942   895   957 0.83 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 6323at5820           -            422   2.1e-08   31.8  28.5   2   3   9.2e-07   0.00016   19.0   6.5   247   358   953  1071   946  1081 0.78 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 6323at5820           -            422   2.1e-08   31.8  28.5   3   3   0.00044     0.076   10.2   1.5   170   280  1087  1206  1076  1208 0.72 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093580.1-p1      -            365 6323at5820           -            422     3e-08   31.3   0.3   1   1   3.9e-09   6.7e-07   26.8   0.3   246   403    12   174     7   183 0.84 | transcript=PVX_093580.1 | gene=PVX_093580 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=Pv_Sal1_chr01:657930-660056(-) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000590.1-p1      -            327 6323at5820           -            422   3.5e-08   31.0   4.0   1   3   0.00054     0.094    9.9   0.2   209   282     9    82     2    90 0.83 | transcript=PVX_000590.1 | gene=PVX_000590 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 2, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 2, putative | location=Pv_Sal1_chr03:448728-450117(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000590.1-p1      -            327 6323at5820           -            422   3.5e-08   31.0   4.0   2   3   8.2e-07   0.00014   19.1   0.9   160   229   126   205    95   223 0.72 | transcript=PVX_000590.1 | gene=PVX_000590 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 2, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 2, putative | location=Pv_Sal1_chr03:448728-450117(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000590.1-p1      -            327 6323at5820           -            422   3.5e-08   31.0   4.0   3   3      0.23        40    1.2   0.0   342   403   253   316   239   321 0.78 | transcript=PVX_000590.1 | gene=PVX_000590 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 2, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 2, putative | location=Pv_Sal1_chr03:448728-450117(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124175.1-p1      -            763 6323at5820           -            422   3.5e-08   31.0  16.0   1   2   1.8e-07   3.2e-05   21.3   6.3   208   315    10   131     5   171 0.78 | transcript=PVX_124175.1 | gene=PVX_124175 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=Pv_Sal1_chr14:2108558-2110849(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124175.1-p1      -            763 6323at5820           -            422   3.5e-08   31.0  16.0   2   2   1.4e-05    0.0024   15.1   2.1   262   344   193   292   189   304 0.70 | transcript=PVX_124175.1 | gene=PVX_124175 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=Pv_Sal1_chr14:2108558-2110849(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 6323at5820           -            422   3.9e-08   30.9   2.0   1   5     0.028       4.8    4.2   0.0   356   405   138   193   133   203 0.82 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 6323at5820           -            422   3.9e-08   30.9   2.0   2   5       1.7   2.9e+02   -1.6   0.0   348   403   314   370   305   391 0.76 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 6323at5820           -            422   3.9e-08   30.9   2.0   3   5      0.53        92   -0.0   0.1   389   405   423   439   361   455 0.72 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 6323at5820           -            422   3.9e-08   30.9   2.0   4   5      0.25        44    1.1   0.0   351   402   427   478   414   488 0.57 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 6323at5820           -            422   3.9e-08   30.9   2.0   5   5   1.7e-07   2.9e-05   21.4   0.1   300   404   533   643   522   653 0.77 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000785.1-p1      -            499 6323at5820           -            422   9.2e-08   29.7   5.0   1   3   7.6e-05     0.013   12.7   0.1   183   230    82   131    42   140 0.84 | transcript=PVX_000785.1 | gene=PVX_000785 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosomal processing protein, putative | transcript_product=ribosomal processing protein, putative | location=Pv_Sal1_chr03:310046-311545(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000785.1-p1      -            499 6323at5820           -            422   9.2e-08   29.7   5.0   2   3    0.0002     0.035   11.3   0.8   193   324   234   371   225   381 0.69 | transcript=PVX_000785.1 | gene=PVX_000785 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosomal processing protein, putative | transcript_product=ribosomal processing protein, putative | location=Pv_Sal1_chr03:310046-311545(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000785.1-p1      -            499 6323at5820           -            422   9.2e-08   29.7   5.0   3   3     0.014       2.4    5.2   0.0   376   403   381   408   371   425 0.80 | transcript=PVX_000785.1 | gene=PVX_000785 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosomal processing protein, putative | transcript_product=ribosomal processing protein, putative | location=Pv_Sal1_chr03:310046-311545(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081265.1-p1      -            447 6323at5820           -            422   1.9e-07   28.6   0.2   1   2   6.8e-09   1.2e-06   26.0   0.1   128   342   164   393   157   413 0.69 | transcript=PVX_081265.1 | gene=PVX_081265 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 protein WD40 domain, putative | transcript_product=chromatin assembly factor 1 protein WD40 domain, putative | location=Pv_Sal1_chr02:210496-211839(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081265.1-p1      -            447 6323at5820           -            422   1.9e-07   28.6   0.2   2   2      0.32        55    0.7   0.1   250   280   395   428   391   440 0.60 | transcript=PVX_081265.1 | gene=PVX_081265 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 protein WD40 domain, putative | transcript_product=chromatin assembly factor 1 protein WD40 domain, putative | location=Pv_Sal1_chr02:210496-211839(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 6323at5820           -            422   2.8e-07   28.1  25.8   1   1   1.6e-09   2.8e-07   28.1  25.8    21   330   188   531   172   608 0.75 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091450.1-p1      -            464 6323at5820           -            422   3.3e-07   27.8   0.2   1   3    0.0045      0.77    6.8   0.0   368   404   103   139    80   148 0.91 | transcript=PVX_091450.1 | gene=PVX_091450 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=Pv_Sal1_chr09:529466-530860(-) | protein_length=464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091450.1-p1      -            464 6323at5820           -            422   3.3e-07   27.8   0.2   2   3      0.12        20    2.2   0.1   257   284   220   247   201   256 0.62 | transcript=PVX_091450.1 | gene=PVX_091450 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=Pv_Sal1_chr09:529466-530860(-) | protein_length=464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091450.1-p1      -            464 6323at5820           -            422   3.3e-07   27.8   0.2   3   3   1.6e-05    0.0028   14.9   0.0   166   245   322   402   274   407 0.79 | transcript=PVX_091450.1 | gene=PVX_091450 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=Pv_Sal1_chr09:529466-530860(-) | protein_length=464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084500.1-p1      -            694 6323at5820           -            422   3.5e-07   27.7  25.4   1   4    0.0017       0.3    8.2   4.5   245   329     7    94     3   161 0.54 | transcript=PVX_084500.1 | gene=PVX_084500 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=Pv_Sal1_chr13:371389-373473(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084500.1-p1      -            694 6323at5820           -            422   3.5e-07   27.7  25.4   2   4    0.0098       1.7    5.7   0.2   283   328   244   289   237   291 0.85 | transcript=PVX_084500.1 | gene=PVX_084500 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=Pv_Sal1_chr13:371389-373473(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
