#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081695.1-p1      -           1678 742at5820            -           1341         0 2547.3  57.9   1   3   1.5e-28   2.1e-25   86.9   0.8     1    65     1    65     1    88 0.89 | transcript=PVX_081695.1 | gene=PVX_081695 | organism=Plasmodium_vivax_Sal-1 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=Pv_Sal1_chr02:565513-570549(+) | protein_length=1678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 742at5820            -           1341   4.2e-16   56.1  25.0   3   4   1.6e-13   2.3e-10   37.1   0.2   977  1062   851   939   828   945 0.68 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 742at5820            -           1341   4.2e-16   56.1  25.0   4   4       2.4   3.4e+03   -6.5   4.2  1176  1308  1109  1164  1088  1181 0.52 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084625.1-p1      -           1355 742at5820            -           1341   1.5e-11   41.1   7.9   1   3    0.0017       2.3    3.9   4.9   484   628   403   556   225   569 0.46 | transcript=PVX_084625.1 | gene=PVX_084625 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase4, putative | transcript_product=P-type ATPase4, putative | location=Pv_Sal1_chr13:492630-496697(-) | protein_length=1355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084625.1-p1      -           1355 742at5820            -           1341   1.5e-11   41.1   7.9   2   3    0.0036         5    2.9   0.0   834   881   827   874   761   878 0.65 | transcript=PVX_084625.1 | gene=PVX_084625 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase4, putative | transcript_product=P-type ATPase4, putative | location=Pv_Sal1_chr13:492630-496697(-) | protein_length=1355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084625.1-p1      -           1355 742at5820            -           1341   1.5e-11   41.1   7.9   3   3   2.2e-10     3e-07   26.8   0.0   972  1026   919   973   913   996 0.93 | transcript=PVX_084625.1 | gene=PVX_084625 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase4, putative | transcript_product=P-type ATPase4, putative | location=Pv_Sal1_chr13:492630-496697(-) | protein_length=1355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/742at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/742at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/742at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:31 2026
# [ok]
