#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123990.1-p1      -           2027 882at5820            -           1269         0 2416.9 144.8   1   7   1.7e-56   3.2e-53  179.0  11.6     1   116   118   234   118   249 0.90 | transcript=PVX_123990.1 | gene=PVX_123990 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr14:1949674-1955910(+) | protein_length=2027 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084730.1-p1      -           1704 882at5820            -           1269   5.9e-40  135.1  94.9   5   6   1.4e-11   2.5e-08   30.3   5.4   950  1034  1186  1268  1180  1327 0.79 | transcript=PVX_084730.1 | gene=PVX_084730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:583637-589021(-) | protein_length=1704 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084730.1-p1      -           1704 882at5820            -           1269   5.9e-40  135.1  94.9   6   6   4.7e-06    0.0087   11.9  10.8  1119  1268  1559  1693  1525  1694 0.80 | transcript=PVX_084730.1 | gene=PVX_084730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:583637-589021(-) | protein_length=1704 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117190.1-p1      -           1449 882at5820            -           1269     4e-13   46.2  78.4   1   4   1.6e-13   2.9e-10   36.7  39.0   260   532   115   409    67   430 0.72 | transcript=PVX_117190.1 | gene=PVX_117190 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr12:1652643-1656992(-) | protein_length=1449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117190.1-p1      -           1449 882at5820            -           1269     4e-13   46.2  78.4   2   4   0.00026      0.48    6.2   3.9   701   754   502   554   428   564 0.78 | transcript=PVX_117190.1 | gene=PVX_117190 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr12:1652643-1656992(-) | protein_length=1449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117190.1-p1      -           1449 882at5820            -           1269     4e-13   46.2  78.4   3   4   2.4e-09   4.4e-06   22.9   7.9   946  1065  1185  1298  1170  1308 0.77 | transcript=PVX_117190.1 | gene=PVX_117190 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr12:1652643-1656992(-) | protein_length=1449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117190.1-p1      -           1449 882at5820            -           1269     4e-13   46.2  78.4   4   4      0.75   1.4e+03   -5.3  10.0  1077  1178  1268  1377  1265  1448 0.71 | transcript=PVX_117190.1 | gene=PVX_117190 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr12:1652643-1656992(-) | protein_length=1449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/882at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/882at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/882at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:48 2026
# [ok]
