#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113785.1-p1      -            723 4367at5820           -            599         0 1150.8  39.9   1   3  6.1e-228  4.8e-225  747.0   8.0     3   368     2   394     1   404 0.95 | transcript=PVX_113785.1 | gene=PVX_113785 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=Pv_Sal1_chr11:1509681-1511852(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114920.1-p1      -            367 4367at5820           -            599   9.5e-09   32.7   0.6   1   1   2.4e-11   1.9e-08   31.8   0.1   170   293    63   186    58   217 0.78 | transcript=PVX_114920.1 | gene=PVX_114920 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr11:521780-524906(+) | protein_length=367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085875.1-p1      -            570 4367at5820           -            599   5.5e-08   30.2   9.8   1   3       1.4   1.1e+03   -3.8   0.3   519   540    48    69    42    74 0.75 | transcript=PVX_085875.1 | gene=PVX_085875 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:1583580-1585292(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085875.1-p1      -            570 4367at5820           -            599   5.5e-08   30.2   9.8   2   3   1.5e-07   0.00012   19.2   0.0   174   211   228   265   217   288 0.89 | transcript=PVX_085875.1 | gene=PVX_085875 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:1583580-1585292(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085875.1-p1      -            570 4367at5820           -            599   5.5e-08   30.2   9.8   3   3   1.2e-06   0.00098   16.2   2.0   215   339   338   467   324   504 0.74 | transcript=PVX_085875.1 | gene=PVX_085875 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:1583580-1585292(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4367at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4367at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4367at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:12 2026
# [ok]
