#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113810.1-p1      -           1004 3350at5820           -            688         0 1013.5  61.6   1   6  9.3e-109  8.6e-106  353.4   6.4     1   214     1   216     1   220 0.98 | transcript=PVX_113810.1 | gene=PVX_113810 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=Pv_Sal1_chr11:1490587-1493601(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085050.1-p1      -           1311 3350at5820           -            688     7e-12   43.0   5.0   1   3   7.6e-15     7e-12   43.0   5.0    41   174    24   164    16   238 0.86 | transcript=PVX_085050.1 | gene=PVX_085050 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatamer protein, beta subunit, putative | transcript_product=coatamer protein, beta subunit, putative | location=Pv_Sal1_chr13:870150-874849(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085050.1-p1      -           1311 3350at5820           -            688     7e-12   43.0   5.0   2   3       3.1   2.8e+03   -5.3   9.2   304   426   357   482   348   493 0.47 | transcript=PVX_085050.1 | gene=PVX_085050 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatamer protein, beta subunit, putative | transcript_product=coatamer protein, beta subunit, putative | location=Pv_Sal1_chr13:870150-874849(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085050.1-p1      -           1311 3350at5820           -            688     7e-12   43.0   5.0   3   3      0.03        27    1.4   2.2   395   490   552   642   540   653 0.79 | transcript=PVX_085050.1 | gene=PVX_085050 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatamer protein, beta subunit, putative | transcript_product=coatamer protein, beta subunit, putative | location=Pv_Sal1_chr13:870150-874849(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117690.1-p1      -           1038 3350at5820           -            688   3.8e-08   30.6   6.4   1   3   4.1e-11   3.8e-08   30.6   6.4    77   211    65   200    27   233 0.78 | transcript=PVX_117690.1 | gene=PVX_117690 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=Pv_Sal1_chr12:2076066-2079617(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117690.1-p1      -           1038 3350at5820           -            688   3.8e-08   30.6   6.4   2   3   0.00021       0.2    8.4   9.5    71   217   311   459   305   488 0.77 | transcript=PVX_117690.1 | gene=PVX_117690 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=Pv_Sal1_chr12:2076066-2079617(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117690.1-p1      -           1038 3350at5820           -            688   3.8e-08   30.6   6.4   3   3       1.7   1.5e+03   -4.4   4.0    87   154   575   644   551   668 0.72 | transcript=PVX_117690.1 | gene=PVX_117690 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=Pv_Sal1_chr12:2076066-2079617(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088130.1-p1      -           1422 3350at5820           -            688   0.00063   16.7   0.0   1   3   6.8e-07   0.00063   16.7   0.0    40   141    43   143    36   166 0.83 | transcript=PVX_088130.1 | gene=PVX_088130 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=Pv_Sal1_chr01:449291-453875(-) | protein_length=1422 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088130.1-p1      -           1422 3350at5820           -            688   0.00063   16.7   0.0   2   3      0.13   1.2e+02   -0.8   0.5   463   500   225   262   206   297 0.52 | transcript=PVX_088130.1 | gene=PVX_088130 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=Pv_Sal1_chr01:449291-453875(-) | protein_length=1422 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088130.1-p1      -           1422 3350at5820           -            688   0.00063   16.7   0.0   3   3         1   9.5e+02   -3.7   1.4   441   485   394   438   365   444 0.48 | transcript=PVX_088130.1 | gene=PVX_088130 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=Pv_Sal1_chr01:449291-453875(-) | protein_length=1422 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3350at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3350at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3350at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:31 2026
# [ok]
